entry_id,struct_cluster_id,is_anchor,seq_len,global_plddt,ptm,cluster_size,n_anchors,source,split,length_bin,size_bin
0000854290d826d1db3d3610c91dd475,0000854290d826d1db3d3610c91dd475,true,146,82.91103839874268,0.7766119241714478,17,1,esmfold2,train,60-249,10-99
0a152c63f5931d8429e63b038cb36762,0000854290d826d1db3d3610c91dd475,false,143,80.8809757232666,0.7539781332015991,17,1,esmfold2,train,60-249,10-99
19e0237eb860aa2a1df019984ec0fa88,0000854290d826d1db3d3610c91dd475,false,141,85.67776679992676,0.816272497177124,17,1,esmfold2,train,60-249,10-99
1b2441bdce9ad6b421ae1f5968196d67,0000854290d826d1db3d3610c91dd475,false,133,81.62350654602051,0.7939973473548889,17,1,esmfold2,train,60-249,10-99
1cede55442c259ed0c00edf73b6fbc79,0000854290d826d1db3d3610c91dd475,false,137,83.31656455993652,0.8026094436645508,17,1,esmfold2,train,60-249,10-99
1ed46df8797ce8acdbd6ce82de044415,0000854290d826d1db3d3610c91dd475,false,135,81.70684576034546,0.7832717895507812,17,1,esmfold2,train,60-249,10-99
24ce760a1a9ef941cbc8c476540d6113,0000854290d826d1db3d3610c91dd475,false,137,82.9119861125946,0.7931634187698364,17,1,esmfold2,train,60-249,10-99
309aa57c2131f48475dd8921b868c534,0000854290d826d1db3d3610c91dd475,false,129,85.02531051635742,0.8199983239173889,17,1,esmfold2,train,60-249,10-99
3c3d02cdce1343759b2b6a86e73296e4,0000854290d826d1db3d3610c91dd475,false,146,80.60615658760071,0.7550581693649292,17,1,esmfold2,train,60-249,10-99
633888d3f39908a8da80bc5d3386051d,0000854290d826d1db3d3610c91dd475,false,106,86.31026148796082,0.8433677554130554,17,1,esmfold2,train,60-249,10-99
a81887beef801640edc79d4301f1ef78,0000854290d826d1db3d3610c91dd475,false,137,83.01227688789368,0.789913535118103,17,1,esmfold2,train,60-249,10-99
b42be8894397f10a43183a14532fdaf8,0000854290d826d1db3d3610c91dd475,false,132,80.62503933906555,0.776808500289917,17,1,esmfold2,train,60-249,10-99
d06fa1b43b35517223112d016a2c8910,0000854290d826d1db3d3610c91dd475,false,135,87.14678883552551,0.8436270356178284,17,1,esmfold2,train,60-249,10-99
e874246a9b0e2c0c4071cd31ec8cbe65,0000854290d826d1db3d3610c91dd475,false,129,85.2254331111908,0.8320454359054565,17,1,esmfold2,train,60-249,10-99
0000b69a12a3ff3cffcdc42ba6fe05b7,0000b69a12a3ff3cffcdc42ba6fe05b7,true,425,89.15231227874756,0.54877769947052,27,1,esmfold2,train,250-499,10-99
04664c3adf7623e2e72aead750b6249b,0000b69a12a3ff3cffcdc42ba6fe05b7,false,148,86.22705936431885,0.7135008573532104,27,1,esmfold2,train,250-499,10-99
136702a2aa50054e6aebc4330ba8f4d6,0000b69a12a3ff3cffcdc42ba6fe05b7,false,144,84.39746499061584,0.7163615822792053,27,1,esmfold2,train,250-499,10-99
1f48085385d1adbcb138832ae3fc90da,0000b69a12a3ff3cffcdc42ba6fe05b7,false,113,86.3760232925415,0.6385866403579712,27,1,esmfold2,train,250-499,10-99
3968697cbbf6a10547ea6b2cc1a57f3f,0000b69a12a3ff3cffcdc42ba6fe05b7,false,205,88.93914818763733,0.7546308636665344,27,1,esmfold2,train,250-499,10-99
3a6ad35bb1ad06c0ef6ff4706da7ed78,0000b69a12a3ff3cffcdc42ba6fe05b7,false,192,91.16007685661316,0.7309949398040771,27,1,esmfold2,train,250-499,10-99
3c10a32cc872c5fa28fd24371c2b5ddf,0000b69a12a3ff3cffcdc42ba6fe05b7,false,339,89.60354328155518,0.5852541327476501,27,1,esmfold2,train,250-499,10-99
4a3db2b67b36319672ecf08c758defa1,0000b69a12a3ff3cffcdc42ba6fe05b7,false,165,87.09363341331482,0.7233445048332214,27,1,esmfold2,train,250-499,10-99
