struct_cluster_id,cluster_size,n_anchors,n_candidates,anchor_length,length_bin,size_bin
A0A0A0IXA0,10,5,5,309.0,250-499,<20
A0A0R2V987,78,5,64,410.0,250-499,20-99
A0A0T6XIA0,11,5,2,102.0,60-249,<20
A0A166RK55,13,5,4,838.0,500-1000,<20
A0A1D3DN82,7,5,2,384.0,250-499,<20
A0A1Q5GN08,360,5,346,858.0,500-1000,100+
A0A1V2LEH1,29,5,10,522.0,500-1000,20-99
A0A1Y1IFY3,32,5,4,509.0,500-1000,20-99
A0A2J6XGX4,32,5,26,417.0,250-499,20-99
A0A2K9NN49,121,2,101,274.0,250-499,100+
A0A2N2DS22,10,5,4,721.0,500-1000,<20
A0A2N5K7A0,156,5,67,188.0,60-249,100+
A0A2R6Q329,24,5,17,180.0,60-249,20-99
A0A317IMJ3,18,5,11,329.0,250-499,<20
A0A349HPU9,16,5,10,305.0,250-499,<20
A0A352JMQ8,13,5,6,127.0,60-249,<20
A0A372ZQN4,76,5,52,298.0,250-499,20-99
A0A3D0SHF0,61,5,53,119.0,60-249,20-99
A0A3D5YP51,33,5,28,318.0,250-499,20-99
A0A402G990,15,5,6,164.0,60-249,<20
A0A4S4KYI4,191,5,183,583.0,500-1000,100+
A0A502HRM3,452,5,408,372.0,250-499,100+
A0A537L9F5,137,5,127,209.0,60-249,100+
A0A6M8T0A4,531,5,520,145.0,60-249,100+
A0A7C4AL85,592,5,552,68.0,60-249,100+
A0A7K4HJV5,576,5,567,280.0,250-499,100+
A0A7S0BJT4,376,5,358,508.0,500-1000,100+
A0A7U0H7B2,17,5,10,569.0,500-1000,<20
A0A7V3UNF3,82,5,50,544.0,500-1000,20-99
A0A7W8A5E5,20,5,7,226.0,60-249,20-99
A0A7X7FB92,44,5,36,182.0,60-249,20-99
A0A804HT43,817,2,704,521.0,500-1000,100+
A0A838F088,12,5,7,601.0,500-1000,<20
A4FXK0,240,5,224,279.0,250-499,100+
I3RCU5,14,5,9,179.0,60-249,<20
U5HGY5,20,5,7,698.0,500-1000,20-99
