figure,stem,eval_set,tier,available,reason
01_predictors,5sbj_A,eval-denovo,<10,True,
01_predictors,7ur7_A,eval-denovo,<10,True,
01_predictors,8ah9_A,eval-denovo,<10,True,
01_predictors,8eov_A,eval-denovo,<10,True,
01_predictors,8fjf_A,eval-denovo,<10,True,
01_predictors,8gac_A,eval-denovo,<10,True,
01_predictors,8ju8_A,eval-denovo,<10,True,
01_predictors,8k7o_A,eval-denovo,10–99,True,
01_predictors,8k7z_A,eval-denovo,<10,True,
01_predictors,8k83_A,eval-denovo,<10,True,
01_predictors,8k84_A,eval-denovo,100–999,True,
01_predictors,8kcj_A,eval-denovo,<10,True,
01_predictors,8ka7_A,eval-denovo,<10,True,
01_predictors,8kac_A,eval-denovo,100–999,True,
01_predictors,8oys_A,eval-denovo,<10,True,
01_predictors,8oyy_A,eval-denovo,<10,True,
01_predictors,8qkd_A,eval-denovo,<10,True,
01_predictors,8qup_A,eval-denovo,100–999,True,
01_predictors,8vc8_A,eval-denovo,<10,True,
01_predictors,8es6_A,eval-test,≥1000,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
01_predictors,8ev4_A,eval-test,≥1000,True,
01_predictors,8ew1_A,eval-test,≥1000,True,
01_predictors,8ew9_A,eval-test,100–999,True,
01_predictors,8ey3_A,eval-test,≥1000,True,
01_predictors,8ez6_A,eval-test,≥1000,True,
01_predictors,8ezw_A,eval-test,≥1000,True,
01_predictors,8f8n_A,eval-test,100–999,True,
01_predictors,8f9o_A,eval-test,≥1000,True,
01_predictors,8fbc_A,eval-test,≥1000,True,
01_predictors,8jjq_A,eval-test,≥1000,True,
01_predictors,8fib_A,eval-test,≥1000,True,
01_predictors,8fr5_A,eval-test,100–999,True,
01_predictors,8fty_A,eval-test,≥1000,True,
01_predictors,8h2f_A,eval-test,≥1000,True,
01_predictors,8fz8_A,eval-test,≥1000,True,
01_predictors,8fz9_A,eval-test,≥1000,True,
01_predictors,8g0n_A,eval-test,≥1000,True,
01_predictors,8g1l_A,eval-test,100–999,True,
01_predictors,8g1y_A,eval-test,≥1000,True,
01_predictors,8g32_A,eval-test,≥1000,True,
01_predictors,8g52_A,eval-test,≥1000,True,
01_predictors,8g53_A,eval-test,100–999,True,
01_predictors,8g5u_A,eval-test,≥1000,True,
01_predictors,8g64_A,eval-test,≥1000,True,
01_predictors,8gbe_A,eval-test,100–999,True,
01_predictors,8gdl_A,eval-test,100–999,True,
01_predictors,8gj9_A,eval-test,100–999,True,
01_predictors,8gjw_A,eval-test,100–999,True,
01_predictors,8gjy_A,eval-test,≥1000,True,
01_predictors,8gkd_A,eval-test,100–999,True,
01_predictors,8gok_A,eval-test,10–99,True,
01_predictors,8gr7_A,eval-test,≥1000,True,
01_predictors,8gsy_A,eval-test,100–999,True,
01_predictors,8gqq_A,eval-test,≥1000,True,
01_predictors,8gtz_A,eval-test,≥1000,True,
01_predictors,8q79_A,eval-test,100–999,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
01_predictors,8h02_A,eval-test,≥1000,True,
01_predictors,8h5s_A,eval-test,≥1000,True,
01_predictors,8hbt_A,eval-test,≥1000,True,
01_predictors,8hd2_A,eval-test,100–999,True,
01_predictors,8he1_A,eval-test,≥1000,True,
01_predictors,8axs_A,eval-test,100–999,True,
01_predictors,8hnq_A,eval-test,≥1000,True,
01_predictors,8hvd_A,eval-test,≥1000,True,
01_predictors,7xhz_A,eval-test,≥1000,True,
01_predictors,8hw8_A,eval-test,≥1000,True,
01_predictors,8hxs_A,eval-test,≥1000,True,
01_predictors,8ii8_A,eval-test,<10,True,
01_predictors,8ikx_A,eval-test,≥1000,True,
01_predictors,8ini_A,eval-test,10–99,True,
01_predictors,8iqc_A,eval-test,100–999,True,
01_predictors,8irq_A,eval-test,≥1000,True,
01_predictors,8iym_A,eval-test,≥1000,True,
01_predictors,8j2n_A,eval-test,≥1000,True,
01_predictors,8j2x_A,eval-test,≥1000,True,
01_predictors,8jb3_A,eval-test,≥1000,True,
01_predictors,7wr2_A,eval-test,100–999,True,
01_predictors,8j8y_A,eval-test,10–99,True,
01_predictors,8j9r_A,eval-test,≥1000,True,
01_predictors,8jdg_A,eval-test,≥1000,True,
01_predictors,8jh8_A,eval-test,≥1000,True,
01_predictors,8jiy_A,eval-test,≥1000,True,
01_predictors,8jmy_A,eval-test,≥1000,True,
01_predictors,8jn0_A,eval-test,≥1000,True,
01_predictors,8jup_A,eval-test,≥1000,True,
01_predictors,8jv2_A,eval-test,≥1000,True,
01_predictors,8jws_A,eval-test,≥1000,True,
01_predictors,8cjd_A,eval-test,≥1000,True,
01_predictors,8k2g_A,eval-test,≥1000,True,
01_predictors,8k2k_A,eval-test,≥1000,True,
01_predictors,8k2m_A,eval-test,≥1000,True,
01_predictors,8k4m_A,eval-test,10–99,True,
01_predictors,8k5j_A,eval-test,≥1000,True,
