geometry,threshold,subset,stem,cluster
original,fine,all,proteina-ed68a587e75e745a1c8e,proteina-ed68a587e75e745a1c8e
original,fine,all,proteina-f96064f7e58225f9487a,proteina-f96064f7e58225f9487a
original,fine,all,proteina-b82fd83657ef2b0f8114,proteina-b82fd83657ef2b0f8114
original,fine,all,proteina-913c153c13ead6ab3327,proteina-913c153c13ead6ab3327
original,fine,all,proteina-066a366f8f30de2a2e62,proteina-066a366f8f30de2a2e62
original,fine,all,proteina-ac9a2671eea6f8135817,proteina-ac9a2671eea6f8135817
original,fine,all,proteina-8753bcd71e8fa64b8305,proteina-8753bcd71e8fa64b8305
original,fine,all,proteina-88b689031a641994231e,proteina-88b689031a641994231e
original,fine,all,proteina-50a271d20d5ffeb8e54b,proteina-50a271d20d5ffeb8e54b
original,fine,all,proteina-c2a2ed10240c6f5eb045,proteina-c2a2ed10240c6f5eb045
original,fine,all,proteina-aeae7a0caa78be19b380,proteina-aeae7a0caa78be19b380
original,fine,all,proteina-7ec48bae314bc390807b,proteina-7ec48bae314bc390807b
original,fine,all,proteina-79396bd46f632d4dd4a9,proteina-76ae51481f28d7d16835
original,fine,all,proteina-76ae51481f28d7d16835,proteina-76ae51481f28d7d16835
original,fine,all,proteina-db5619e2bf521738d324,proteina-db5619e2bf521738d324
original,fine,all,proteina-cf981e8a2adbe60b8003,proteina-cf981e8a2adbe60b8003
original,fine,quality_pass,proteina-ed68a587e75e745a1c8e,proteina-ed68a587e75e745a1c8e
original,fine,quality_pass,proteina-f96064f7e58225f9487a,proteina-f96064f7e58225f9487a
original,fine,quality_pass,proteina-913c153c13ead6ab3327,proteina-913c153c13ead6ab3327
original,fine,quality_pass,proteina-ac9a2671eea6f8135817,proteina-ac9a2671eea6f8135817
original,fine,quality_pass,proteina-8753bcd71e8fa64b8305,proteina-8753bcd71e8fa64b8305
original,fine,quality_pass,proteina-88b689031a641994231e,proteina-88b689031a641994231e
original,fine,quality_pass,proteina-50a271d20d5ffeb8e54b,proteina-50a271d20d5ffeb8e54b
original,fine,quality_pass,proteina-c2a2ed10240c6f5eb045,proteina-c2a2ed10240c6f5eb045
original,fine,quality_pass,proteina-aeae7a0caa78be19b380,proteina-aeae7a0caa78be19b380
original,fine,quality_pass,proteina-79396bd46f632d4dd4a9,proteina-79396bd46f632d4dd4a9
original,fine,quality_pass,proteina-db5619e2bf521738d324,proteina-db5619e2bf521738d324
original,fine,quality_pass,proteina-cf981e8a2adbe60b8003,proteina-cf981e8a2adbe60b8003
original,broad,all,proteina-ed68a587e75e745a1c8e,proteina-ed68a587e75e745a1c8e
original,broad,all,proteina-f96064f7e58225f9487a,proteina-f96064f7e58225f9487a
original,broad,all,proteina-b82fd83657ef2b0f8114,proteina-b82fd83657ef2b0f8114
original,broad,all,proteina-913c153c13ead6ab3327,proteina-913c153c13ead6ab3327
original,broad,all,proteina-066a366f8f30de2a2e62,proteina-066a366f8f30de2a2e62
original,broad,all,proteina-ac9a2671eea6f8135817,proteina-ac9a2671eea6f8135817
original,broad,all,proteina-8753bcd71e8fa64b8305,proteina-8753bcd71e8fa64b8305
original,broad,all,proteina-88b689031a641994231e,proteina-88b689031a641994231e
original,broad,all,proteina-50a271d20d5ffeb8e54b,proteina-50a271d20d5ffeb8e54b
original,broad,all,proteina-c2a2ed10240c6f5eb045,proteina-c2a2ed10240c6f5eb045
original,broad,all,proteina-aeae7a0caa78be19b380,proteina-aeae7a0caa78be19b380
original,broad,all,proteina-7ec48bae314bc390807b,proteina-7ec48bae314bc390807b
original,broad,all,proteina-79396bd46f632d4dd4a9,proteina-76ae51481f28d7d16835
