entry_id,r,L,n_gt,n_gen_tokens,finished,prompt_ok,n_sections_mine,n_sections_theirs,best_f1_mine,best_f1_theirs,last_f1_mine,last_f1_theirs,first_f1_mine,first_f1_theirs,mean_jaccard,precision,n_pred,max_section_f1_delta
foldbench100__8ah9_A,2,120,132,6663,False,True,20,20,0.2918454935622317,0.2918454935622317,0.10434782608695652,0.10434782608695652,0.2918454935622317,0.2918454935622317,0.091402061469469,0.2163504968383017,2164.0,0.0
foldbench100__8ah9_A,15,120,132,6663,False,True,23,23,0.4063745019920319,0.4063745019920319,0.14634146341463414,0.14634146341463414,0.22672064777327935,0.22672064777327935,0.07016548922903841,0.24672390420244011,2190.0,0.0
foldbench100__8ah9_A,14,120,132,2389,True,True,7,7,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.21343873517786563,0.21343873517786563,0.09735032973181952,0.26574307304785894,793.0,0.0
foldbench100__8ah9_A,7,120,132,2477,True,True,8,8,0.42352941176470593,0.42352941176470593,0.42352941176470593,0.42352941176470593,0.3122362869198312,0.3122362869198312,0.03238288829279672,0.19562575941676794,821.0,0.0
foldbench100__8b2g_A,23,74,59,2217,True,True,15,15,0.15789473684210528,0.15789473684210528,0.057692307692307696,0.057692307692307696,0.0392156862745098,0.0392156862745098,0.04445507661826013,0.06267029972752043,733.0,0.0
foldbench100__8b2g_A,11,74,59,3081,True,True,24,24,0.15789473684210528,0.15789473684210528,0.12612612612612614,0.12612612612612614,0.041237113402061855,0.041237113402061855,0.050950561419236186,0.09126594700686948,1018.0,0.0
foldbench100__8b2g_A,15,74,59,3112,True,True,25,25,0.14953271028037385,0.14953271028037385,0.13793103448275862,0.13793103448275862,0.0392156862745098,0.0392156862745098,0.05791740850597654,0.08940719144800778,1029.0,0.0
foldbench100__8b2g_A,18,74,59,3224,True,True,23,23,0.19801980198019803,0.19801980198019803,0.13114754098360656,0.13114754098360656,0.05,0.05,0.045985442836308094,0.10309278350515463,1066.0,0.0
denovo_pdb__4ozc_A,14,57,36,1772,True,True,17,17,0.2647058823529412,0.2647058823529412,0.12121212121212123,0.12121212121212123,0.028985507246376812,0.028985507246376812,0.11082389431284924,0.15384615384615385,584.0,0.0
denovo_pdb__4ozc_A,11,57,36,2244,True,True,21,21,0.4827586206896552,0.4827586206896552,0.34146341463414637,0.34146341463414637,0.2807017543859649,0.2807017543859649,0.10411618662925434,0.2388663967611336,737.0,0.0
