stem,method,eval_set,range,cut,precision,n_candidate,n_true,n_top
5sbj_A,boltz2,eval-denovo,all,L,0.5,219,17,30
5sbj_A,boltz2,eval-denovo,all,L/2,1.0,219,17,15
5sbj_A,boltz2,eval-denovo,all,L/5,1.0,219,17,6
5sbj_A,boltz2,eval-denovo,all,R,0.8823529411764706,219,17,17
5sbj_A,boltz2,eval-denovo,all,AUC,0.9408852649970879,219,17,219
5sbj_A,boltz2,eval-denovo,short,L,0.13333333333333333,102,4,30
5sbj_A,boltz2,eval-denovo,short,L/2,0.26666666666666666,102,4,15
5sbj_A,boltz2,eval-denovo,short,L/5,0.6666666666666666,102,4,6
5sbj_A,boltz2,eval-denovo,short,R,1.0,102,4,4
5sbj_A,boltz2,eval-denovo,short,AUC,1.0,102,4,102
5sbj_A,boltz2,eval-denovo,medium,L,0.3,107,9,30
5sbj_A,boltz2,eval-denovo,medium,L/2,0.6,107,9,15
5sbj_A,boltz2,eval-denovo,medium,L/5,1.0,107,9,6
5sbj_A,boltz2,eval-denovo,medium,R,1.0,107,9,9
5sbj_A,boltz2,eval-denovo,medium,AUC,1.0,107,9,107
5sbj_A,boltz2,eval-denovo,long,L,0.4,10,4,10
5sbj_A,boltz2,eval-denovo,long,L/2,0.4,10,4,10
5sbj_A,boltz2,eval-denovo,long,L/5,0.5,10,4,6
5sbj_A,boltz2,eval-denovo,long,R,0.5,10,4,4
5sbj_A,boltz2,eval-denovo,long,AUC,0.75,10,4,10
7pv5_A,boltz2,eval-val,all,L,0.7407407407407407,2420,64,81
7pv5_A,boltz2,eval-val,all,L/2,0.925,2420,64,40
7pv5_A,boltz2,eval-val,all,L/5,0.9375,2420,64,16
7pv5_A,boltz2,eval-val,all,R,0.875,2420,64,64
7pv5_A,boltz2,eval-val,all,AUC,0.9673705432937181,2420,64,2420
7pv5_A,boltz2,eval-val,short,L,0.13580246913580246,393,12,81
7pv5_A,boltz2,eval-val,short,L/2,0.275,393,12,40
7pv5_A,boltz2,eval-val,short,L/5,0.6875,393,12,16
7pv5_A,boltz2,eval-val,short,R,0.75,393,12,12
7pv5_A,boltz2,eval-val,short,AUC,0.9557086614173228,393,12,393
7pv5_A,boltz2,eval-val,medium,L,0.13580246913580246,678,11,81
7pv5_A,boltz2,eval-val,medium,L/2,0.275,678,11,40
7pv5_A,boltz2,eval-val,medium,L/5,0.6875,678,11,16
7pv5_A,boltz2,eval-val,medium,R,1.0,678,11,11
7pv5_A,boltz2,eval-val,medium,AUC,1.0,678,11,678
7pv5_A,boltz2,eval-val,long,L,0.4691358024691358,1349,41,81
7pv5_A,boltz2,eval-val,long,L/2,0.875,1349,41,40
7pv5_A,boltz2,eval-val,long,L/5,0.9375,1349,41,16
7pv5_A,boltz2,eval-val,long,R,0.8536585365853658,1349,41,41
7pv5_A,boltz2,eval-val,long,AUC,0.9615219661370925,1349,41,1349
7qp5_A,boltz2,eval-val,all,L,0.8489795918367347,27730,241,245
7qp5_A,boltz2,eval-val,all,L/2,0.9180327868852459,27730,241,122
7qp5_A,boltz2,eval-val,all,L/5,0.9387755102040817,27730,241,49
7qp5_A,boltz2,eval-val,all,R,0.8547717842323651,27730,241,241
7qp5_A,boltz2,eval-val,all,AUC,0.9724152958052328,27730,241,27730
7qp5_A,boltz2,eval-val,short,L,0.12244897959183673,1395,34,245
7qp5_A,boltz2,eval-val,short,L/2,0.2459016393442623,1395,34,122
7qp5_A,boltz2,eval-val,short,L/5,0.6122448979591837,1395,34,49
7qp5_A,boltz2,eval-val,short,R,0.8529411764705882,1395,34,34
7qp5_A,boltz2,eval-val,short,AUC,0.9400311189869042,1395,34,1395
7qp5_A,boltz2,eval-val,medium,L,0.16326530612244897,2682,42,245
7qp5_A,boltz2,eval-val,medium,L/2,0.32786885245901637,2682,42,122
7qp5_A,boltz2,eval-val,medium,L/5,0.7755102040816326,2682,42,49
7qp5_A,boltz2,eval-val,medium,R,0.8095238095238095,2682,42,42
7qp5_A,boltz2,eval-val,medium,AUC,0.9741883116883117,2682,42,2682
7qp5_A,boltz2,eval-val,long,L,0.6448979591836734,23653,165,245
7qp5_A,boltz2,eval-val,long,L/2,0.9098360655737705,23653,165,122
7qp5_A,boltz2,eval-val,long,L/5,0.9183673469387755,23653,165,49
7qp5_A,boltz2,eval-val,long,R,0.8666666666666667,23653,165,165
7qp5_A,boltz2,eval-val,long,AUC,0.9783599362150112,23653,165,23653
7qsj_A,boltz2,eval-val,all,L,0.8927613941018767,57970,347,373
7qsj_A,boltz2,eval-val,all,L/2,0.9623655913978495,57970,347,186
7qsj_A,boltz2,eval-val,all,L/5,0.9594594594594594,57970,347,74
7qsj_A,boltz2,eval-val,all,R,0.9337175792507204,57970,347,347
7qsj_A,boltz2,eval-val,all,AUC,0.9854096844634714,57970,347,57970
7qsj_A,boltz2,eval-val,short,L,0.15281501340482573,2025,57,373
7qsj_A,boltz2,eval-val,short,L/2,0.3010752688172043,2025,57,186
7qsj_A,boltz2,eval-val,short,L/5,0.7567567567567568,2025,57,74
7qsj_A,boltz2,eval-val,short,R,0.9649122807017544,2025,57,57
7qsj_A,boltz2,eval-val,short,AUC,0.9910007488232777,2025,57,2025
7qsj_A,boltz2,eval-val,medium,L,0.17158176943699732,3942,64,373
7qsj_A,boltz2,eval-val,medium,L/2,0.34408602150537637,3942,64,186
7qsj_A,boltz2,eval-val,medium,L/5,0.8513513513513513,3942,64,74
7qsj_A,boltz2,eval-val,medium,R,0.953125,3942,64,64
7qsj_A,boltz2,eval-val,medium,AUC,0.9995809695719443,3942,64,3942
7qsj_A,boltz2,eval-val,long,L,0.5817694369973191,52003,226,373
7qsj_A,boltz2,eval-val,long,L/2,0.9354838709677419,52003,226,186
7qsj_A,boltz2,eval-val,long,L/5,0.9594594594594594,52003,226,74
7qsj_A,boltz2,eval-val,long,R,0.9247787610619469,52003,226,226
7qsj_A,boltz2,eval-val,long,AUC,0.9799265519370768,52003,226,52003
7t9r_A,boltz2,eval-val,all,L,0.6052631578947368,528,24,38
7t9r_A,boltz2,eval-val,all,L/2,0.8947368421052632,528,24,19
7t9r_A,boltz2,eval-val,all,L/5,1.0,528,24,7
7t9r_A,boltz2,eval-val,all,R,0.9166666666666666,528,24,24
7t9r_A,boltz2,eval-val,all,AUC,0.9772652116402117,528,24,528
7t9r_A,boltz2,eval-val,short,L,0.18421052631578946,177,7,38
7t9r_A,boltz2,eval-val,short,L/2,0.3684210526315789,177,7,19
7t9r_A,boltz2,eval-val,short,L/5,0.8571428571428571,177,7,7
7t9r_A,boltz2,eval-val,short,R,0.8571428571428571,177,7,7
7t9r_A,boltz2,eval-val,short,AUC,0.9974789915966387,177,7,177
7t9r_A,boltz2,eval-val,medium,L,0.2631578947368421,246,10,38
7t9r_A,boltz2,eval-val,medium,L/2,0.5263157894736842,246,10,19
7t9r_A,boltz2,eval-val,medium,L/5,1.0,246,10,7
7t9r_A,boltz2,eval-val,medium,R,1.0,246,10,10
7t9r_A,boltz2,eval-val,medium,AUC,1.0,246,10,246
7t9r_A,boltz2,eval-val,long,L,0.15789473684210525,105,7,38
7t9r_A,boltz2,eval-val,long,L/2,0.3157894736842105,105,7,19
7t9r_A,boltz2,eval-val,long,L/5,0.8571428571428571,105,7,7
7t9r_A,boltz2,eval-val,long,R,0.8571428571428571,105,7,7
7t9r_A,boltz2,eval-val,long,AUC,0.923469387755102,105,7,105
7tjb_A,boltz2,eval-val,all,L,0.8325991189427313,23436,201,227
7tjb_A,boltz2,eval-val,all,L/2,0.9646017699115044,23436,201,113
7tjb_A,boltz2,eval-val,all,L/5,0.9777777777777777,23436,201,45
7tjb_A,boltz2,eval-val,all,R,0.9054726368159204,23436,201,201
7tjb_A,boltz2,eval-val,all,AUC,0.9698602961092965,23436,201,23436
7tjb_A,boltz2,eval-val,short,L,0.13656387665198239,1281,34,227
7tjb_A,boltz2,eval-val,short,L/2,0.2743362831858407,1281,34,113
7tjb_A,boltz2,eval-val,short,L/5,0.6888888888888889,1281,34,45
7tjb_A,boltz2,eval-val,short,R,0.9117647058823529,1281,34,34
7tjb_A,boltz2,eval-val,short,AUC,0.9556936647955092,1281,34,1281
7tjb_A,boltz2,eval-val,medium,L,0.14537444933920704,2454,33,227
7tjb_A,boltz2,eval-val,medium,L/2,0.2920353982300885,2454,33,113
7tjb_A,boltz2,eval-val,medium,L/5,0.7333333333333333,2454,33,45
7tjb_A,boltz2,eval-val,medium,R,0.8787878787878788,2454,33,33
7tjb_A,boltz2,eval-val,medium,AUC,0.9997997321417396,2454,33,2454
7tjb_A,boltz2,eval-val,long,L,0.5506607929515418,19701,134,227
7tjb_A,boltz2,eval-val,long,L/2,0.9292035398230089,19701,134,113
7tjb_A,boltz2,eval-val,long,L/5,0.9555555555555556,19701,134,45
7tjb_A,boltz2,eval-val,long,R,0.9029850746268657,19701,134,134
7tjb_A,boltz2,eval-val,long,AUC,0.9661068857175766,19701,134,19701
7tlh_A,boltz2,eval-val,all,L,0.7426470588235294,7021,114,136
7tlh_A,boltz2,eval-val,all,L/2,0.8823529411764706,7021,114,68
7tlh_A,boltz2,eval-val,all,L/5,0.9629629629629629,7021,114,27
7tlh_A,boltz2,eval-val,all,R,0.8333333333333334,7021,114,114
7tlh_A,boltz2,eval-val,all,AUC,0.9418064308011957,7021,114,7021
7tlh_A,boltz2,eval-val,short,L,0.08823529411764706,693,13,136
7tlh_A,boltz2,eval-val,short,L/2,0.17647058823529413,693,13,68
7tlh_A,boltz2,eval-val,short,L/5,0.4444444444444444,693,13,27
7tlh_A,boltz2,eval-val,short,R,0.8461538461538461,693,13,13
7tlh_A,boltz2,eval-val,short,AUC,0.9601244343891403,693,13,693
7tlh_A,boltz2,eval-val,medium,L,0.16176470588235295,1278,24,136
7tlh_A,boltz2,eval-val,medium,L/2,0.3235294117647059,1278,24,68
7tlh_A,boltz2,eval-val,medium,L/5,0.8148148148148148,1278,24,27
7tlh_A,boltz2,eval-val,medium,R,0.875,1278,24,24
7tlh_A,boltz2,eval-val,medium,AUC,0.9579678362573099,1278,24,1278
7tlh_A,boltz2,eval-val,long,L,0.49264705882352944,5050,77,136
7tlh_A,boltz2,eval-val,long,L/2,0.8382352941176471,5050,77,68
7tlh_A,boltz2,eval-val,long,L/5,0.9629629629629629,5050,77,27
7tlh_A,boltz2,eval-val,long,R,0.8051948051948052,5050,77,77
7tlh_A,boltz2,eval-val,long,AUC,0.9337722402270964,5050,77,5050
7uba_A,boltz2,eval-val,all,L,0.8685446009389671,16486,208,213
7uba_A,boltz2,eval-val,all,L/2,0.9339622641509434,16486,208,106
7uba_A,boltz2,eval-val,all,L/5,0.9523809523809523,16486,208,42
7uba_A,boltz2,eval-val,all,R,0.8701923076923077,16486,208,208
7uba_A,boltz2,eval-val,all,AUC,0.9608903179846324,16486,208,16486
7uba_A,boltz2,eval-val,short,L,0.09859154929577464,1020,23,213
7uba_A,boltz2,eval-val,short,L/2,0.19811320754716982,1020,23,106
7uba_A,boltz2,eval-val,short,L/5,0.5,1020,23,42
7uba_A,boltz2,eval-val,short,R,0.8695652173913043,1020,23,23
7uba_A,boltz2,eval-val,short,AUC,0.9557367755440234,1020,23,1020
7uba_A,boltz2,eval-val,medium,L,0.215962441314554,1834,48,213
7uba_A,boltz2,eval-val,medium,L/2,0.42452830188679247,1834,48,106
7uba_A,boltz2,eval-val,medium,L/5,0.9285714285714286,1834,48,42
7uba_A,boltz2,eval-val,medium,R,0.9166666666666666,1834,48,48
7uba_A,boltz2,eval-val,medium,AUC,0.9677118327734229,1834,48,1834
7uba_A,boltz2,eval-val,long,L,0.5915492957746479,13632,137,213
7uba_A,boltz2,eval-val,long,L/2,0.9339622641509434,13632,137,106
7uba_A,boltz2,eval-val,long,L/5,0.9523809523809523,13632,137,42
7uba_A,boltz2,eval-val,long,R,0.8759124087591241,13632,137,137
7uba_A,boltz2,eval-val,long,AUC,0.9592736428469045,13632,137,13632
7uk8_A,boltz2,eval-val,all,L,0.8629441624365483,71279,526,394
7uk8_A,boltz2,eval-val,all,L/2,0.8883248730964467,71279,526,197
7uk8_A,boltz2,eval-val,all,L/5,0.9230769230769231,71279,526,78
7uk8_A,boltz2,eval-val,all,R,0.8212927756653993,71279,526,526
7uk8_A,boltz2,eval-val,all,AUC,0.9347073058047654,71279,526,71279
7uk8_A,boltz2,eval-val,short,L,0.11928934010152284,2205,52,394
7uk8_A,boltz2,eval-val,short,L/2,0.233502538071066,2205,52,197
7uk8_A,boltz2,eval-val,short,L/5,0.5641025641025641,2205,52,78
7uk8_A,boltz2,eval-val,short,R,0.8076923076923077,2205,52,52
7uk8_A,boltz2,eval-val,short,AUC,0.9209600200078603,2205,52,2205
7uk8_A,boltz2,eval-val,medium,L,0.17766497461928935,4314,76,394
7uk8_A,boltz2,eval-val,medium,L/2,0.3553299492385787,4314,76,197
7uk8_A,boltz2,eval-val,medium,L/5,0.8205128205128205,4314,76,78
7uk8_A,boltz2,eval-val,medium,R,0.8289473684210527,4314,76,76
7uk8_A,boltz2,eval-val,medium,AUC,0.9591819626934254,4314,76,4314
7uk8_A,boltz2,eval-val,long,L,0.8223350253807107,64760,398,394
7uk8_A,boltz2,eval-val,long,L/2,0.8781725888324873,64760,398,197
7uk8_A,boltz2,eval-val,long,L/5,0.8589743589743589,64760,398,78
7uk8_A,boltz2,eval-val,long,R,0.8140703517587939,64760,398,398
7uk8_A,boltz2,eval-val,long,AUC,0.9316022485254962,64760,398,64760
7ur2_A,boltz2,eval-val,all,L,0.5794871794871795,11959,137,195
7ur2_A,boltz2,eval-val,all,L/2,0.7525773195876289,11959,137,97
7ur2_A,boltz2,eval-val,all,L/5,0.6923076923076923,11959,137,39
7ur2_A,boltz2,eval-val,all,R,0.7226277372262774,11959,137,137
7ur2_A,boltz2,eval-val,all,AUC,0.9174679892863361,11959,137,11959
7ur2_A,boltz2,eval-val,short,L,0.041025641025641026,846,11,195
7ur2_A,boltz2,eval-val,short,L/2,0.08247422680412371,846,11,97
7ur2_A,boltz2,eval-val,short,L/5,0.15384615384615385,846,11,39
7ur2_A,boltz2,eval-val,short,R,0.5454545454545454,846,11,11
7ur2_A,boltz2,eval-val,short,AUC,0.7695699510070767,846,11,846
7ur2_A,boltz2,eval-val,medium,L,0.05641025641025641,1542,14,195
7ur2_A,boltz2,eval-val,medium,L/2,0.1134020618556701,1542,14,97
7ur2_A,boltz2,eval-val,medium,L/5,0.28205128205128205,1542,14,39
7ur2_A,boltz2,eval-val,medium,R,0.7857142857142857,1542,14,14
7ur2_A,boltz2,eval-val,medium,AUC,0.8918754674644727,1542,14,1542
7ur2_A,boltz2,eval-val,long,L,0.5025641025641026,9571,112,195
7ur2_A,boltz2,eval-val,long,L/2,0.7422680412371134,9571,112,97
7ur2_A,boltz2,eval-val,long,L/5,0.6666666666666666,9571,112,39
7ur2_A,boltz2,eval-val,long,R,0.7321428571428571,9571,112,112
7ur2_A,boltz2,eval-val,long,AUC,0.9351194251884071,9571,112,9571
