eval_set,stem,L,n_gt_contacts,prompt_tokens,recipe_budget,context_headroom,max_tokens,gt_statement_tokens,gt_fits,headroom_ratio,n_contacts_emitted,document_truncated,scorable
eval-denovo,5sbj_A,30,41,67,308,8125,308,52,1,5.923,17,0,1
eval-denovo,7ur7_A,70,161,147,548,8045,548,181,1,3.028,60,0,1
eval-denovo,8ah9_A,120,255,247,848,7945,848,397,1,2.136,132,0,1
eval-denovo,8eov_A,146,492,299,1004,7893,1004,436,1,2.303,145,0,1
eval-denovo,8fjf_A,134,243,275,932,7917,932,286,1,3.259,95,0,1
eval-denovo,8gac_A,106,264,219,764,7973,764,238,1,3.21,79,0,1
eval-denovo,8ju8_A,139,241,285,962,7907,962,280,1,3.436,93,0,1
eval-denovo,8k7o_A,233,460,473,1526,7719,1526,613,1,2.489,204,0,1
eval-denovo,8k7z_A,180,190,367,1208,7825,1208,274,1,4.409,91,0,1
eval-denovo,8k83_A,181,303,369,1214,7823,1214,367,1,3.308,122,0,1
eval-denovo,8k84_A,177,362,361,1190,7831,1190,409,1,2.91,136,0,1
eval-denovo,8kcj_A,181,299,369,1214,7823,1214,367,1,3.308,122,0,1
eval-denovo,8ka7_A,124,170,255,872,7937,872,262,1,3.328,87,0,1
eval-denovo,8kac_A,129,251,265,902,7927,902,313,1,2.882,104,0,1
eval-denovo,8oys_A,190,357,387,1268,7805,1268,445,1,2.849,148,0,1
eval-denovo,8oyy_A,242,680,491,1580,7701,1580,718,1,2.201,239,0,1
eval-denovo,8qkd_A,284,588,575,1832,7617,1832,718,1,2.552,239,0,1
eval-denovo,8qup_A,124,272,255,872,7937,872,280,1,3.114,93,0,1
eval-denovo,8vc8_A,204,432,415,1352,7777,1352,442,1,3.059,147,0,1
eval-test,8es6_A,488,996,983,3056,7209,3056,1381,1,2.213,460,0,1
eval-test,8ev4_A,125,173,257,878,7935,878,286,1,3.07,95,0,1
eval-test,8ew1_A,267,705,541,1730,7651,1730,1090,1,1.587,363,0,1
eval-test,8ew9_A,248,519,503,1616,7689,1616,694,1,2.329,231,0,1
eval-test,8ey3_A,65,106,137,518,8055,518,118,1,4.39,39,0,1
eval-test,8ez6_A,72,101,151,560,8041,560,127,1,4.409,42,0,1
eval-test,8ezw_A,160,282,327,1088,7865,1088,355,1,3.065,118,0,1
eval-test,8f8n_A,220,305,447,1448,7745,1448,328,1,4.415,109,0,1
eval-test,8f9o_A,496,1151,999,3104,7193,3104,1771,1,1.753,590,0,1
eval-test,8fbc_A,395,933,797,2498,7395,2498,1279,1,1.953,426,0,1
eval-test,8jjq_A,331,704,669,2114,7523,2114,1039,1,2.035,346,0,1
eval-test,8fib_A,441,963,889,2774,7303,2774,1213,1,2.287,404,0,1
eval-test,8fr5_A,97,222,201,710,7991,710,271,1,2.62,90,0,1
eval-test,8fty_A,509,1112,1025,3182,7167,3182,1744,1,1.825,581,0,1
eval-test,8h2f_A,180,433,367,1208,7825,1208,562,1,2.149,187,0,1
eval-test,8fz8_A,405,881,817,2558,7375,2558,1102,1,2.321,367,0,1
eval-test,8fz9_A,138,323,283,956,7909,956,418,1,2.287,139,0,1
eval-test,8g0n_A,247,579,501,1610,7691,1610,790,1,2.038,263,0,1
eval-test,8g1l_A,252,514,511,1640,7681,1640,826,1,1.985,275,0,1
eval-test,8g1y_A,497,1031,1001,3110,7191,3110,1429,1,2.176,476,0,1
eval-test,8g32_A,362,661,731,2300,7461,2300,1006,1,2.286,335,0,1
eval-test,8g52_A,329,618,665,2102,7527,2102,769,1,2.733,256,0,1
eval-test,8g53_A,218,366,443,1436,7749,1436,451,1,3.184,150,0,1
eval-test,8g5u_A,489,1094,985,3062,7207,3062,1606,1,1.907,535,0,1
eval-test,8g64_A,172,403,351,1160,7841,1160,451,1,2.572,150,0,1
eval-test,8gbe_A,207,497,421,1370,7771,1370,601,1,2.28,200,0,1
eval-test,8gdl_A,361,936,729,2294,7463,2294,1195,1,1.92,398,0,1
eval-test,8gj9_A,65,130,137,518,8055,518,109,1,4.752,36,0,1
eval-test,8gjw_A,355,991,717,2258,7475,2258,1279,1,1.765,426,0,1
eval-test,8gjy_A,376,1031,759,2384,7433,2384,1270,1,1.877,423,0,1
eval-test,8gkd_A,358,992,723,2276,7469,2276,1366,1,1.666,455,0,1
eval-test,8gok_A,273,720,553,1766,7639,1766,823,1,2.146,274,0,1
eval-test,8gr7_A,343,838,693,2186,7499,2186,1069,1,2.045,356,0,1
eval-test,8gsy_A,144,233,295,992,7897,992,370,1,2.681,123,0,1
eval-test,8gqq_A,99,199,205,722,7987,722,298,1,2.423,99,0,1
eval-test,8gtz_A,483,1073,973,3026,7219,3026,1417,1,2.135,472,0,1
eval-test,8q79_A,236,492,479,1544,7713,1544,790,1,1.954,263,0,1
eval-test,8h02_A,84,116,175,632,8017,632,163,1,3.877,54,0,1
eval-test,8h5s_A,260,462,527,1688,7665,1688,574,1,2.941,191,0,1
eval-test,8hbt_A,446,997,899,2804,7293,2804,1426,1,1.966,475,0,1
eval-test,8hd2_A,354,845,715,2252,7477,2252,1096,1,2.055,365,0,1
eval-test,8he1_A,280,531,567,1808,7625,1808,757,1,2.388,252,0,1
eval-test,8axs_A,578,1335,1163,3596,7029,3596,2167,1,1.659,722,0,1
eval-test,8hnq_A,286,650,579,1844,7613,1844,919,1,2.007,306,0,1
eval-test,8hvd_A,614,1366,1235,3812,6957,3812,2134,1,1.786,711,0,1
eval-test,7xhz_A,231,505,469,1514,7723,1514,670,1,2.26,223,0,1
eval-test,8hw8_A,356,731,719,2264,7473,2264,1087,1,2.083,362,0,1
eval-test,8hxs_A,100,207,207,728,7985,728,343,1,2.122,114,0,1
eval-test,8ii8_A,226,395,459,1484,7733,1484,415,1,3.576,138,0,1
eval-test,8ikx_A,390,792,787,2468,7405,2468,1276,1,1.934,425,0,1
eval-test,8ini_A,99,202,205,722,7987,722,247,1,2.923,82,0,1
eval-test,8iqc_A,254,508,515,1652,7677,1652,694,1,2.38,231,0,1
eval-test,8irq_A,165,390,337,1118,7855,1118,403,1,2.774,134,0,1
eval-test,8iym_A,163,363,333,1106,7859,1106,487,1,2.271,162,0,1
eval-test,8j2n_A,320,599,647,2048,7545,2048,775,1,2.643,258,0,1
eval-test,8j2x_A,341,564,689,2174,7503,2174,694,1,3.133,231,0,1
eval-test,8jb3_A,455,1049,917,2858,7275,2858,1261,1,2.266,420,0,1
eval-test,7wr2_A,161,374,329,1094,7863,1094,409,1,2.675,136,0,1
eval-test,8j8y_A,141,295,289,974,7903,974,289,1,3.37,96,0,1
eval-test,8j9r_A,74,119,155,572,8037,572,154,1,3.714,51,0,1
eval-test,8jdg_A,471,895,949,2954,7243,2954,1198,1,2.466,399,0,1
eval-test,8jh8_A,248,500,503,1616,7689,1616,754,1,2.143,251,0,1
eval-test,8jiy_A,241,458,489,1574,7703,1574,733,1,2.147,244,0,1
eval-test,8jmy_A,129,267,265,902,7927,902,358,1,2.52,119,0,1
eval-test,8jn0_A,89,197,185,662,8007,662,292,1,2.267,97,0,1
eval-test,8jup_A,327,506,661,2090,7531,2090,691,1,3.025,230,0,1
eval-test,8jv2_A,361,840,729,2294,7463,2294,1183,1,1.939,394,0,1
eval-test,8jws_A,127,271,261,890,7931,890,325,1,2.738,108,0,1
eval-test,8cjd_A,663,1803,1333,4106,6859,4106,2377,1,1.727,792,0,1
eval-test,8k2g_A,516,1245,1039,3224,7153,3224,1840,1,1.752,613,0,1
eval-test,8k2k_A,542,1355,1091,3380,7101,3380,1960,1,1.724,653,0,1
eval-test,8k2m_A,581,1328,1169,3614,7023,3614,1894,1,1.908,631,0,1
eval-test,8k4m_A,137,280,281,950,7911,950,358,1,2.654,119,0,1
eval-test,8k5j_A,427,968,861,2690,7331,2690,1405,1,1.915,468,0,1
eval-test,8k7x_A,856,1538,1719,5264,6473,5264,2239,1,2.351,746,0,1
eval-test,8kg4_A,265,515,537,1718,7655,1718,811,1,2.118,270,0,1
eval-test,8xrh_A,408,849,823,2576,7369,2576,1168,1,2.205,389,0,1
eval-test,8khv_A,614,1400,1235,3812,6957,3812,1999,1,1.907,666,0,1
eval-test,8kih_A,332,741,671,2120,7521,2120,856,1,2.477,285,0,1
eval-test,8ok3_A,125,197,257,878,7935,878,346,1,2.538,115,0,1
eval-test,8oqh_A,91,160,189,674,8003,674,214,1,3.15,71,0,1
eval-test,8ork_A,460,895,927,2888,7265,2888,1219,1,2.369,406,0,1
eval-test,8os2_A,146,226,299,1004,7893,1004,325,1,3.089,108,0,1
eval-test,8owf_A,575,1347,1157,3578,7035,3578,1954,1,1.831,651,0,1
eval-test,8osz_A,263,550,533,1706,7659,1706,817,1,2.088,272,0,1
eval-test,8ou1_A,148,296,303,1016,7889,1016,433,1,2.346,144,0,1
eval-test,8ovq_A,232,315,471,1520,7721,1520,532,1,2.857,177,0,1
eval-test,8ovu_A,99,157,205,722,7987,722,244,1,2.959,81,0,1
eval-test,8ow8_A,446,1046,899,2804,7293,2804,1402,1,2.0,467,0,1
eval-test,8oxk_A,99,195,205,722,7987,722,286,1,2.524,95,0,1
eval-test,8oxl_A,92,212,191,680,8001,680,295,1,2.305,98,0,1
eval-test,8p0e_A,190,296,387,1268,7805,1268,454,1,2.793,151,0,1
eval-test,8p2a_A,89,105,185,662,8007,662,142,1,4.662,47,0,1
eval-test,8p5p_A,116,234,239,824,7953,824,361,1,2.283,120,0,1
eval-test,8p5n_A,144,295,295,992,7897,992,406,1,2.443,135,0,1
eval-test,7wu8_A,96,141,199,704,7993,704,163,1,4.319,54,0,1
eval-test,8pak_A,361,740,729,2294,7463,2294,1048,1,2.189,349,0,1
eval-test,8paq_A,166,290,339,1124,7853,1124,316,1,3.557,105,0,1
eval-test,8pb5_A,322,778,651,2060,7541,2060,1045,1,1.971,348,0,1
eval-test,8por_A,179,337,365,1202,7827,1202,445,1,2.701,148,0,1
eval-test,8ptd_A,343,754,693,2186,7499,2186,1273,1,1.717,424,0,1
eval-test,8pu2_A,75,146,157,578,8035,578,142,1,4.07,47,0,1
eval-test,8pvs_A,731,1689,1469,4514,6723,4514,2878,1,1.568,959,0,1
eval-test,8pw2_A,72,120,151,560,8041,560,145,1,3.862,48,0,1
eval-test,8pxc_A,457,456,921,2870,7271,2870,772,1,3.718,257,0,1
eval-test,8pxu_A,655,1560,1317,4058,6875,4058,2299,1,1.765,766,0,1
eval-test,8q1v_A,93,130,193,686,7999,686,145,1,4.731,48,0,1
eval-test,8qb1_A,88,148,183,656,8009,656,229,1,2.865,76,0,1
eval-test,8qd8_A,431,1053,869,2714,7323,2714,1417,1,1.915,472,0,1
eval-test,8qjp_A,254,551,515,1652,7677,1652,688,1,2.401,229,0,1
eval-test,8qlc_A,627,1429,1261,3890,6931,3890,1960,1,1.985,653,0,1
eval-test,8qoh_A,278,623,563,1796,7629,1796,799,1,2.248,266,0,1
eval-test,8qpj_A,300,667,607,1928,7585,1928,883,1,2.183,294,0,1
eval-test,8qq1_A,221,513,449,1454,7743,1454,733,1,1.984,244,0,1
eval-test,8qle_A,283,590,573,1826,7619,1826,721,1,2.533,240,0,1
eval-test,8qx6_A,165,327,337,1118,7855,1118,544,1,2.055,181,0,1
eval-test,8r2c_A,169,372,345,1142,7847,1142,553,1,2.065,184,0,1
eval-test,8r5n_A,165,410,337,1118,7855,1118,556,1,2.011,185,0,1
eval-test,8ra0_A,499,1056,1005,3122,7187,3122,1486,1,2.101,495,0,1
eval-test,8rcw_A,229,435,465,1502,7727,1502,610,1,2.462,203,0,1
eval-test,8rdd_A,170,413,347,1148,7845,1148,469,1,2.448,156,0,1
eval-test,8re3_A,445,1086,897,2798,7295,2798,1531,1,1.828,510,0,1
eval-test,8rom_A,202,430,411,1340,7781,1340,541,1,2.477,180,0,1
eval-test,8an4_A,196,404,399,1304,7793,1304,517,1,2.522,172,0,1
eval-test,8qnf_A,537,1019,1081,3350,7111,3350,1423,1,2.354,474,0,1
eval-test,8s5b_A,396,925,799,2504,7393,2504,1222,1,2.049,407,0,1
eval-test,8s9l_A,270,546,547,1748,7645,1748,730,1,2.395,243,0,1
eval-test,8sot_A,116,262,239,824,7953,824,268,1,3.075,89,0,1
eval-test,8spc_A,415,772,837,2618,7355,2618,982,1,2.666,327,0,1
eval-test,8suc_A,283,531,573,1826,7619,1826,808,1,2.26,269,0,1
eval-test,8sv7_A,276,597,559,1784,7633,1784,859,1,2.077,286,0,1
eval-test,8sx0_A,111,222,229,794,7963,794,316,1,2.513,105,0,1
eval-test,8sxs_A,126,241,259,884,7933,884,322,1,2.745,107,0,1
eval-test,8gm7_A,170,410,347,1148,7845,1148,559,1,2.054,186,0,1
eval-test,8t27_A,509,1142,1025,3182,7167,3182,1864,1,1.707,621,0,1
eval-test,8t2j_A,345,762,697,2198,7495,2198,1069,1,2.056,356,0,1
eval-test,8t41_A,867,2038,1741,5330,6451,5330,2938,1,1.814,979,0,1
eval-test,8t4c_A,147,347,301,1010,7891,1010,481,1,2.1,160,0,1
eval-test,8t5t_A,208,410,423,1376,7769,1376,589,1,2.336,196,0,1
eval-test,8t8k_A,184,573,375,1232,7817,1232,550,1,2.24,183,0,1
eval-test,8t93_A,249,551,505,1622,7687,1622,640,1,2.534,213,0,1
eval-test,8t9n_A,135,331,277,938,7915,938,421,1,2.228,140,0,1
eval-test,8te9_A,336,807,679,2144,7513,2144,1057,1,2.028,352,0,1
eval-test,8tfo_A,416,860,839,2624,7353,2624,1192,1,2.201,397,0,1
eval-test,8tfs_A,186,260,379,1244,7813,1244,355,1,3.504,118,0,1
eval-test,8hic_A,414,962,835,2612,7357,2612,1438,1,1.816,479,0,1
eval-test,8ti5_A,134,263,275,932,7917,932,352,1,2.648,117,0,1
eval-test,8tjg_A,260,560,527,1688,7665,1688,784,1,2.153,261,0,1
eval-test,8tru_A,408,907,823,2576,7369,2576,1345,1,1.915,448,0,1
eval-test,8tse_A,428,995,863,2696,7329,2696,1411,1,1.911,470,0,1
eval-test,8tuk_A,322,695,651,2060,7541,2060,907,1,2.271,302,0,1
eval-test,8tw1_A,286,560,579,1844,7613,1844,817,1,2.257,272,0,1
eval-test,8tyh_A,538,717,1083,3356,7109,3356,994,1,3.376,331,0,1
eval-test,8u0i_A,90,153,187,668,8005,668,238,1,2.807,79,0,1
eval-test,8u0x_A,186,338,379,1244,7813,1244,457,1,2.722,152,0,1
eval-test,8u2f_A,149,311,305,1022,7887,1022,436,1,2.344,145,0,1
eval-test,8ubs_A,151,327,309,1034,7883,1034,487,1,2.123,162,0,1
eval-test,8uds_A,167,248,341,1130,7851,1130,319,1,3.542,106,0,1
eval-test,8tls_A,116,250,239,824,7953,824,253,1,3.257,84,0,1
eval-test,8ujw_A,264,310,535,1712,7657,1712,469,1,3.65,156,0,1
eval-test,8uk7_A,138,274,283,956,7909,956,307,1,3.114,102,0,1
eval-test,8upi_A,523,1169,1053,3266,7139,3266,1726,1,1.892,575,0,1
eval-test,8ux2_A,246,486,499,1604,7693,1604,649,1,2.471,216,0,1
eval-test,8uxt_A,1596,3809,3199,9704,4993,4993,4993,1,1.0,1664,1,0
eval-test,8v3m_A,524,1266,1055,3272,7137,3272,1834,1,1.784,611,0,1
eval-test,8v6t_A,172,412,351,1160,7841,1160,499,1,2.325,166,0,1
eval-test,8vcw_A,327,830,661,2090,7531,2090,1150,1,1.817,383,0,1
eval-test,8vh7_A,552,1363,1111,3440,7081,3440,1921,1,1.791,640,0,1
eval-test,8vpo_A,472,1219,951,2960,7241,2960,1525,1,1.941,508,0,1
eval-test,8vqk_A,440,895,887,2768,7305,2768,1174,1,2.358,391,0,1
eval-test,8w6v_A,536,1215,1079,3344,7113,3344,1804,1,1.854,601,0,1
eval-test,8w7p_A,274,660,555,1772,7637,1772,832,1,2.13,277,0,1
eval-test,8wac_A,127,218,261,890,7931,890,370,1,2.405,123,0,1
eval-test,8wae_A,118,163,243,836,7949,836,286,1,2.923,95,0,1
eval-test,8wc1_A,178,271,363,1196,7829,1196,439,1,2.724,146,0,1
eval-test,8wcf_A,160,411,327,1088,7865,1088,484,1,2.248,161,0,1
eval-test,8whj_A,264,635,535,1712,7657,1712,661,1,2.59,220,0,1
eval-test,8whn_A,161,391,329,1094,7863,1094,322,1,3.398,107,0,1
eval-test,8wik_A,373,759,753,2366,7439,2366,1045,1,2.264,348,0,1
eval-test,8wj5_A,140,322,287,968,7905,968,397,1,2.438,132,0,1
eval-test,8kbl_A,104,202,215,752,7977,752,253,1,2.972,84,0,1
eval-test,8wnj_A,920,2535,1847,5648,6345,5648,3421,1,1.651,1140,0,1
eval-test,8wrx_A,88,249,183,656,8009,656,235,1,2.791,78,0,1
