pdb_id,chain_id,method,n_residues,mae_distogram_cb_angstrom,drmsd_distogram_cb_angstrom,n_mae_distogram_pairs,mae_distogram_cb_contact_angstrom,drmsd_distogram_cb_contact_angstrom,n_mae_distogram_contact_pairs,prec_short_L,prec_short_L_2,prec_short_L_5,prec_medium_L,prec_medium_L_2,prec_medium_L_5,prec_long_L,prec_long_L_2,prec_long_L_5,n_short_contacts,n_medium_contacts,n_long_contacts,lddt_distogram_cb,lddt_distogram_cb_soft
7t9r,A,heldout_baseline_naive,38,3.2456,4.1350,673,3.9652,5.2158,159,0.3421,0.3684,0.5714,0.2895,0.3684,0.2857,0.1579,0.1579,0.1429,18,32,18,0.3455,0.3162
7y8i,A,heldout_baseline_naive,97,2.0304,2.7293,2513,2.5491,3.5092,359,0.3505,0.6667,0.8421,0.4124,0.6875,0.8421,0.7320,0.8333,0.9474,34,40,122,0.4689,0.4318
7zoi,A,heldout_baseline_naive,151,4.8354,6.3248,5678,5.9601,8.2291,612,0.2980,0.4400,0.6000,0.2450,0.3200,0.3667,0.1325,0.1600,0.2667,77,96,153,0.2362,0.2451
7wz5,A,heldout_baseline_naive,161,5.8844,7.4178,7371,5.8007,9.1139,758,0.1056,0.1625,0.2188,0.0559,0.0625,0.0625,0.0870,0.1375,0.2188,21,11,213,0.2222,0.2554
8bau,A,heldout_baseline_naive,189,6.4504,8.0441,8921,5.9270,9.2754,907,0.2910,0.4149,0.5135,0.0847,0.1383,0.1892,0.0159,0.0000,0.0000,79,51,210,0.2518,0.2633
8gmy,A,heldout_baseline_naive,236,5.4442,7.2790,11334,5.3230,8.1707,1071,0.2331,0.3475,0.5106,0.2627,0.4237,0.6596,0.3178,0.4322,0.6383,70,116,285,0.2746,0.2766
7xg9,A,heldout_baseline_naive,288,4.9786,6.5182,15951,4.7101,7.3833,1432,0.1493,0.2639,0.4035,0.1215,0.2153,0.4211,0.4722,0.5556,0.6491,55,64,485,0.2980,0.3102
7x4p,A,heldout_baseline_naive,307,6.6698,8.3459,15771,5.8451,8.9975,1453,0.1726,0.2484,0.2951,0.1954,0.2941,0.2951,0.1498,0.2157,0.2951,84,115,354,0.2319,0.2526
7v3o,A,heldout_baseline_naive,328,7.1982,8.5801,15986,7.9277,10.9330,1386,0.1524,0.1646,0.1231,0.0427,0.0366,0.0154,0.1128,0.1829,0.2462,110,82,465,0.1594,0.1909
7qsj,A,heldout_baseline_naive,373,4.5584,6.2522,22300,4.8095,7.5539,1828,0.2681,0.3710,0.5946,0.2279,0.3172,0.4730,0.2976,0.4301,0.5946,124,117,552,0.3080,0.2979
