pair_id,L,strict_exact,n_fold1_structural_hits,n_fold2_structural_hits,n_fold1_contact_hits,n_fold2_contact_hits,n_fold1_contact_and_structural_hits,n_fold2_contact_and_structural_hits,first_fold1_structural_hit,first_fold2_structural_hit,first_dual_structural_hit,state_100,state_200,state_500,state_1000,true_fold1_control_pass,true_fold2_control_pass,no_contact_fold1_hit,no_contact_fold2_hit,fold1_gdt_threshold,fold2_gdt_threshold
1k0na_1rk4b,229,False,3,0,997,0,3,0,9.0,,,1,1,1,1,True,True,False,False,0.8353960396039605,0.8220297029702971
1kcta_3t1pa,377,False,373,0,78,36,24,0,2.0,,,1,1,1,1,True,False,False,False,0.7182692307692309,0.35
1nrjb_2gedb,191,True,6,0,1000,0,6,0,42.0,,,1,1,1,1,True,False,False,False,0.8653846153846154,0.43269230769230765
1qomb_1noca,420,True,0,0,0,2,0,0,,,,0,0,0,0,True,True,False,False,0.8274193548387098,0.7971774193548388
1qs8b_1miqb,411,False,73,0,461,9,52,0,7.0,,,1,1,1,1,True,True,False,False,0.7839721254355402,0.8051393728222997
1repc_2z9ob,227,False,355,0,1000,0,355,0,2.0,,,1,1,1,1,True,True,False,False,0.7991379310344828,0.7226600985221675
1uxmk_2nama,153,False,0,0,1000,0,0,0,,,,0,0,0,0,True,False,False,False,0.8748355263157895,0.35
1xnta_3lqca,152,True,16,0,981,1,16,0,70.0,,,1,1,1,1,True,True,False,False,0.6945,0.828
2a73b_3l5nb,982,True,0,0,0,0,0,0,,,,0,0,0,0,True,False,False,False,0.42432203389830514,0.35
2c1vb_2c1uc,335,True,0,0,329,6,0,0,,,,0,0,0,0,True,True,False,False,0.7338145896656535,0.7447568389057752
2lela_2k0qa,74,True,1,274,1,645,0,209,249.0,3.0,249.0,1,1,2,2,True,True,False,True,0.35,0.41655405405405405
2pbkb_3njqa,228,True,0,0,1,0,0,0,,,,0,0,0,0,True,True,False,False,0.8035714285714286,0.8178571428571428
2vfxl_3gmhl,203,False,0,0,0,1,0,0,,,,0,0,0,0,True,True,False,False,0.7789402173913043,0.7141304347826087
3g0ha_3ewsb,418,True,20,0,12,67,1,0,22.0,,,1,1,1,1,True,True,False,False,0.6328481012658228,0.604367088607595
3j7wb_3j7vg,343,True,2,94,71,620,1,82,144.0,2.0,144.0,1,2,2,2,True,True,False,False,0.3861198738170347,0.43438485804416405
3meea_4b3ob,552,False,0,0,1,0,0,0,,,,0,0,0,0,True,True,False,False,0.6092137592137592,0.7767199017199018
3tp2a_5lj3m,252,False,0,0,0,0,0,0,,,,0,0,0,0,True,False,False,False,0.8055803571428573,0.42488839285714286
3zxgb_5ec5p,293,False,0,0,0,17,0,0,,,,0,0,0,0,True,False,False,False,0.48089788732394373,0.35
4aana_4aala,324,True,0,0,133,4,0,0,,,,0,0,0,0,True,True,False,False,0.7772727272727273,0.8111285266457681
4o0pa_4o01d,489,False,0,0,0,0,0,0,,,,0,0,0,0,False,False,False,False,0.35,0.35
4pyia_4pyja,208,True,5,0,402,1,5,0,286.0,,,0,0,1,1,True,False,False,False,0.85,0.39891304347826084
4y0mj_4xwsd,209,False,0,0,357,157,0,0,,,,0,0,0,0,False,False,False,False,0.72421875,0.769921875
4ydqb_4twaa,488,True,0,0,877,0,0,0,,,,0,0,0,0,True,True,False,False,0.7634937238493724,0.8204497907949792
5c1va_5c1vb,318,True,85,0,998,0,85,0,10.0,,,1,1,1,1,True,True,False,False,0.8716935483870968,0.8332258064516129
5hmga_3ztje,328,True,0,0,0,0,0,0,,,,0,0,0,0,False,False,False,False,0.6325471698113208,0.7033018867924529
5i2ma_5i2sa,413,True,0,0,0,0,0,0,,,,0,0,0,0,True,True,False,False,0.409841075794621,0.5743276283618582
5jzha_5jztg,424,False,0,0,2,82,0,0,,,,0,0,0,0,True,False,False,False,0.5230450236966825,0.35
5l35d_5l35g,422,True,0,0,928,0,0,0,,,,0,0,0,0,False,True,False,False,0.5267772511848341,0.5635663507109006
6c6sd_2ougc,161,True,31,0,702,0,25,0,28.0,,,1,1,1,1,True,True,False,False,0.5297872340425531,0.7388297872340426
