stem,cohort,n_residues,n_pairs,mode,elapsed_seconds,model_load_seconds,total_seconds,n_rollouts,n_finished,n_malformed,generated_tokens,batch_size,bundle_size,temperature,top_p,timestamp_utc,model_nickname,runner_tag,gpu_name,gpu_total_memory_gb,gpu_compute_capability,hostname,platform,torch_version,total_seconds_reconstructed
7t9r_A,eval-val,38,703,cluster_k3,2.0301565597765148,8.647558281663805,10.753318054867385,50,50,0,4295,128,3,1.0,0.95,2026-09-23T20:26:15.405068+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
7xp9_A,eval-val,84,3486,cluster_k3,3.2451335806399584,0.0876038242501044,3.3845648242501043,50,50,0,7988,128,3,1.0,0.95,2026-09-23T20:27:04.976439+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
7ykm_A,eval-val,105,5460,cluster_k3,3.8714017956517637,0.0876038242501044,4.016502824250105,50,50,0,11126,128,3,1.0,0.95,2026-09-23T20:27:19.007020+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
8b2e_A,eval-val,143,10153,cluster_k3,6.848361265845597,0.0876038242501044,7.001849824250105,50,50,0,17084,128,3,1.0,0.95,2026-09-23T20:27:37.125692+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
8ec3_A,eval-val,168,14028,cluster_k3,6.987302279099822,0.0876038242501044,7.141157824250104,50,50,0,17198,128,3,1.0,0.95,2026-09-23T20:28:03.715887+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
7yd4_A,eval-val,185,17020,cluster_k3,8.300612639635801,0.0876038242501044,8.461194824250104,50,50,0,23105,128,3,1.0,0.95,2026-09-23T20:28:34.738321+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
8add_A,eval-val,213,22578,cluster_k3,11.532603335101157,0.0876038242501044,11.699647824250103,50,50,0,28283,128,3,1.0,0.95,2026-09-23T20:29:12.679946+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
8gmy_A,eval-val,236,27730,cluster_k3,11.973572469782084,0.0876038242501044,12.146515824250104,50,50,0,33671,128,3,1.0,0.95,2026-09-23T20:29:56.029549+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
7xlz_A,eval-val,266,35245,cluster_k3,13.215877586044371,0.0876038242501044,13.394647824250104,50,50,1,41111,128,3,1.0,0.95,2026-09-23T20:30:46.320653+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
8ak2_A,eval-val,297,43956,cluster_k3,14.957029449753463,0.0876038242501044,15.143227824250104,50,50,0,45866,128,3,1.0,0.95,2026-09-23T20:31:41.838122+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
7zs2_A,eval-val,316,49770,cluster_k3,12.908479762263596,0.0876038242501044,13.095394824250103,50,50,1,36386,128,3,1.0,0.95,2026-09-23T20:32:39.432480+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
8c4d_A,eval-val,330,54285,cluster_k3,17.00579676218331,0.0876038242501044,17.203412824250105,50,50,0,52016,128,3,1.0,0.95,2026-09-23T20:33:34.044164+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
8akh_A,eval-val,374,69751,cluster_k3,18.89447531104088,0.0876038242501044,19.095542824250106,50,50,0,55331,128,3,1.0,0.95,2026-09-23T20:34:45.963225+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
7y3h_A,eval-val,413,85078,cluster_k3,16.733847544994205,0.0876038242501044,16.937980824250108,50,50,0,47447,128,3,1.0,0.95,2026-09-23T20:35:57.925306+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
7xq4_A,eval-val,514,131841,cluster_k3,27.600697485730052,0.0876038242501044,27.836515824250107,50,50,0,78440,128,3,1.0,0.95,2026-09-23T20:37:17.575340+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
7znz_A,eval-val,761,289180,cluster_k3,66.05915544414893,0.0876038242501044,66.36752882425012,50,50,0,155996,128,3,1.0,0.95,2026-09-23T20:39:43.936380+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
7t9r_A,eval-val,38,703,cluster_k5,1.7831722148694098,0.0876038242501044,1.9115098242501045,50,50,0,3989,128,5,1.0,0.95,2026-09-23T20:26:59.635014+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
7yhr_A,eval-val,60,1770,cluster_k5,2.4478146680630744,0.03415686250549316,2.5505511982847695,50,50,0,5627,128,5,1.0,0.95,2026-09-23T20:45:25.167204+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
7xi5_A,eval-val,65,2080,cluster_k5,2.2295951400883496,0.03415686250549316,2.305781862505493,50,50,0,5804,128,5,1.0,0.95,2026-09-23T20:45:29.928229+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
8b6e_A,eval-val,66,2145,cluster_k5,2.1696349000558257,0.03415686250549316,2.2513638625054933,50,50,0,5372,128,5,1.0,0.95,2026-09-23T20:45:34.408768+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
8b2g_A,eval-val,74,2701,cluster_k5,3.066419215872884,0.03415686250549316,3.148798862505493,50,50,0,9029,128,5,1.0,0.95,2026-09-23T20:45:39.591397+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
7pv5_A,eval-val,81,3240,cluster_k5,3.298820646945387,0.03415686250549316,3.385692862505493,50,50,0,10043,128,5,1.0,0.95,2026-09-23T20:45:46.226224+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,True
