source,stem,n_residues,best_target_rep,best_target_split,best_alntmscore,best_qtmscore,best_train_target_rep,best_train_alntmscore,best_train_qtmscore,best_train_fident,tm_field,n_hits_tm_ge_fold,n_train_hits_tm_ge_fold,verdict,fold_tm,redundant_tm,foldseek_version,db_snapshot_tag
de novo (PDB),1mj0,166,A0A2U1RK27,train,0.9901,0.9838,A0A2U1RK27,0.9901,0.9838,0.455,qtmscore,300,292,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),1qys,106,A0A7J9GUZ8,train,0.8109,0.8033,A0A7J9GUZ8,0.8109,0.8033,0.053,qtmscore,112,109,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),1uw1,80,A0A1Q4FG64,train,0.6439,0.6225,A0A1Q4FG64,0.6439,0.6225,0.031,qtmscore,46,45,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2af5,297,A0A2T1HN94,train,0.6488,0.5173,A0A2T1HN94,0.6488,0.5173,0.053,qtmscore,5,5,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2avp,70,A0A7C3JXH6,train,1.005,0.99,A0A7C3JXH6,1.005,0.99,0.382,qtmscore,300,297,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2fkg,320,A0A5N1JPC6,train,0.6197,0.5442,A0A5N1JPC6,0.6197,0.5442,0.026,qtmscore,7,7,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2fo7,136,A0A323U6Q8,train,0.9912,0.984,A0A323U6Q8,0.9912,0.984,0.364,qtmscore,300,295,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2hkd,320,A0A0P9DQV5,train,0.5562,0.5422,A0A0P9DQV5,0.5562,0.5422,0.044,qtmscore,11,11,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2hyz,136,A0A6P0WTQ7,train,0.9961,0.9888,A0A6P0WTQ7,0.9961,0.9888,0.316,qtmscore,300,294,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2i5v,251,A0A1R2AS89,train,0.6138,0.5461,A0A1R2AS89,0.6138,0.5461,0.035,qtmscore,6,6,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2i5z,251,A0A3A1WAV7,train,0.5873,0.5296,A0A3A1WAV7,0.5873,0.5296,0.071,qtmscore,5,5,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2p05,81,A0A4R7MEB1,train,0.6104,0.6027,A0A4R7MEB1,0.6104,0.6027,0.022,qtmscore,53,51,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2p09,81,A0A3N0DPP0,train,0.6053,0.5912,A0A3N0DPP0,0.6053,0.5912,0.021,qtmscore,39,39,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2qyj,166,V6DHL0,train,0.989,0.9826,V6DHL0,0.989,0.9826,0.385,qtmscore,300,293,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2wqh,125,A0A839SR85,train,0.9877,0.9783,A0A839SR85,0.9877,0.9783,0.413,qtmscore,300,295,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2xen,91,A0A1Q7Y8S2,train,0.9882,0.9776,A0A1Q7Y8S2,0.9882,0.9776,0.358,qtmscore,300,295,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2zgd,110,A0A523U4Q5,train,0.9435,0.9343,A0A523U4Q5,0.9435,0.9343,0.302,qtmscore,300,292,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),2zgg,92,A0A0M3CJ14,train,0.9869,0.976,A0A0M3CJ14,0.9869,0.976,0.363,qtmscore,300,294,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3dgl,81,A0A3N0DPP0,train,0.6015,0.5875,A0A3N0DPP0,0.6015,0.5875,0.021,qtmscore,43,43,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3dgm,81,A0A3N0DPP0,train,0.6037,0.5897,A0A3N0DPP0,0.6037,0.5897,0.021,qtmscore,46,45,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3dgn,81,A0A1W9N0C4,train,0.5964,0.5903,A0A1W9N0C4,0.5964,0.5903,0.023,qtmscore,48,48,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3dgo,81,A0A3N0DPP0,train,0.6046,0.5905,A0A3N0DPP0,0.6046,0.5905,0.021,qtmscore,45,45,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3lt8,81,A0A1W9N0C4,train,0.5915,0.5856,A0A1W9N0C4,0.5915,0.5856,0.018,qtmscore,37,37,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3lt9,81,A0A1W9N0C4,train,0.5915,0.5856,A0A1W9N0C4,0.5915,0.5856,0.018,qtmscore,37,37,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3lta,81,A0A1W9N0C4,train,0.5948,0.5887,A0A1W9N0C4,0.5948,0.5887,0.018,qtmscore,38,38,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3ltb,81,A0A3N0DPP0,train,0.6042,0.5901,A0A3N0DPP0,0.6042,0.5901,0.021,qtmscore,51,50,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3ltc,81,A0A1W9N0C4,train,0.5888,0.5828,A0A1W9N0C4,0.5888,0.5828,0.018,qtmscore,41,40,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3ltd,81,A0A6S6FZN2,train,0.6162,0.6089,A0A6S6FZN2,0.6162,0.6089,0.014,qtmscore,47,47,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3o49,142,A0A4R2EWI1,train,0.9561,0.9412,A0A4R2EWI1,0.9561,0.9412,0.121,qtmscore,294,289,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3o4b,142,A0A4R2EWI1,train,0.9569,0.9419,A0A4R2EWI1,0.9569,0.9419,0.13,qtmscore,294,288,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3o4c,142,A0A4R2EWI1,train,0.9559,0.9411,A0A4R2EWI1,0.9559,0.9411,0.129,qtmscore,293,289,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3o4d,142,A0A4R2EWI1,train,0.9577,0.9428,A0A4R2EWI1,0.9577,0.9428,0.13,qtmscore,291,285,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3og3,251,A0A1V5BFS2,train,0.8962,0.8927,A0A1V5BFS2,0.8962,0.8927,0.312,qtmscore,171,170,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3p6i,142,A0A6N3GME3,train,0.9177,0.911,A0A6N3GME3,0.9177,0.911,0.104,qtmscore,290,285,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3p6j,142,A0A4R2EWI1,train,0.9508,0.8412,A0A4R2EWI1,0.9508,0.8412,0.133,qtmscore,285,281,same_fold,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3pg0,165,W7Z1A7,train,0.9919,0.9849,W7Z1A7,0.9919,0.9849,0.471,qtmscore,299,293,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
de novo (PDB),3q7w,132,A0A4R2EWI1,train,0.9551,0.9403,A0A4R2EWI1,0.9551,0.9403,0.129,qtmscore,293,289,redundant,0.5,0.9,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330
