pair_id,fold1,fold2,tier,seq_class,hit_target,hit_arm,hit_shard,hit_row,hit_entry_id,hit_identity,hit_qcov,hit_evalue,corpus_status,uniprot_accession,train_seq_identity_to_reference,n_train_contacts,n_hit_a,n_hit_b,n_a,n_b,recall_a,recall_b,training_fold
1h38d_1qlna,1h38D,1qlnA,B,identical,afdb|01731_544_AF-A0A7X9S2C4-F1,afdb,1731,544,AF-A0A7X9S2C4-F1,0.809,0.204,4.377E-81,ok,A0A7X9S2C4,0.8389,131,22,7,255,277,0.0863,0.0253,neither
1k0na_1rk4b,1k0nA,1rk4B,B,identical,afdb|00633_1717_AF-Q5E9B7-F1,afdb,633,1717,AF-Q5E9B7-F1,0.927,1.0,6.859E-145,ok,Q5E9B7,0.9212,215,27,13,42,50,0.6429,0.26,fold1
1nqda_1nqjb,1nqdA,1nqjB,B,identical,afdb|00626_291_AF-A0A2C3MBL0-F1,afdb,626,291,AF-A0A2C3MBL0-F1,0.468,0.809,2.760E-16,ok,A0A2C3MBL0,0.171,6,0,0,40,17,0.0,0.0,neither
1qomb_1noca,1qomB,1nocA,B,identical,afdb|01746_40_AF-A0A480I4Q2-F1,afdb,1746,40,AF-A0A480I4Q2-F1,0.924,0.969,3.659E-255,ok,A0A480I4Q2,0.3393,420,70,19,108,89,0.6481,0.2135,fold1
1qs8b_1miqb,1qs8B,1miqB,B,identical,afdb|01601_741_AF-W4IWF5-F1,afdb,1601,741,AF-W4IWF5-F1,0.712,0.579,9.251E-101,ok,W4IWF5,0.7253,132,11,7,86,74,0.1279,0.0946,neither
1repc_2z9ob,1repC,2z9oB,B,identical,afdb|00731_447_AF-A0A8A3SQ33-F1,afdb,731,447,AF-A0A8A3SQ33-F1,0.987,0.339,6.004E-42,ok,A0A8A3SQ33,0.7768,76,4,4,103,88,0.0388,0.0455,neither
1uxmk_2nama,1uxmK,2namA,C,identical,afdb|01515_1843_AF-Q6LDS4-F1,afdb,1515,1843,AF-Q6LDS4-F1,0.835,0.987,8.285E-78,ok,Q6LDS4,0.8289,113,79,0,105,22,0.7524,0.0,fold1
1xjta_1xjub,1xjtA,1xjuB,B,identical,esm_atlas|00843_16140_40bc60991d174b817c97a573b30b9537,esm_atlas,843,16140,40bc60991d174b817c97a573b30b9537,0.793,0.994,9.348E-87,ok,,0.7053,154,19,16,25,39,0.76,0.4103,fold1
1xnta_3lqca,1xntA,3lqcA,C,identical,afdb|00746_1639_AF-A0A7F8QAH0-F1,afdb,746,1639,AF-A0A7F8QAH0-F1,0.892,0.599,2.662E-46,ok,A0A7F8QAH0,0.989,46,30,1,88,68,0.3409,0.0147,fold1
2a73b_3l5nb,2a73B,3l5nB,B,identical,afdb|00321_1632_AF-A0A2J8IPT5-F1,afdb,321,1632,AF-A0A2J8IPT5-F1,0.959,0.805,0.000E+00,ok,A0A2J8IPT5,0.9949,858,144,133,435,308,0.331,0.4318,ambiguous
