dataset,stem,L,range,r_precision,n_true,n_candidate
cameo_hard,8j4i_A,190,all,0.4409448818897638,127,17020
cameo_hard,8j4i_A,190,short,0.125,8,1089
cameo_hard,8j4i_A,190,medium,0.5161290322580645,31,2070
cameo_hard,8j4i_A,190,long,0.4431818181818182,88,13861
cameo_hard,8jvx_B,39,all,0.42857142857142855,14,561
cameo_hard,8jvx_B,39,short,0.5,2,183
cameo_hard,8jvx_B,39,medium,0.0,4,258
cameo_hard,8jvx_B,39,long,0.875,8,120
cameo_hard,8raj_A,62,all,0.8461538461538461,13,1596
cameo_hard,8raj_A,62,short,0.6666666666666666,6,321
cameo_hard,8raj_A,62,medium,1.0,5,534
cameo_hard,8raj_A,62,long,1.0,2,741
cameo_hard,8s3m_A,345,all,0.3604336043360434,369,57630
cameo_hard,8s3m_A,345,short,0.4222222222222222,45,2019
cameo_hard,8s3m_A,345,medium,0.42857142857142855,56,3930
cameo_hard,8s3m_A,345,long,0.3208955223880597,268,51681
cameo_hard,8s89_A,401,all,0.2991202346041056,341,78210
cameo_hard,8s89_A,401,short,0.5833333333333334,24,2355
cameo_hard,8s89_A,401,medium,0.5892857142857143,56,4602
cameo_hard,8s89_A,401,long,0.20306513409961685,261,71253
cameo_hard,8u1a_A,324,all,0.16556291390728478,453,50721
cameo_hard,8u1a_A,324,short,0.21875,32,1893
cameo_hard,8u1a_A,324,medium,0.2,55,3678
cameo_hard,8u1a_A,324,long,0.15300546448087432,366,45150
cameo_hard,8v4w_A,207,all,0.25,216,20301
cameo_hard,8v4w_A,207,short,0.28,25,1191
cameo_hard,8v4w_A,207,medium,0.5681818181818182,44,2274
cameo_hard,8v4w_A,207,long,0.1292517006802721,147,16836
cameo_hard,8vd6_A,174,all,0.47368421052631576,114,14196
cameo_hard,8vd6_A,174,short,0.76,25,993
cameo_hard,8vd6_A,174,medium,0.47058823529411764,17,1878
cameo_hard,8vd6_A,174,long,0.3888888888888889,72,11325
cameo_hard,8vej_B,242,all,0.4090909090909091,176,27966
cameo_hard,8vej_B,242,short,0.5789473684210527,19,1401
cameo_hard,8vej_B,242,medium,0.4838709677419355,31,2694
cameo_hard,8vej_B,242,long,0.36507936507936506,126,23871
cameo_hard,8wwc_C,113,all,0.29896907216494845,97,5778
cameo_hard,8wwc_C,113,short,0.5833333333333334,12,627
cameo_hard,8wwc_C,113,medium,0.5714285714285714,21,1146
cameo_hard,8wwc_C,113,long,0.109375,64,4005
cameo_hard,8xtn_A,33,all,0.2857142857142857,7,378
cameo_hard,8xtn_A,33,short,0.5,2,147
cameo_hard,8xtn_A,33,medium,0.0,4,186
cameo_hard,8xtn_A,33,long,0.0,1,45
cameo_hard,8yl4_B,207,all,0.3142857142857143,175,20301
cameo_hard,8yl4_B,207,short,0.5238095238095238,21,1191
cameo_hard,8yl4_B,207,medium,0.5555555555555556,27,2274
cameo_hard,8yl4_B,207,long,0.2440944881889764,127,16836
cameo_hard,8yoz_A,79,all,0.6949152542372882,59,2701
cameo_hard,8yoz_A,79,short,0.8125,16,423
cameo_hard,8yoz_A,79,medium,0.6153846153846154,26,738
cameo_hard,8yoz_A,79,long,0.5294117647058824,17,1540
cameo_hard,8zaf_A,353,all,0.17994858611825193,389,60378
cameo_hard,8zaf_A,353,short,0.26,50,2067
cameo_hard,8zaf_A,353,medium,0.2727272727272727,66,4026
cameo_hard,8zaf_A,353,long,0.13186813186813187,273,54285
cameo_hard,9b7d_D,192,all,0.16312056737588654,141,17391
cameo_hard,9b7d_D,192,short,0.3103448275862069,29,1101
cameo_hard,9b7d_D,192,medium,0.13157894736842105,38,2094
cameo_hard,9b7d_D,192,long,0.0945945945945946,74,14196
cameo_hard,9bch_A,198,all,0.1907514450867052,173,18528
cameo_hard,9bch_A,198,short,0.4074074074074074,27,1137
cameo_hard,9bch_A,198,medium,0.3611111111111111,36,2166
cameo_hard,9bch_A,198,long,0.10909090909090909,110,15225
cameo_hard,9de9_B,81,all,0.5,62,2850
cameo_hard,9de9_B,81,short,0.42857142857142855,7,435
cameo_hard,9de9_B,81,medium,0.7142857142857143,7,762
