stem,method,eval_set,selected_sha256,ground_truth_sha256,selected_file,selection_confidence,contact_alignment_identity,gdt_ts,lddt,tm_score,rmsd,n_matched_atoms,n_matched_ca,missing_unknown_residues
5sbj_A,af3,eval-denovo,478ed1f1821623c2b92ed9753f0b058e26c28cf22810fc5e06a6a47b907ec0ee,469abd53af8cd8f8e935f6868102546fff09d7efb978b3783f897d3bec4fb03c,scratch/alphafold/results/af3/5sbj_A/selected.cif,0.5745717533501047,1.0,1.0,0.8719164001827319,0.9196249263586216,0.19551379694219395,199,28,
7pv5_A,af3,eval-val,2974fca4efa06f8aba69f4e9de89cd1d41cb73aa481f143b1d289c3e4ce15e7d,579d1bfe343c5d1aa5a215aa14d1fcaede5f69c93f42c1d0a0afa1fd03be8b57,scratch/alphafold/results/af3/7pv5_A/selected.cif,0.7935674056150894,1.0,0.9533333333333334,0.8292660285502104,0.9413103457506194,0.630165873667541,621,75,
7qp5_A,af3,eval-val,20cd65b0041e4f12371fad2ae4f9f9b8f5e07a39fdb300933340cf22d19e8fdd,0b70a6df7f47ba14212e0c12383e64bcfa6e6585cb2ede98c547ab0854cdaa45,scratch/alphafold/results/af3/7qp5_A/selected.cif,0.8904892549600345,1.0,0.9533195020746887,0.903636193681062,0.9764975436272496,1.1073655714908597,1936,241,
7qsj_A,af3,eval-val,737727a25d006b4f00468543000fa4d5dc9881a285f1eea48ce01e60c25f186f,9f62fd105bf2327cb0edd048d6820ffad4031f3c9ce6db70aa0efd19dae5b8b1,scratch/alphafold/results/af3/7qsj_A/selected.cif,0.9659306553123218,1.0,0.9884393063583815,0.9271428118523759,0.9927124864635967,0.42736923913640634,2688,346,
7t9r_A,af3,eval-val,5d791ddcfddc1e4eedc39bafcbf8c38cb26601a995aa8607aad0e80d4ae78f53,45adc0b25428ab11fea8a26cd7e2591c80e6f4ec0b04694092e3c93f108018d0,scratch/alphafold/results/af3/7t9r_A/selected.cif,0.674478254642677,1.0,0.8026315789473684,0.7974112249761678,0.8005016730647,1.670954443352833,316,38,
7tjb_A,af3,eval-val,10333a59ffac1f52bc583efc30e516948c29c9e088a3114a8ce97a1e915c40c9,cca2bfe29f0316104b4031b4dae3adb8608ed362967b535f4f5d4a8b4bc5b4c4,scratch/alphafold/results/af3/7tjb_A/selected.cif,0.9539273752668426,1.0,0.9391891891891893,0.9112357288956379,0.9711929552830635,1.0232074152383424,1770,222,
7tlh_A,af3,eval-val,adb9b6a8685f478e00f353db3eec347d8332234700c2e481a9a9793e36c25906,46ad4c9a653004569fb70999fa7b8684a611e4abd9f129b247300fbfd4a9ef80,scratch/alphafold/results/af3/7tlh_A/selected.cif,0.8470870846980438,1.0,0.907258064516129,0.8553664259562676,0.9392043102627192,0.7102664166996381,939,124,
7uba_A,af3,eval-val,68f8e769b6710241d43d2abe066f2208c081275d2bb9cc0a758f5bf1c330cd98,03283d62b6fb6ac481ad213b19037fe3c715db3d73f60a5a88554f904a71f44a,scratch/alphafold/results/af3/7uba_A/selected.cif,0.9194356097402879,1.0,0.979946524064171,0.9066067487141933,0.9843064228743973,0.5189134614995193,1492,187,
7uk8_A,af3,eval-val,9ccfe3ba4aaa1cef2d6166ec2201c8fa752a9c742ae034aebc8fc63f7a77a3e6,112665482fe52d9811dd1a4e528c40a268de10b5967c52e1eba070e914715385,scratch/alphafold/results/af3/7uk8_A/selected.cif,0.9301202804307638,1.0,0.8740208877284595,0.83384137247684,0.949497859644694,1.3970492633498293,3137,383,
7ur2_A,af3,eval-val,f01b0e8fd593adaee23a954bacdd6c034deee0422eed2cbe2e9b46ad0ab4a465,b0654bd8e984b8d256b51685799eb8193a4cbdd4ad38548822acee9bb9a21b78,scratch/alphafold/results/af3/7ur2_A/selected.cif,0.7715961841450532,1.0,0.0515625,0.588161056614601,0.626494396543446,12.259314338377495,1277,160,
7ur7_A,af3,eval-denovo,76d43cfa0e8faab2dbd090b7935c707d023dbbeebb308be9980872a0f1e837a9,140b317c5a401f179ef1868ebaa34644754796017cd68643e21a600a957e4317,scratch/alphafold/results/af3/7ur7_A/selected.cif,0.7500041816671406,1.0,0.9166666666666666,0.8314322920217625,0.9002730419884115,0.6183116356643343,534,63,
7urp_A,af3,eval-val,d7d453a7732458601f94e74dd371ec1063380e313f57c5ef3130ebdebd670eb1,a6804cddd11d478399b5831a1452b6eb76a69458f86b80545f97b376ef197678,scratch/alphafold/results/af3/7urp_A/selected.cif,0.9146293907220073,1.0,0.979559748427673,0.9296545068426221,0.9801861576982049,0.502831843455836,1185,159,
7uvg_A,af3,eval-val,fdcadca6d2c20c3af9240876b390f4b9b04dd9c345d9bb73ccd39f7f9adc4676,955e89cfbf42b0baa487966ec3bd065df815e40ce9756344f5eefeb8bfb45e29,scratch/alphafold/results/af3/7uvg_A/selected.cif,0.9010731042324869,1.0,0.9367469879518072,0.9098110149136545,0.9598330711910452,0.9695508319802991,1301,166,
