geometry,threshold,subset,stem,cluster
original,fine,all,proteina-75c14aeacc8a1a77d74f,proteina-75c14aeacc8a1a77d74f
original,fine,all,proteina-215583f1945db6f6dbfe,proteina-215583f1945db6f6dbfe
original,fine,all,proteina-0ad9b6897347c8251eaf,proteina-05efa835bc8aa6296099
original,fine,all,proteina-dbe6a3bb3fe03ad61a61,proteina-05efa835bc8aa6296099
original,fine,all,proteina-05efa835bc8aa6296099,proteina-05efa835bc8aa6296099
original,fine,all,proteina-13493a8cd8df39d64e7d,proteina-05efa835bc8aa6296099
original,fine,all,proteina-70791b852d1236e1a0d1,proteina-70791b852d1236e1a0d1
original,fine,all,proteina-a81dbf596dce0d01f55f,proteina-a81dbf596dce0d01f55f
original,fine,all,proteina-cac28b7490b76225f9ee,proteina-a81dbf596dce0d01f55f
original,fine,all,proteina-fa8062f75af335e9ecf1,proteina-fa8062f75af335e9ecf1
original,fine,all,proteina-276b5488628433a2a539,proteina-276b5488628433a2a539
original,fine,all,proteina-196b47be5f54394618a0,proteina-196b47be5f54394618a0
original,fine,all,proteina-c47b28aae69757c46b68,proteina-c47b28aae69757c46b68
original,fine,all,proteina-ae2d335f6f1b2af6d22e,proteina-576af52de547319d7f5b
original,fine,all,proteina-576af52de547319d7f5b,proteina-576af52de547319d7f5b
original,fine,all,proteina-d8b38fab9d70b86c27c8,proteina-576af52de547319d7f5b
original,fine,all,proteina-5ed86f32a250b3c9459d,proteina-5ed86f32a250b3c9459d
original,fine,all,proteina-24f4d1ab8dffefb3b814,proteina-24f4d1ab8dffefb3b814
original,fine,all,proteina-c337ed2496379b3a507b,proteina-c337ed2496379b3a507b
original,fine,all,proteina-b973158da8600beb120e,proteina-b973158da8600beb120e
original,fine,all,proteina-2bffd6308ea6421552b3,proteina-2bffd6308ea6421552b3
original,fine,all,proteina-d909ed39640b232ffeab,proteina-d909ed39640b232ffeab
original,fine,all,proteina-c6534107658702efbffc,proteina-c6534107658702efbffc
original,fine,all,proteina-57083b0489e240b352cb,proteina-57083b0489e240b352cb
original,fine,all,proteina-8a2cb45828c7f54a286f,proteina-8a2cb45828c7f54a286f
original,fine,all,proteina-97f80220aedc30db37fd,proteina-8a2cb45828c7f54a286f
original,fine,all,proteina-9b4701bcd77f96ae84ed,proteina-8a2cb45828c7f54a286f
original,fine,all,proteina-cfc40e241f03e7e656b9,proteina-cfc40e241f03e7e656b9
original,fine,all,proteina-902a7b7c464bf3c315f7,proteina-902a7b7c464bf3c315f7
original,fine,all,proteina-2a4a9abfb2af9f5d3ce5,proteina-2a4a9abfb2af9f5d3ce5
original,fine,all,proteina-0a4986de98417fc38457,proteina-0a4986de98417fc38457
original,fine,all,proteina-af7d027679bf8dba3c04,proteina-af7d027679bf8dba3c04
original,fine,all,proteina-2f58b143cc41192eb256,proteina-2f58b143cc41192eb256
original,fine,all,proteina-a05690df4731bece6c9d,proteina-a05690df4731bece6c9d
original,fine,all,proteina-8d666fc85f33fc1f3b19,proteina-8d666fc85f33fc1f3b19
original,fine,all,proteina-666c48866efe82a999be,proteina-666c48866efe82a999be
original,fine,all,proteina-7089d909c2af8a353b88,proteina-7089d909c2af8a353b88
original,fine,all,proteina-9f8f92f73c26a8508671,proteina-9f8f92f73c26a8508671
original,fine,all,proteina-04088de99a0727dd554f,proteina-04088de99a0727dd554f
original,fine,all,proteina-439d3b24029848b1f19a,proteina-439d3b24029848b1f19a
original,fine,all,proteina-bc3b7b3a34cd11f1c78d,proteina-48e986922343cf2640cb
original,fine,all,proteina-48e986922343cf2640cb,proteina-48e986922343cf2640cb
original,fine,all,proteina-3387cafc657a0a340fe8,proteina-3387cafc657a0a340fe8
original,fine,all,proteina-9d40fd11d91026e054d4,proteina-9d40fd11d91026e054d4
original,fine,all,proteina-0fb6d5c4cc1232112180,proteina-0fb6d5c4cc1232112180
original,fine,all,proteina-bd6762cea62cae9fffa7,proteina-9999df4f752306d927f9
original,fine,all,proteina-9999df4f752306d927f9,proteina-9999df4f752306d927f9
original,fine,all,proteina-e636365f0a7a57553a0f,proteina-e636365f0a7a57553a0f
original,fine,all,proteina-5577c9fab50dd1266bf2,proteina-5577c9fab50dd1266bf2
original,fine,all,proteina-a85a76c978eac08e2687,proteina-a85a76c978eac08e2687
original,fine,all,proteina-b55cbb9d584613aaa5da,proteina-b55cbb9d584613aaa5da
original,fine,all,proteina-7308efa9234e569bd022,proteina-7308efa9234e569bd022
original,fine,all,proteina-6648e52b3c80e35a1af7,proteina-6648e52b3c80e35a1af7
original,fine,all,proteina-76eec2ffec8854fd5cca,proteina-76eec2ffec8854fd5cca
original,fine,all,proteina-b745fe0c1378aae3777e,proteina-b745fe0c1378aae3777e
original,fine,all,proteina-07892e951ee9425b73e6,proteina-07892e951ee9425b73e6
original,fine,all,proteina-a57ec9536230be57026f,proteina-a57ec9536230be57026f
original,fine,all,proteina-fcacbecfcb0d7acb4612,proteina-fcacbecfcb0d7acb4612
original,fine,all,proteina-5d61ea52251aa80193af,proteina-5d61ea52251aa80193af
original,fine,all,proteina-4a330c07c2b73a0fa141,proteina-4a330c07c2b73a0fa141
original,fine,all,proteina-b1364757cc8f7d62c40f,proteina-b1364757cc8f7d62c40f
original,fine,all,proteina-fd1ba8c2633583bfd2d7,proteina-fd1ba8c2633583bfd2d7
original,fine,all,proteina-4fe420ca8229df130ca9,proteina-4fe420ca8229df130ca9
original,fine,all,proteina-20b5a2ad6be031dacf24,proteina-20b5a2ad6be031dacf24
original,fine,all,proteina-938b23882ed36cdd4619,proteina-938b23882ed36cdd4619
original,fine,all,proteina-59c8c355e6342e92d3c9,proteina-59c8c355e6342e92d3c9
original,fine,all,proteina-e7ec643a44e20b03dada,proteina-e7ec643a44e20b03dada
original,fine,all,proteina-368f172190a7c1817756,proteina-368f172190a7c1817756
original,fine,all,proteina-bdd78217c35974467af3,proteina-bdd78217c35974467af3
original,fine,all,proteina-cbf8c8d4a53c859d4ea7,proteina-cbf8c8d4a53c859d4ea7
original,fine,all,proteina-696132d886d3c9b52251,proteina-696132d886d3c9b52251
original,fine,all,proteina-a6688467907748128858,proteina-a6688467907748128858
original,fine,all,proteina-57caf028f21c28a7ae89,proteina-57caf028f21c28a7ae89
original,fine,all,proteina-15b208095e1495863a32,proteina-15b208095e1495863a32
original,fine,all,proteina-30d7dcd290fe036f22e5,proteina-30d7dcd290fe036f22e5
original,fine,all,proteina-8b7919e8c8f9b7d17c50,proteina-8b7919e8c8f9b7d17c50
original,fine,all,proteina-fdd3f353d7eaa44bc450,proteina-fdd3f353d7eaa44bc450
original,fine,all,proteina-63872c28075090970779,proteina-63872c28075090970779
original,fine,all,proteina-0308f70be3294a172aee,proteina-0308f70be3294a172aee
original,fine,all,proteina-9c35e34baaadfb7002bd,proteina-9c35e34baaadfb7002bd
original,fine,all,proteina-cb7f8d6e27dea5ebb4b5,proteina-cb7f8d6e27dea5ebb4b5
original,fine,all,proteina-c491358b572851294e3b,proteina-c491358b572851294e3b
original,fine,all,proteina-de62eb9742b582f05cd3,proteina-de62eb9742b582f05cd3
original,fine,all,proteina-4dee0293e78269033ee5,proteina-4dee0293e78269033ee5
original,fine,all,proteina-283c6dbb528c15b81ac8,proteina-283c6dbb528c15b81ac8
original,fine,all,proteina-3999e7d2ac1e6c3fc3ab,proteina-3999e7d2ac1e6c3fc3ab
original,fine,all,proteina-c4c9867eec02dd6ecf3d,proteina-3999e7d2ac1e6c3fc3ab
original,fine,all,proteina-7b2c89173a94dc2fe651,proteina-3999e7d2ac1e6c3fc3ab
original,fine,all,proteina-4327ed5e9c7b24485dac,proteina-4327ed5e9c7b24485dac
original,fine,all,proteina-9538f6a8bc69c75641d0,proteina-4327ed5e9c7b24485dac
original,fine,all,proteina-56e1183848fcaee780f5,proteina-56e1183848fcaee780f5
original,fine,all,proteina-d823593e023cb4b416b1,proteina-d823593e023cb4b416b1
original,fine,all,proteina-23942e9049d9a2f5d2b9,proteina-23942e9049d9a2f5d2b9
original,fine,all,proteina-b6c8a48db01785426392,proteina-b6c8a48db01785426392
original,fine,all,proteina-d89333c3647549e005cf,proteina-d89333c3647549e005cf
original,fine,all,proteina-c16703e46ba34b697f0d,proteina-c16703e46ba34b697f0d
original,fine,all,proteina-d00a9f8ac4dfba66d730,proteina-9624a89ffa2f046ce541
original,fine,all,proteina-9624a89ffa2f046ce541,proteina-9624a89ffa2f046ce541
original,fine,all,proteina-82c7891ef0055f77f08f,proteina-82c7891ef0055f77f08f
original,fine,all,proteina-8df24564c46d78764ec7,proteina-8df24564c46d78764ec7
original,fine,all,proteina-74043e9ef3c7eaaf763c,proteina-74043e9ef3c7eaaf763c
original,fine,all,proteina-ff3044fa8af037fbd832,proteina-ff3044fa8af037fbd832
original,fine,all,proteina-7d99ef59120e8d03530c,proteina-7d99ef59120e8d03530c
original,fine,all,proteina-e58d1260d2adc966095b,proteina-e58d1260d2adc966095b
original,fine,all,proteina-1818fb7ec7de4f4c0a0b,proteina-1818fb7ec7de4f4c0a0b
original,fine,all,proteina-14ea71f49b3164e4c4e4,proteina-14ea71f49b3164e4c4e4
original,fine,all,proteina-df9c3cc5385203d4b1e8,proteina-df9c3cc5385203d4b1e8
original,fine,all,proteina-b7937ca5b6432774e4db,proteina-b7937ca5b6432774e4db
original,fine,all,proteina-dd5ca6766dc9e91257b9,proteina-dd5ca6766dc9e91257b9
original,fine,all,proteina-6752940ae12eca3b8e99,proteina-6752940ae12eca3b8e99
original,fine,all,proteina-04381f0811f1c9f569de,proteina-04381f0811f1c9f569de
original,fine,all,proteina-73283c1f66154e8d7cf2,proteina-73283c1f66154e8d7cf2
original,fine,all,proteina-549cdf4fe29fd7485fcc,proteina-549cdf4fe29fd7485fcc
original,fine,all,proteina-766661e0858752e7610a,proteina-766661e0858752e7610a
original,fine,all,proteina-cb54aeea8d253aaa8a65,proteina-cb54aeea8d253aaa8a65
original,fine,all,proteina-4ae0e2eae11b2b4c5a3b,proteina-4ae0e2eae11b2b4c5a3b
original,fine,all,proteina-1d90d7b7ad5593e8d5d8,proteina-1d90d7b7ad5593e8d5d8
original,fine,all,proteina-30b018bee2cb5953c283,proteina-30b018bee2cb5953c283
original,fine,all,proteina-75e3c21bbeb6f05a8cbd,proteina-75e3c21bbeb6f05a8cbd
original,fine,all,proteina-3b5951fa585e2c11f1da,proteina-3b5951fa585e2c11f1da
original,fine,all,proteina-05e1d3d5bf4adb5fadee,proteina-05e1d3d5bf4adb5fadee
original,fine,all,proteina-dfe92b3705ef3c76824e,proteina-dfe92b3705ef3c76824e
original,fine,all,proteina-9e404ea2814d25680980,proteina-9e404ea2814d25680980
original,fine,all,proteina-07482b5e78e3e7104b68,proteina-07482b5e78e3e7104b68
original,fine,all,proteina-b68efba87ae9c567b037,proteina-b68efba87ae9c567b037
original,fine,all,proteina-0641665dd2d1a5180fb6,proteina-0641665dd2d1a5180fb6
original,fine,all,proteina-14d4e7a8a48e2f4a19bc,proteina-14d4e7a8a48e2f4a19bc
original,fine,all,proteina-273f2546c68dda95c9ab,proteina-273f2546c68dda95c9ab
original,fine,all,proteina-39038d37f5d1276122ce,proteina-39038d37f5d1276122ce
original,fine,all,proteina-459d812f0d42c9e53002,proteina-459d812f0d42c9e53002
original,fine,all,proteina-fea18553d67cca6b8ad2,proteina-fea18553d67cca6b8ad2
original,fine,all,proteina-020472ebe33aa67481e1,proteina-020472ebe33aa67481e1
original,fine,all,proteina-52021e7e05ea5f00faea,proteina-52021e7e05ea5f00faea
original,fine,all,proteina-48aa893a8c79ee79e4d5,proteina-48aa893a8c79ee79e4d5
original,fine,all,proteina-c45f5382ee92e527936a,proteina-c45f5382ee92e527936a
original,fine,all,proteina-8fd6f6afd68a7595bf88,proteina-8fd6f6afd68a7595bf88
original,fine,all,proteina-4ffc09e1cf28c45fe0df,proteina-4ffc09e1cf28c45fe0df
original,fine,all,proteina-44dd382d304e94c1599e,proteina-44dd382d304e94c1599e
original,fine,all,proteina-4551affa95444c8367f7,proteina-4551affa95444c8367f7
original,fine,all,proteina-e292cca4b4ef1405301b,proteina-e292cca4b4ef1405301b
original,fine,all,proteina-3558c0f101cfa9093a8e,proteina-3558c0f101cfa9093a8e
original,fine,all,proteina-196fab2d1334b4ef9bbd,proteina-196fab2d1334b4ef9bbd
original,fine,all,proteina-a5c67f4246fa4a78ad68,proteina-a5c67f4246fa4a78ad68
original,fine,all,proteina-36d58e1890b9e5f044de,proteina-36d58e1890b9e5f044de
original,fine,all,proteina-4463b00f7215feaebc78,proteina-4463b00f7215feaebc78
original,fine,all,proteina-286a7718a4f8cc02fe06,proteina-286a7718a4f8cc02fe06
original,fine,all,proteina-65603b8ccdf828c66fe9,proteina-65603b8ccdf828c66fe9
original,fine,all,proteina-1bb6dc4c717410f68fb6,proteina-1bb6dc4c717410f68fb6
original,fine,all,proteina-feb0e91be4e869c51ef9,proteina-feb0e91be4e869c51ef9
original,fine,all,proteina-86f4e1afcfb175e8a15f,proteina-86f4e1afcfb175e8a15f
original,fine,all,proteina-5ae40b0808eedb9648a2,proteina-5ae40b0808eedb9648a2
original,fine,all,proteina-f800ee5280504b544e90,proteina-f800ee5280504b544e90
original,fine,all,proteina-f24b8d0b29282868106c,proteina-f24b8d0b29282868106c
original,fine,all,proteina-d7062f078b3879994d47,proteina-d7062f078b3879994d47
original,fine,all,proteina-87e2f6b424b514e1d25f,proteina-87e2f6b424b514e1d25f
original,fine,all,proteina-25b37f4890317a940404,proteina-25b37f4890317a940404
original,fine,all,proteina-af6d60413d4df42ce80f,proteina-af6d60413d4df42ce80f
original,fine,all,proteina-4416552306f90e4b026d,proteina-4416552306f90e4b026d
