stem,residues,tokens,statements_start,contact_statements,struct_queries,seq_queries
8wcf_A,160,811,326,161,312,154
9bks_A,80,390,166,74,138,74
9gso_A,177,830,360,156,302,171
8amo_A,399,1892,804,362,384,384
7uvg_A,183,908,372,178,346,177
8j2x_A,341,1383,688,231,384,335
8t4c_A,147,782,300,160,310,141
8daj_A,302,1509,610,299,384,296
8e0r_A,468,2432,942,496,384,384
8suc_A,283,1381,572,269,384,277
8dhj_A,249,1307,504,267,384,243
7x8l_A,514,2776,1034,580,384,384
9fgp_A,140,792,286,168,326,134
8g1y_A,497,2430,1000,476,384,384
7yug_A,118,526,242,94,178,112
8ev4_A,125,543,256,95,180,119
8jiy_A,241,1222,488,244,384,235
9bjx_A,368,2004,742,420,384,362
8kih_A,332,1527,670,285,384,326
8hnq_A,286,1498,578,306,384,280
8s9l_A,270,1277,546,243,384,264
8pw2_A,72,296,150,48,86,66
8kac_A,129,578,264,104,198,123
8hd2_A,354,1811,714,365,384,348
