mode,tm_threshold,struct_cluster_id,entry_id,selected_order
whole_chain,0.8,A0A352JMQ8,AF-A0A352JMQ8-F1,1
whole_chain,0.8,A0A402G990,AF-A0A1L8G4J9-F1,1
whole_chain,0.8,A0A6M8T0A4,AF-A0A8B3WH79-F1,1
whole_chain,0.8,A0A7K4HJV5,AF-A0A7W6ECL7-F1,1
whole_chain,0.8,A0A7S0BJT4,AF-A0A226ELZ6-F1,1
whole_chain,0.9,A0A0A0IXA0,AF-A0A1Q9LJX9-F1,1
whole_chain,0.9,A0A0R2V987,AF-A0A2H0PKF8-F1,2
whole_chain,0.9,A0A0R2V987,AF-A0A2Z4FMK9-F1,1
whole_chain,0.9,A0A0R2V987,AF-A0A7X7UGV9-F1,3
whole_chain,0.9,A0A0T6XIA0,AF-A0A1E4Y872-F1,2
whole_chain,0.9,A0A0T6XIA0,AF-V4NTM2-F1,1
whole_chain,0.9,A0A1Q5GN08,AF-A0A2H1K0I9-F1,2
whole_chain,0.9,A0A1Q5GN08,AF-A0A6M7UR97-F1,1
whole_chain,0.9,A0A2N5K7A0,AF-A0A350D7H7-F1,1
whole_chain,0.9,A0A2N5K7A0,AF-A0A7C7EDG7-F1,2
whole_chain,0.9,A0A352JMQ8,AF-A0A352JMQ8-F1,1
whole_chain,0.9,A0A372ZQN4,AF-A0A640WEU3-F1,3
whole_chain,0.9,A0A372ZQN4,AF-A0A7S0CNJ6-F1,1
whole_chain,0.9,A0A372ZQN4,AF-C4JH57-F1,2
whole_chain,0.9,A0A3D0SHF0,AF-A0A2P6BVK3-F1,1
whole_chain,0.9,A0A3D0SHF0,AF-A0A4R7W8S8-F1,2
whole_chain,0.9,A0A3D0SHF0,AF-A0A679IBM9-F1,3
whole_chain,0.9,A0A3D5YP51,AF-A0A2E6HXB1-F1,1
whole_chain,0.9,A0A402G990,AF-A0A1L8G4J9-F1,1
whole_chain,0.9,A0A402G990,AF-A0A1X7SY40-F1,3
whole_chain,0.9,A0A402G990,AF-A0A369IZX3-F1,2
whole_chain,0.9,A0A4S4KYI4,AF-A0A4R4NCI3-F1,1
whole_chain,0.9,A0A537L9F5,AF-A0A1Y5SGW6-F1,3
whole_chain,0.9,A0A537L9F5,AF-A0A368BX78-F1,1
whole_chain,0.9,A0A537L9F5,AF-A0A520U3B6-F1,2
whole_chain,0.9,A0A6M8T0A4,AF-A0A1I1JA78-F1,3
whole_chain,0.9,A0A6M8T0A4,AF-A0A1S1MY72-F1,2
whole_chain,0.9,A0A6M8T0A4,AF-A0A8B3WH79-F1,1
whole_chain,0.9,A0A7C4AL85,AF-A0A1Q9NB97-F1,3
whole_chain,0.9,A0A7C4AL85,AF-A0A836UPK0-F1,2
whole_chain,0.9,A0A7C4AL85,AF-V5RI20-F1,1
whole_chain,0.9,A0A7K4HJV5,AF-A0A0F9FNG8-F1,2
whole_chain,0.9,A0A7K4HJV5,AF-A0A535D1A1-F1,3
whole_chain,0.9,A0A7K4HJV5,AF-A0A7W6ECL7-F1,1
whole_chain,0.9,A0A7S0BJT4,AF-A0A226ELZ6-F1,1
whole_chain,0.9,A0A7S0BJT4,AF-A0A450S547-F1,3
whole_chain,0.9,A0A7S0BJT4,AF-A0A4U1J903-F1,2
whole_chain,0.9,A0A7U0H7B2,AF-A0A3B8KR94-F1,1
whole_chain,0.9,I3RCU5,AF-A0A1Q6DTI7-F1,2
whole_chain,0.9,I3RCU5,AF-A0A381NM32-F1,1
whole_and_core,0.8,A0A7K4HJV5,AF-A0A7W6ECL7-F1,1
whole_and_core,0.8,A0A7S0BJT4,AF-A0A226ELZ6-F1,1
whole_and_core,0.9,A0A0A0IXA0,AF-A0A1Q9LJX9-F1,1
whole_and_core,0.9,A0A0R2V987,AF-A0A2H0PKF8-F1,2
whole_and_core,0.9,A0A0R2V987,AF-A0A2Z4FMK9-F1,1
whole_and_core,0.9,A0A0R2V987,AF-A0A380CTH2-F1,3
whole_and_core,0.9,A0A1Q5GN08,AF-A0A2H1K0I9-F1,2
whole_and_core,0.9,A0A1Q5GN08,AF-A0A6M7UR97-F1,1
whole_and_core,0.9,A0A352JMQ8,AF-A0A352JMQ8-F1,1
whole_and_core,0.9,A0A372ZQN4,AF-A0A7S0CNJ6-F1,2
whole_and_core,0.9,A0A372ZQN4,AF-C4JH57-F1,1
whole_and_core,0.9,A0A3D0SHF0,AF-A0A2P6BVK3-F1,2
whole_and_core,0.9,A0A3D0SHF0,AF-A0A4R7W8S8-F1,3
whole_and_core,0.9,A0A3D0SHF0,AF-A0A679IBM9-F1,1
whole_and_core,0.9,A0A3D5YP51,AF-A0A2E6HXB1-F1,1
whole_and_core,0.9,A0A402G990,AF-A0A1L8G4J9-F1,1
whole_and_core,0.9,A0A402G990,AF-A0A1X7SY40-F1,3
whole_and_core,0.9,A0A402G990,AF-A0A369IZX3-F1,2
whole_and_core,0.9,A0A4S4KYI4,AF-A0A4R4NCI3-F1,1
whole_and_core,0.9,A0A537L9F5,AF-A0A1Y5SGW6-F1,2
whole_and_core,0.9,A0A537L9F5,AF-A0A368BX78-F1,1
whole_and_core,0.9,A0A6M8T0A4,AF-A0A1I1JA78-F1,3
whole_and_core,0.9,A0A6M8T0A4,AF-A0A1S1MY72-F1,1
whole_and_core,0.9,A0A6M8T0A4,AF-A0A8B3WH79-F1,2
whole_and_core,0.9,A0A7C4AL85,AF-A0A836UPK0-F1,2
whole_and_core,0.9,A0A7C4AL85,AF-V5RI20-F1,1
whole_and_core,0.9,A0A7K4HJV5,AF-A0A0F9FNG8-F1,2
whole_and_core,0.9,A0A7K4HJV5,AF-A0A401WFA3-F1,3
whole_and_core,0.9,A0A7K4HJV5,AF-A0A7W6ECL7-F1,1
whole_and_core,0.9,A0A7S0BJT4,AF-A0A226ELZ6-F1,1
whole_and_core,0.9,A0A7S0BJT4,AF-A0A450S547-F1,3
whole_and_core,0.9,A0A7S0BJT4,AF-A0A4U1J903-F1,2
whole_and_core,0.9,A0A7U0H7B2,AF-A0A3B8KR94-F1,1
whole_and_core,0.9,I3RCU5,AF-A0A381NM32-F1,1
