pair_id,n_rollouts,phi_mean,phi_sd,null_sd,dispersion,bic_1,bic_2,bic_favours_2,frac_phi_negative
4pyia_4pyja,500,0.1475,0.1628,0.0719,5.122,-385.2,-538.7,True,0.17
5jyta_2qkee,500,0.4737,0.16,0.079,4.103,-402.0,-480.4,True,0.012
4phqa_2wcdx,500,0.0058,0.0391,0.0202,3.743,-1811.0,-1890.3,True,0.394
3qy2a_1qb3a,500,0.1454,0.157,0.0846,3.442,-421.2,-485.8,True,0.148
2hdma_2n54b,500,-0.0804,0.1821,0.0984,3.424,-272.8,-335.1,True,0.71
3hdea_3hdfa,500,0.4903,0.1276,0.0776,2.703,-628.7,-964.5,True,0.02
4qhfa_4qhha,500,0.2158,0.1583,0.0994,2.535,-413.0,-421.8,True,0.108
1xnta_3lqca,500,0.303,0.0915,0.0617,2.204,-960.5,-1004.8,True,0.008
6c6sd_2ougc,500,0.3871,0.1128,0.076,2.201,-751.6,-903.6,True,0.0
4rwna_4rwqb,500,0.0578,0.0816,0.0584,1.95,-1075.6,-1063.9,False,0.258
1xjta_1xjub,500,0.3214,0.168,0.1214,1.915,-353.2,-403.9,True,0.064
5aoeb_5ly6b,500,0.0882,0.0368,0.0295,1.563,-1871.1,-1851.8,False,0.01
4aana_4aala,500,0.1723,0.0729,0.0584,1.556,-1188.7,-1171.2,False,0.016
4ydqb_4twaa,500,0.1659,0.0672,0.0547,1.506,-1270.5,-1251.2,False,0.008
2frha_1fzpd,500,0.5859,0.0765,0.0628,1.482,-1140.2,-1176.1,True,0.0
2grmb_2axza,500,0.1225,0.0772,0.0637,1.467,-1131.2,-1125.5,False,0.034
2k42a_1ceeb,500,0.1746,0.1819,0.1544,1.389,-273.8,-254.0,False,0.162
5jzha_5jztg,500,0.0107,0.0247,0.0212,1.357,-2271.0,-2274.4,True,0.304
1qs8b_1miqb,500,0.1088,0.0797,0.0685,1.353,-1099.6,-1084.9,False,0.07
3o44a_1xeza,500,0.0107,0.0286,0.0246,1.351,-2124.0,-2134.2,True,0.384
2c1vb_2c1uc,500,0.183,0.0708,0.0612,1.336,-1217.9,-1197.9,False,0.002
2a73b_3l5nb,500,0.0415,0.0311,0.027,1.324,-2039.9,-2024.4,False,0.098
5flue_2uy7d,500,0.2363,0.1082,0.0943,1.317,-793.2,-784.2,False,0.01
4j3of_2jmra,500,0.0024,0.1123,0.098,1.315,-755.9,-740.2,False,0.484
3jv6a_1zk9a,500,0.1086,0.1693,0.1477,1.315,-345.4,-330.0,False,0.28
3j7wb_3j7vg,500,0.1272,0.0666,0.06,1.233,-1278.6,-1258.2,False,0.022
4yhdg_7ahle,500,0.0113,0.0304,0.0274,1.231,-2061.7,-2039.6,False,0.324
2lela_2k0qa,500,-0.1971,0.1157,0.1054,1.204,-726.5,-720.0,False,0.954
1nqda_1nqjb,500,0.0185,0.1345,0.1239,1.177,-576.2,-581.3,True,0.5
3zwgn_4tsyd,500,-0.0087,0.0387,0.0362,1.141,-1822.6,-1840.9,True,0.418
2pbkb_3njqa,500,0.0072,0.0292,0.0274,1.131,-2104.5,-2106.0,True,0.278
2h44a_1rkpa,500,-0.122,0.0655,0.0622,1.109,-1295.4,-1279.4,False,0.984
4uv2d_4q79f,500,-0.0336,0.0849,0.0811,1.096,-1035.4,-1015.1,False,0.656
5keqf_1dzla,500,-0.0034,0.0222,0.0214,1.08,-2376.2,-2355.1,False,0.546
1uxmk_2nama,500,0.5685,0.0629,0.0613,1.054,-1335.5,-1348.1,True,0.0
4gqcc_4gqcb,500,0.563,0.0928,0.0906,1.048,-947.4,-934.5,False,0.0
5hmga_3ztje,500,0.0055,0.0361,0.0354,1.04,-1890.3,-1868.3,False,0.374
3m1bf_3lowa,500,0.1211,0.1528,0.1522,1.008,-448.4,-432.4,False,0.218
2p3vd_2p3va,500,0.074,0.1085,0.1087,0.997,-790.2,-775.2,False,0.244
4jphb_5hk5h,500,-0.0008,0.057,0.0571,0.996,-1433.9,-1422.9,False,0.312
1repc_2z9ob,500,0.3407,0.0665,0.0668,0.992,-1280.1,-1270.6,False,0.0
4zt0c_4cmqb,500,0.0041,0.0164,0.0166,0.97,-2682.2,-2664.3,False,0.408
2vfxl_3gmhl,500,-0.015,0.0258,0.0266,0.944,-2225.7,-2204.1,False,0.726
3zxgb_5ec5p,500,-0.0255,0.0445,0.0461,0.93,-1682.1,-1664.9,False,0.702
5i2ma_5i2sa,500,0.0004,0.0127,0.0133,0.913,-2933.8,-2913.8,False,0.482
2qqja_4qdsa,500,0.0121,0.1269,0.1329,0.911,-634.3,-614.8,False,0.412
3t5oa_4a5wb,500,0.0988,0.0288,0.0302,0.91,-2116.4,-2098.6,False,0.002
4ow6b_4ae0a,500,-0.0269,0.025,0.0263,0.902,-2260.3,-2249.8,False,0.874
