stem,n_residues,n_db_reps,mode,alignment_type,elapsed_seconds,n_hits,model_nickname,runner_tag,gpu_name,cpu_model,n_cpus,hostname,platform,foldseek_version,db_snapshot_tag,timestamp_utc
5sbj_A,30,229,per_candidate,1,0.9259,1,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7pv5_A,81,229,per_candidate,1,1.0097,67,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7qp5_A,245,229,per_candidate,1,1.3289,92,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7qsj_A,373,229,per_candidate,1,1.6585,131,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7t9r_A,38,229,per_candidate,1,0.961,10,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7tjb_A,227,229,per_candidate,1,1.4182,160,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7tlh_A,136,229,per_candidate,1,1.1949,88,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7uba_A,213,229,per_candidate,1,1.2964,114,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7uk8_A,394,229,per_candidate,1,1.7499,171,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
7ur2_A,195,229,per_candidate,1,1.2056,100,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
