record_id,dataset,L,arm,n_chain_breaks,has_chain_break,max_degree,mean_degree,n_contacts,n_triangle_violations,n_scored_pairs,max_implied_diameter,contact_excess,unsat_frac,noncontact_violation,bond_err,rg,contact_excess_per_contact
foldbench100/5sbj_A,foldbench100,30,gt,0,False,3.0,1.1333333333333333,17.0,0.0,283.0,37.45805755155675,0.0,0.0,0.0,8.22133028322014e-09,7.213382720947266,0.0
foldbench100/5sbj_A,foldbench100,30,random_0,0,False,4.0,1.1333333333333333,17.0,0.0,283.0,35.86817541439489,0.0,0.0,4.76837158203125e-07,1.3154128453152225e-07,6.962310791015625,0.0
foldbench100/5sbj_A,foldbench100,30,random_1,0,False,4.0,1.1333333333333333,17.0,0.0,283.0,37.45805755155675,0.0,0.0,0.0,0.0,7.717648506164551,0.0
foldbench100/5sbj_A,foldbench100,30,random_2,0,False,4.0,1.1333333333333333,17.0,0.0,283.0,39.67687466742079,0.0,0.0,0.0,1.644266056644028e-08,7.681088447570801,0.0
foldbench100/5sbj_A,foldbench100,30,decoy,0,False,3.0,0.4666666666666667,7.0,0.0,293.0,54.91167167952436,0.0,0.0,0.0,1.644266056644028e-08,7.475118637084961,0.0
cameo_hard/8xtn_A,cameo_hard,33,gt,0,False,3.0,0.42424242424242425,7.0,0.0,371.0,66.33776943860204,0.0,0.0,0.0,0.0,8.218435287475586,0.0
cameo_hard/8xtn_A,cameo_hard,33,random_0,0,False,3.0,0.42424242424242425,7.0,0.0,371.0,51.10297242649847,0.0,0.0,0.0,0.0,7.737775802612305,0.0
cameo_hard/8xtn_A,cameo_hard,33,random_1,0,False,3.0,0.42424242424242425,7.0,0.0,371.0,53.3217895423625,0.0,0.0,0.0,0.0,7.641597270965576,0.0
cameo_hard/8xtn_A,cameo_hard,33,random_2,0,False,3.0,0.42424242424242425,7.0,0.0,371.0,48.884155310634426,0.0,0.0,0.0,5.960464477539063e-08,7.899013519287109,0.0
cameo_hard/8xtn_A,cameo_hard,33,decoy,0,False,2.0,0.42424242424242425,7.0,0.0,371.0,66.33776943860204,0.0,0.0,0.0,7.450580596923828e-09,7.69470739364624,0.0
cameo_hard/9j5h_A,cameo_hard,35,gt,0,False,5.0,0.8571428571428571,15.0,0.0,420.0,56.50155381668622,0.0,0.0,0.0,2.103693397259576e-08,8.310922622680664,0.0
cameo_hard/9j5h_A,cameo_hard,35,random_0,0,False,5.0,0.8571428571428571,15.0,0.0,420.0,39.67687466742079,0.0,0.0,9.5367431640625e-07,1.2622160738828825e-07,7.327442169189453,0.0
cameo_hard/9j5h_A,cameo_hard,35,random_1,0,False,3.0,0.8571428571428571,15.0,0.0,420.0,41.26675680458264,0.0,0.0,0.0,1.4024622352337701e-08,7.800106525421143,0.0
cameo_hard/9j5h_A,cameo_hard,35,random_2,0,False,4.0,0.8571428571428571,15.0,0.0,420.0,39.67687466742079,0.0,0.0,9.5367431640625e-07,2.1036933617324394e-07,7.961369037628174,0.0
cameo_hard/9j5h_A,cameo_hard,35,decoy,0,False,3.0,0.8571428571428571,15.0,0.0,420.0,56.50155381668622,0.0,0.0,0.0,0.0,8.15017318725586,0.0
foldbench100/7t9r_A,foldbench100,38,gt,0,False,4.0,1.263157894736842,24.0,0.0,504.0,56.50155381668622,0.0,0.0,0.0,2.577498214861862e-08,7.721717834472656,0.0
foldbench100/7t9r_A,foldbench100,38,random_0,0,False,4.0,1.263157894736842,24.0,0.0,504.0,41.26675680458264,0.0,0.0,0.0,1.9331237055553174e-08,8.02962875366211,0.0
foldbench100/7t9r_A,foldbench100,38,random_1,0,False,4.0,1.263157894736842,24.0,0.0,504.0,39.67687466742079,0.0,0.0,0.0,1.1598741878060537e-07,8.204601287841797,0.0
foldbench100/7t9r_A,foldbench100,38,random_2,0,False,3.0,1.263157894736842,24.0,0.0,504.0,43.48557392044668,0.0,0.0,0.0,6.443745803608181e-08,7.737390518188477,0.0
foldbench100/7t9r_A,foldbench100,38,decoy,0,False,3.0,0.7368421052631579,14.0,0.0,514.0,52.692854563660326,0.0,0.0,0.0,1.9331237055553174e-08,8.646198272705078,0.0
cameo_hard/8jvx_B,cameo_hard,39,gt,0,False,3.0,0.717948717948718,14.0,0.0,547.0,52.692854563660326,0.0,0.0,0.0,6.901590410279823e-08,7.999924182891846,0.0
cameo_hard/8jvx_B,cameo_hard,39,random_0,0,False,3.0,0.717948717948718,14.0,0.0,547.0,56.50155381668621,0.0,0.0,0.0,3.1370866793167806e-08,7.946242332458496,0.0
cameo_hard/8jvx_B,cameo_hard,39,random_1,0,False,3.0,0.717948717948718,14.0,0.0,547.0,49.51309028933661,0.0,0.0,0.0,6.901590410279823e-08,8.096611976623535,0.0
cameo_hard/8jvx_B,cameo_hard,39,random_2,0,False,3.0,0.717948717948718,14.0,0.0,547.0,52.692854563660326,0.0,0.0,0.0,1.1293511903431863e-07,8.101788520812988,0.0
cameo_hard/8jvx_B,cameo_hard,39,decoy,0,False,2.0,0.15384615384615385,3.0,0.0,558.0,115.85085972793865,0.0,0.0,0.0,3.1370866793167806e-08,8.918573379516602,0.0
denovo_pdb/7sq4_A,denovo_pdb,48,gt,0,False,2.0,0.125,3.0,0.0,900.0,150.12915300517176,0.0,0.0,0.0,4.565461964034512e-08,9.715349197387695,0.0
denovo_pdb/7sq4_A,denovo_pdb,48,random_0,0,False,1.0,0.125,3.0,0.0,900.0,144.10163663628182,0.0,0.0,0.0,3.550914939864924e-08,9.236324310302734,0.0
denovo_pdb/7sq4_A,denovo_pdb,48,random_1,0,False,1.0,0.125,3.0,0.0,900.0,132.6755388772041,0.0,0.0,9.5367431640625e-07,8.62365041598423e-08,9.465993881225586,0.0
denovo_pdb/7sq4_A,denovo_pdb,48,random_2,0,False,1.0,0.125,3.0,0.0,900.0,122.83932325528826,0.0,0.0,0.0,6.087282855560261e-08,9.473555564880371,0.0
denovo_pdb/7sq4_A,denovo_pdb,48,decoy,0,False,2.0,0.125,3.0,0.0,900.0,104.42476196886096,0.0,0.0,0.0,5.580008988204099e-08,9.919609069824219,0.0
denovo_pdb/3v1a_A,denovo_pdb,48,gt,0,False,4.0,1.0,24.0,0.0,879.0,77.13493221897754,0.0,0.0,5.7220458984375e-06,2.1812762440731603e-07,8.971768379211426,0.0
denovo_pdb/3v1a_A,denovo_pdb,48,random_0,0,False,4.0,1.0,24.0,0.0,879.0,47.294273173472575,0.0,0.0,9.5367431640625e-07,1.2174565711120522e-07,8.568236351013184,0.0
denovo_pdb/3v1a_A,denovo_pdb,48,random_1,0,False,4.0,1.0,24.0,0.0,879.0,45.075456057608534,0.0,0.0,1.430511474609375e-06,1.318911273529011e-07,9.00541877746582,0.0
denovo_pdb/3v1a_A,denovo_pdb,48,random_2,0,False,3.0,1.0,24.0,0.0,879.0,41.895691783284825,0.0,0.0,0.0,6.594556367645055e-08,9.02448558807373,0.0
denovo_pdb/3v1a_A,denovo_pdb,48,decoy,0,False,4.0,0.875,21.0,0.0,882.0,86.97114784089337,0.0,0.0,0.0,6.087282855560261e-08,8.990438461303711,0.0
denovo_pdb/8bcs_A,denovo_pdb,49,gt,0,False,4.0,0.8571428571428571,21.0,0.0,925.0,90.77984709391926,0.0,0.0,4.76837158203125e-07,7.450580596923828e-08,8.686418533325195,0.0
denovo_pdb/8bcs_A,denovo_pdb,49,random_0,0,False,4.0,0.8571428571428571,21.0,0.0,925.0,46.66533819477039,0.0,0.0,0.0,1.8874804652568855e-07,8.864362716674805,0.0
denovo_pdb/8bcs_A,denovo_pdb,49,random_1,0,False,3.0,0.8571428571428571,21.0,0.0,925.0,47.294273173472575,0.0,0.0,1.9073486328125e-06,8.940696716308594e-08,8.705339431762695,0.0
denovo_pdb/8bcs_A,denovo_pdb,49,random_2,0,False,4.0,0.8571428571428571,21.0,0.0,925.0,47.294273173472575,0.0,0.0,4.291534423828125e-06,1.1920928955078125e-07,8.953965187072754,0.0
denovo_pdb/8bcs_A,denovo_pdb,49,decoy,0,False,4.0,0.6938775510204082,17.0,0.0,929.0,56.50155381668622,0.0,0.0,0.0,3.476937848745365e-08,9.122949600219727,0.0
denovo_pdb/6nla_A,denovo_pdb,56,gt,0,False,6.0,1.2142857142857142,34.0,0.0,1241.0,51.10297242649847,0.0,0.0,9.5367431640625e-07,1.3871625981209945e-07,9.322972297668457,0.0
denovo_pdb/6nla_A,denovo_pdb,56,random_0,0,False,5.0,1.2142857142857142,34.0,0.0,1241.0,45.70439103631072,0.0,0.0,1.9073486328125e-06,1.300464873565943e-07,9.581897735595703,0.0
denovo_pdb/6nla_A,denovo_pdb,56,random_1,0,False,4.0,1.2142857142857142,34.0,0.0,1241.0,43.48557392044668,0.0,0.0,0.0,7.802789525612752e-08,9.178544998168945,0.0
denovo_pdb/6nla_A,denovo_pdb,56,random_2,0,False,4.0,1.2142857142857142,34.0,0.0,1241.0,45.07545605760854,9.5367431640625e-07,0.0,1.9073486328125e-06,1.4305113893442467e-07,9.146347045898438,2.8049244600183823e-08
denovo_pdb/6nla_A,denovo_pdb,56,decoy,0,False,6.0,1.2142857142857142,34.0,0.0,1241.0,51.10297242649847,9.5367431640625e-07,0.0,2.384185791015625e-06,1.300464873565943e-07,9.36051082611084,2.8049244600183823e-08
denovo_pdb/4oza_A,denovo_pdb,57,gt,0,False,7.0,1.5087719298245614,43.0,0.0,1283.0,52.69285456366032,4.76837158203125e-06,0.0,4.76837158203125e-06,2.597059562958748e-07,9.13502311706543,1.1089236237281977e-07
denovo_pdb/4oza_A,denovo_pdb,57,random_0,0,False,5.0,1.5087719298245614,43.0,0.0,1283.0,45.07545605760854,0.0075817108154296875,0.0,0.014882564544677734,0.00024277824559248984,9.203971862792969,0.00017631885617278343
denovo_pdb/4oza_A,denovo_pdb,57,random_1,0,False,4.0,1.5087719298245614,43.0,0.0,1283.0,41.26675680458264,0.0,0.0,2.384185791015625e-06,1.27724248955019e-07,9.508256912231445,0.0
denovo_pdb/4oza_A,denovo_pdb,57,random_2,0,False,4.0,1.5087719298245614,43.0,0.0,1283.0,41.895691783284825,6.198883056640625e-05,0.0,0.0001010894775390625,1.5880381170063629e-06,8.65579891204834,1.441600710846657e-06
denovo_pdb/4oza_A,denovo_pdb,57,decoy,0,False,8.0,1.263157894736842,36.0,0.0,1290.0,51.10297242649847,0.0,0.0,3.337860107421875e-06,1.9584383892379265e-07,9.258406639099121,0.0
denovo_pdb/4ozc_A,denovo_pdb,57,gt,0,False,8.0,1.263157894736842,36.0,0.0,1290.0,51.10297242649847,0.0,0.0,1.9073486328125e-06,1.9584383892379265e-07,9.393074035644531,0.0
denovo_pdb/4ozc_A,denovo_pdb,57,random_0,0,False,4.0,1.263157894736842,36.0,0.0,1290.0,47.294273173472575,0.0,0.0,1.430511474609375e-06,1.4901161193847656e-07,9.294397354125977,0.0
denovo_pdb/4ozc_A,denovo_pdb,57,random_1,0,False,5.0,1.263157894736842,36.0,0.0,1290.0,47.294273173472575,0.0,0.0,9.5367431640625e-07,1.532690987460228e-07,9.112534523010254,0.0
denovo_pdb/4ozc_A,denovo_pdb,57,random_2,0,False,3.0,1.263157894736842,36.0,0.0,1290.0,43.48557392044668,9.5367431640625e-07,0.0,1.9073486328125e-06,1.7455646172948036e-07,9.409782409667969,2.6490953233506943e-08
denovo_pdb/4ozc_A,denovo_pdb,57,decoy,0,False,4.0,1.263157894736842,36.0,0.0,1290.0,111.41322549621059,0.0,0.0,0.0,0.0,9.55172348022461,0.0
denovo_pdb/8qaf_A,denovo_pdb,59,gt,1,True,4.0,1.3220338983050848,39.0,0.0,1392.0,111.41322549621059,0.0,0.0,0.0,8.221330460855825e-08,9.542322158813477,0.0
denovo_pdb/8qaf_A,denovo_pdb,59,random_0,1,True,3.0,1.3220338983050848,39.0,0.0,1392.0,47.294273173472575,2.86102294921875e-06,0.0,8.106231689453125e-06,2.9596787953778403e-07,9.103256225585938,7.335956280048077e-08
denovo_pdb/8qaf_A,denovo_pdb,59,random_1,1,True,4.0,1.3220338983050848,39.0,0.0,1392.0,43.48557392044668,0.0,0.0,5.7220458984375e-06,2.4663989961482e-07,9.326696395874023,0.0
denovo_pdb/8qaf_A,denovo_pdb,59,random_2,1,True,4.0,1.3220338983050848,39.0,0.0,1392.0,41.26675680458264,0.037077903747558594,0.0,0.09052705764770508,0.0014536997769027948,9.404396057128906,0.0009507154807066306
denovo_pdb/8qaf_A,denovo_pdb,59,decoy,1,True,6.0,1.3220338983050848,39.0,0.0,1392.0,58.72037093255025,0.0,0.0,3.814697265625e-06,1.274306242748935e-07,10.063785552978516,0.0
foldbench100/7yhr_A,foldbench100,60,gt,0,False,6.0,1.3666666666666667,41.0,0.0,1444.0,58.72037093255025,0.0,0.0,2.384185791015625e-06,1.5355773541614326e-07,9.369463920593262,0.0
foldbench100/7yhr_A,foldbench100,60,random_0,0,False,4.0,1.3666666666666667,41.0,0.0,1444.0,43.48557392044668,0.12542343139648438,0.0,0.24801158905029297,0.0031614506151527166,9.199685096740723,0.003059108082841082
foldbench100/7yhr_A,foldbench100,60,random_1,0,False,5.0,1.3666666666666667,41.0,0.0,1444.0,51.10297242649847,9.5367431640625e-07,0.0,4.76837158203125e-07,1.3335277060377848e-07,9.291654586791992,2.3260349180640245e-08
foldbench100/7yhr_A,foldbench100,60,random_2,0,False,6.0,1.3666666666666667,41.0,0.0,1444.0,51.10297242649847,0.0001010894775390625,0.0,0.00023508071899414062,3.2449172522319714e-06,9.362872123718262,2.465597013147866e-06
foldbench100/7yhr_A,foldbench100,60,decoy,0,False,4.0,1.3666666666666667,41.0,0.0,1444.0,60.31025306971211,0.0,0.0,5.245208740234375e-06,2.465005763951922e-07,9.816116333007812,0.0
denovo_pdb/8d05_A,denovo_pdb,60,gt,0,False,5.0,1.6,48.0,0.0,1437.0,60.31025306971211,9.5367431640625e-07,0.0,4.291534423828125e-06,2.1821361428919772e-07,9.776628494262695,1.9868214925130207e-08
