stem,range,cut,predictor,precision
7ur7_A,all,R,ESMFold,0.85
7ur7_A,long,R,ESMFold,0.8387096774193549
7ur7_A,all,R,ESMFold2,0.8166666666666667
7ur7_A,long,R,ESMFold2,0.7741935483870968
8ah9_A,all,R,ESMFold,0.9318181818181818
8ah9_A,long,R,ESMFold,0.8837209302325582
8ah9_A,all,R,ESMFold2,0.9166666666666666
8ah9_A,long,R,ESMFold2,0.8372093023255814
8eov_A,all,R,ESMFold,0.8896551724137931
8eov_A,long,R,ESMFold,0.8773584905660378
8eov_A,all,R,ESMFold2,0.8827586206896552
8eov_A,long,R,ESMFold2,0.8679245283018868
8fjf_A,all,R,ESMFold,0.6210526315789474
8fjf_A,long,R,ESMFold,0.2352941176470588
8fjf_A,all,R,ESMFold2,0.8736842105263158
8fjf_A,long,R,ESMFold2,0.7941176470588235
8gac_A,all,R,ESMFold,0.8481012658227848
8gac_A,long,R,ESMFold,0.8928571428571429
8gac_A,all,R,ESMFold2,0.8607594936708861
8gac_A,long,R,ESMFold2,0.8571428571428571
8k7z_A,all,R,ESMFold,0.2527472527472527
8k7z_A,long,R,ESMFold,0.1733333333333333
8k7z_A,all,R,ESMFold2,0.8131868131868132
8k7z_A,long,R,ESMFold2,0.8133333333333334
8k83_A,all,R,ESMFold,0.9016393442622952
8k83_A,long,R,ESMFold,0.9270833333333334
8k83_A,all,R,ESMFold2,0.9016393442622952
8k83_A,long,R,ESMFold2,0.90625
8k84_A,all,R,ESMFold,0.8382352941176471
8k84_A,long,R,ESMFold,0.8333333333333334
8k84_A,all,R,ESMFold2,0.8602941176470589
8k84_A,long,R,ESMFold2,0.8529411764705882
8kcj_A,all,R,ESMFold,0.8442622950819673
8kcj_A,long,R,ESMFold,0.8333333333333334
8kcj_A,all,R,ESMFold2,0.8770491803278688
8kcj_A,long,R,ESMFold2,0.8809523809523809
8ka7_A,all,R,ESMFold,0.896551724137931
8ka7_A,long,R,ESMFold,0.9019607843137256
8ka7_A,all,R,ESMFold2,0.8735632183908046
8ka7_A,long,R,ESMFold2,0.8627450980392157
8kac_A,all,R,ESMFold,0.8461538461538461
8kac_A,long,R,ESMFold,0.8636363636363636
8kac_A,all,R,ESMFold2,0.8653846153846154
8kac_A,long,R,ESMFold2,0.9242424242424242
8oyy_A,all,R,ESMFold,0.9372384937238494
8oyy_A,long,R,ESMFold,0.9438202247191012
8oyy_A,all,R,ESMFold2,0.9414225941422594
8oyy_A,long,R,ESMFold2,0.9438202247191012
8qkd_A,all,R,ESMFold,0.8744769874476988
8qkd_A,long,R,ESMFold,0.8860103626943006
8qkd_A,all,R,ESMFold2,0.9037656903765692
8qkd_A,long,R,ESMFold2,0.9015544041450776
