entry_id,dataset,L,n_resolved,n_gt,n_gt_all,n_rollouts,mean_contacts_emitted,pred_gt_mean,pred_gt_median,frac_rollouts_lt_half_gt,mean_gen_tokens,frac_finished,mean_recall_all,mean_precision_all,mean_recall_long,best_f1
denovo_pdb__1uw1_A,denovo_pdb,67,67,56,56,200,45.6,0.814,0.821,0.08,137.9,1.0,0.153,0.198,0.088,0.364
denovo_pdb__4pww_A,denovo_pdb,85,85,87,87,200,61.1,0.702,0.713,0.105,184.3,1.0,0.248,0.357,0.162,0.565
denovo_pdb__7vqv_A,denovo_pdb,115,115,108,108,200,86.7,0.803,0.792,0.01,261.3,1.0,0.29,0.362,0.26,0.657
denovo_pdb__7hjs_A,denovo_pdb,126,126,90,90,200,66.9,0.744,0.767,0.175,202.0,1.0,0.281,0.387,0.221,0.651
denovo_pdb__7hjk_A,denovo_pdb,126,126,92,92,200,63.6,0.692,0.707,0.22,192.0,1.0,0.255,0.385,0.197,0.655
denovo_pdb__8ju8_A,denovo_pdb,139,139,93,93,200,90.6,0.974,0.978,0.0,272.9,1.0,0.417,0.429,0.42,0.632
foldbench100__8bsb_A,foldbench100,177,159,115,115,200,73.2,0.637,0.617,0.325,220.9,1.0,0.08,0.125,0.069,0.464
denovo_pdb__8y33_A,denovo_pdb,184,184,163,163,200,110.8,0.68,0.693,0.125,333.5,1.0,0.056,0.084,0.035,0.175
foldbench100__8cih_A,foldbench100,214,188,158,158,200,52.6,0.333,0.323,0.89,158.9,1.0,0.025,0.074,0.019,0.203
denovo_pdb__6reo_A,denovo_pdb,251,251,205,205,200,193.6,0.944,0.941,0.0,581.9,1.0,0.594,0.63,0.496,0.704
casp_fm__T1042-D1,casp_fm,276,276,210,210,200,104.7,0.498,0.488,0.52,315.2,1.0,0.028,0.057,0.016,0.097
foldbench100__8bfy_A,foldbench100,426,393,359,359,200,193.3,0.538,0.539,0.375,581.6,1.0,0.039,0.073,0.02,0.104
