pair_id,method,rank,candidate_id,source_arm,split,primary,tier,seq_class,L,n_pred,n_pred_fs,finished,recall_a,recall_b,phi,recall_a_fs,recall_b_fs,phi_fs,recall_shared,precision_union
1h38d_1qlna,branch10,1,root:16,root,test,False,B,identical,882,801,28,True,0.10980392156862745,0.07942238267148015,0.0303815388971473,0.1111111111111111,0.0,0.1111111111111111,0.3383177570093458,0.2883895131086142
1h38d_1qlna,branch10,2,root:48,root,test,False,B,identical,882,846,27,True,0.09019607843137255,0.06859205776173286,0.021604020669639692,0.1111111111111111,0.0,0.1111111111111111,0.33457943925233646,0.26122931442080377
1h38d_1qlna,branch10,3,branch10:23,branch10,test,False,B,identical,882,797,24,True,0.09803921568627451,0.05415162454873646,0.04388759113753805,0.5555555555555556,0.3333333333333333,0.22222222222222227,0.32149532710280376,0.2659974905897114
1h38d_1qlna,branch10,4,root:34,root,test,False,B,identical,882,868,34,True,0.11764705882352941,0.05776173285198556,0.05988532597154385,0.2222222222222222,0.0,0.2222222222222222,0.3364485981308411,0.26036866359447003
1h38d_1qlna,branch10,5,root:25,root,test,False,B,identical,882,822,23,True,0.09803921568627451,0.06498194945848375,0.03305726622779076,0.3333333333333333,0.3333333333333333,0.0,0.33084112149532713,0.26763990267639903
1h38d_1qlna,branch10,6,branch10:96,branch10,test,False,B,identical,882,874,16,True,0.12156862745098039,0.06498194945848375,0.05658667799249664,0.1111111111111111,0.0,0.1111111111111111,0.3401869158878505,0.2643020594965675
1h38d_1qlna,branch10,7,root:71,root,test,False,B,identical,882,838,24,True,0.1450980392156863,0.08664259927797834,0.05845543993770795,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.35887850467289717,0.301909307875895
1h38d_1qlna,branch10,8,root:35,root,test,False,B,identical,882,881,29,True,0.13725490196078433,0.08303249097472924,0.054222410986055083,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.3401869158878505,0.2724177071509648
1h38d_1qlna,branch10,9,branch10:54,branch10,test,False,B,identical,882,795,22,True,0.09411764705882353,0.07220216606498195,0.02191548099384158,0.5555555555555556,0.3333333333333333,0.22222222222222227,0.27102803738317754,0.23773584905660378
1h38d_1qlna,branch10,10,root:29,root,test,False,B,identical,882,852,25,True,0.10588235294117647,0.07220216606498195,0.03368018687619452,0.1111111111111111,0.0,0.1111111111111111,0.3102803738317757,0.25
1h38d_1qlna,branch10,11,branch10:13,branch10,test,False,B,identical,882,800,17,True,0.11372549019607843,0.07942238267148015,0.03430310752459828,0.5555555555555556,0.3333333333333333,0.22222222222222227,0.28598130841121494,0.255
1h38d_1qlna,branch10,12,root:27,root,test,False,B,identical,882,948,21,True,0.10980392156862745,0.09747292418772563,0.01233099738090182,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.3233644859813084,0.24050632911392406
1h38d_1qlna,branch10,13,branch10:18,branch10,test,False,B,identical,882,965,28,True,0.16470588235294117,0.08664259927797834,0.07806328307496284,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.37009345794392523,0.27357512953367874
1h38d_1qlna,branch10,14,root:53,root,test,False,B,identical,882,934,23,True,0.13333333333333333,0.09386281588447654,0.039470517448856796,0.1111111111111111,0.3333333333333333,-0.2222222222222222,0.34579439252336447,0.2623126338329764
1h38d_1qlna,branch10,15,branch10:91,branch10,test,False,B,identical,882,883,27,True,0.10588235294117647,0.05776173285198556,0.04812062008919091,0.0,0.0,0.0,0.30280373831775703,0.232163080407701
1h38d_1qlna,branch10,16,root:87,root,test,False,B,identical,882,990,25,True,0.10980392156862745,0.09747292418772563,0.01233099738090182,0.1111111111111111,0.0,0.1111111111111111,0.3663551401869159,0.25353535353535356
1h38d_1qlna,branch20,1,root:16,root,test,False,B,identical,882,801,28,True,0.10980392156862745,0.07942238267148015,0.0303815388971473,0.1111111111111111,0.0,0.1111111111111111,0.3383177570093458,0.2883895131086142
1h38d_1qlna,branch20,2,root:48,root,test,False,B,identical,882,846,27,True,0.09019607843137255,0.06859205776173286,0.021604020669639692,0.1111111111111111,0.0,0.1111111111111111,0.33457943925233646,0.26122931442080377
1h38d_1qlna,branch20,3,root:34,root,test,False,B,identical,882,868,34,True,0.11764705882352941,0.05776173285198556,0.05988532597154385,0.2222222222222222,0.0,0.2222222222222222,0.3364485981308411,0.26036866359447003
1h38d_1qlna,branch20,4,root:35,root,test,False,B,identical,882,881,29,True,0.13725490196078433,0.08303249097472924,0.054222410986055083,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.3401869158878505,0.2724177071509648
1h38d_1qlna,branch20,5,root:71,root,test,False,B,identical,882,838,24,True,0.1450980392156863,0.08664259927797834,0.05845543993770795,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.35887850467289717,0.301909307875895
1h38d_1qlna,branch20,6,root:29,root,test,False,B,identical,882,852,25,True,0.10588235294117647,0.07220216606498195,0.03368018687619452,0.1111111111111111,0.0,0.1111111111111111,0.3102803738317757,0.25
1h38d_1qlna,branch20,7,root:25,root,test,False,B,identical,882,822,23,True,0.09803921568627451,0.06498194945848375,0.03305726622779076,0.3333333333333333,0.3333333333333333,0.0,0.33084112149532713,0.26763990267639903
1h38d_1qlna,branch20,8,root:53,root,test,False,B,identical,882,934,23,True,0.13333333333333333,0.09386281588447654,0.039470517448856796,0.1111111111111111,0.3333333333333333,-0.2222222222222222,0.34579439252336447,0.2623126338329764
1h38d_1qlna,branch20,9,root:27,root,test,False,B,identical,882,948,21,True,0.10980392156862745,0.09747292418772563,0.01233099738090182,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.3233644859813084,0.24050632911392406
1h38d_1qlna,branch20,10,root:87,root,test,False,B,identical,882,990,25,True,0.10980392156862745,0.09747292418772563,0.01233099738090182,0.1111111111111111,0.0,0.1111111111111111,0.3663551401869159,0.25353535353535356
1h38d_1qlna,branch20,11,branch20:80,branch20,test,False,B,identical,882,905,27,True,0.10196078431372549,0.07220216606498195,0.02975861824874354,0.0,0.3333333333333333,-0.3333333333333333,0.36822429906542054,0.26850828729281767
