stem,cohort,n_residues,n_pairs,mode,elapsed_seconds,model_load_seconds,total_seconds,total_seconds_reconstructed,n_rollouts,n_finished,n_malformed,generated_tokens,batch_size,bundle_size,temperature,top_p,timestamp_utc,model_nickname,runner_tag,gpu_name,gpu_total_memory_gb,gpu_compute_capability,hostname,platform,torch_version,model_load_accounting,timing_correction
7t9r_A,eval-val,38,703,medoid_k16,0.8127158009447157,10.8206855696626,11.672643366735429,False,50,50,0,2093,128,16,1.0,0.95,2026-09-24T01:49:52.665210+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7xp9_A,eval-val,84,3486,medoid_k16,1.6544098518788815,10.8206855696626,12.521481947042048,False,50,50,0,6491,128,16,1.0,0.95,2026-09-24T01:49:59.173886+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7ykm_A,eval-val,105,5460,medoid_k16,2.04616371775046,10.8206855696626,12.917667006608099,False,50,50,0,8474,128,16,1.0,0.95,2026-09-24T01:50:07.688084+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8b2e_A,eval-val,143,10153,medoid_k16,3.508114466909319,10.8206855696626,14.384396772366017,False,50,50,0,10823,128,16,1.0,0.95,2026-09-24T01:50:21.317451+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8ec3_A,eval-val,168,14028,medoid_k16,4.317410095129162,10.8206855696626,15.202184742782265,False,50,50,0,15875,128,16,1.0,0.95,2026-09-24T01:50:38.321635+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7yd4_A,eval-val,185,17020,medoid_k16,5.158348481636494,10.8206855696626,16.042781413532794,False,50,50,0,17633,128,16,1.0,0.95,2026-09-24T01:50:59.501265+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8add_A,eval-val,213,22578,medoid_k16,5.901101072318852,10.8206855696626,17.04355312883854,False,50,50,0,17534,128,16,1.0,0.95,2026-09-24T01:51:25.975599+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8gmy_A,eval-val,236,27730,medoid_k16,7.455612646881491,10.8206855696626,18.355366508476436,False,50,50,0,27593,128,16,1.0,0.95,2026-09-24T01:51:58.809508+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7xlz_A,eval-val,266,35245,medoid_k16,10.48135227104649,10.8206855696626,21.391708065755665,False,50,50,0,40919,128,16,1.0,0.95,2026-09-24T01:52:38.995499+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8ak2_A,eval-val,297,43956,medoid_k16,11.467295608948916,10.8206855696626,22.3864542148076,False,50,50,0,43985,128,16,1.0,0.95,2026-09-24T01:53:24.784559+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7zs2_A,eval-val,316,49770,medoid_k16,9.534813286736608,10.8206855696626,20.678697467781603,False,50,50,0,34379,128,16,1.0,0.95,2026-09-24T01:54:05.883861+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8c4d_A,eval-val,330,54285,medoid_k16,13.98203328391537,10.8206855696626,24.890724550466985,False,50,50,0,50987,128,16,1.0,0.95,2026-09-24T01:54:58.094827+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8akh_A,eval-val,374,69751,medoid_k16,15.771091112866998,10.8206855696626,26.705801993608475,False,50,50,0,54104,128,16,1.0,0.95,2026-09-24T01:55:59.654847+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7y3h_A,eval-val,413,85078,medoid_k16,13.995182003825903,10.8206855696626,24.930711755994707,False,50,50,0,47510,128,16,1.0,0.95,2026-09-24T01:56:57.893410+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7xq4_A,eval-val,514,131841,medoid_k16,24.833604285027832,10.8206855696626,35.80364921595901,False,50,50,0,76907,128,16,1.0,0.95,2026-09-24T01:58:27.074704+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7znz_A,eval-val,761,289180,medoid_k16,61.521910417824984,10.8206855696626,72.55921109998599,False,50,50,0,152828,128,16,1.0,0.95,2026-09-24T02:01:59.780876+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7t9r_A,eval-val,38,703,medoid_k8,1.1000214340165257,10.8206855696626,11.963937905617058,False,50,50,0,3176,128,8,1.0,0.95,2026-09-24T01:49:50.715632+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7xp9_A,eval-val,84,3486,medoid_k8,1.730577785987407,10.8206855696626,12.598289411514997,False,50,50,0,7526,128,8,1.0,0.95,2026-09-24T01:49:55.347655+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7ykm_A,eval-val,105,5460,medoid_k8,2.168164408300072,10.8206855696626,13.04031392140314,False,50,50,0,9926,128,8,1.0,0.95,2026-09-24T01:50:03.385987+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8b2e_A,eval-val,143,10153,medoid_k8,3.60795064503327,10.8206855696626,14.48860163288191,False,50,50,0,12782,128,8,1.0,0.95,2026-09-24T01:50:13.650143+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8ec3_A,eval-val,168,14028,medoid_k8,4.451087419874966,10.8206855696626,15.32629705639556,False,50,50,0,17609,128,8,1.0,0.95,2026-09-24T01:50:29.669381+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7yd4_A,eval-val,185,17020,medoid_k8,5.674658237025142,10.8206855696626,16.56338192289695,False,50,50,0,21776,128,8,1.0,0.95,2026-09-24T01:50:48.493036+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8add_A,eval-val,213,22578,medoid_k8,6.605921715032309,10.8206855696626,17.49167078966275,False,50,50,0,24011,128,8,1.0,0.95,2026-09-24T01:51:11.818428+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8gmy_A,eval-val,236,27730,medoid_k8,8.394835955929011,10.8206855696626,19.296314908657223,False,50,50,1,31249,128,8,1.0,0.95,2026-09-24T01:51:42.490517+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7xlz_A,eval-val,266,35245,medoid_k8,10.37994152866304,10.8206855696626,21.291989392600954,False,50,50,0,41384,128,8,1.0,0.95,2026-09-24T01:52:18.131857+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8ak2_A,eval-val,297,43956,medoid_k8,11.630236407276243,10.8206855696626,22.53505726531148,False,50,50,0,45335,128,8,1.0,0.95,2026-09-24T01:53:01.154750+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7zs2_A,eval-val,316,49770,medoid_k8,9.754869678989053,10.8206855696626,20.672193419653922,False,50,50,0,35261,128,8,1.0,0.95,2026-09-24T01:53:46.220592+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8c4d_A,eval-val,330,54285,medoid_k8,13.880511592142284,10.8206855696626,24.811465412843972,False,50,50,0,51812,128,8,1.0,0.95,2026-09-24T01:54:29.495023+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
8akh_A,eval-val,374,69751,medoid_k8,15.810974545776844,10.8206855696626,26.745472541544586,False,50,50,1,55472,128,8,1.0,0.95,2026-09-24T01:55:28.423107+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7y3h_A,eval-val,413,85078,medoid_k8,13.870810682885349,10.8206855696626,24.808165482711047,False,50,50,0,47852,128,8,1.0,0.95,2026-09-24T01:56:29.272229+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7xq4_A,eval-val,514,131841,medoid_k8,24.539175184909254,10.8206855696626,35.50548233278096,False,50,50,1,77906,128,8,1.0,0.95,2026-09-24T01:57:36.593391+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7znz_A,eval-val,761,289180,medoid_k8,61.95295167295262,10.8206855696626,73.24536455795169,False,50,50,0,154343,128,8,1.0,0.95,2026-09-24T01:59:55.416171+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7t9r_A,eval-val,38,703,random_k16,0.8517990778200328,10.8206855696626,11.713847512379289,False,50,50,0,2465,128,16,1.0,0.95,2026-09-24T01:49:53.564238+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
7xp9_A,eval-val,84,3486,random_k16,1.9348388686776161,10.8206855696626,12.802079778630286,False,50,50,0,6887,128,16,1.0,0.95,2026-09-24T01:50:01.160571+00:00,contacts-v1-exp277-m2-p06-full-epoch-1.5B-step-266344,local,NVIDIA RTX A5000,25.42272512,8.6,ip1,Linux-5.15.0-33-generic-x86_64-with-glibc2.35,2.10.0+cu128,full_invocation,exact_expand_amortized_model_load
