stem,length,previous_quality_pass,quality_pass,previous_chain_breaks,ca_chain_breaks,cis_proline_bonds,elapsed_cpu_seconds
proteina-efd56b451c6734f2cbe2,60,True,True,0,0,0,0.0014169879723340273
proteina-68df0364efd8550a6d6f,60,False,False,0,0,0,0.0009533280972391367
proteina-31411679c0f0bcaf9e03,60,True,True,0,0,0,0.0009589788969606161
proteina-1091ab3e577ea1ceb439,60,True,True,0,0,0,0.0009408451151102781
proteina-aed534b8f45dfa7d0a3a,60,True,True,0,0,0,0.000968205975368619
proteina-89ac92520f226d791657,60,True,True,0,0,0,0.0009387119207531214
proteina-42e0c45219ec62d708e5,60,True,True,0,0,0,0.000928051071241498
proteina-c8ff9a5eb1f7622643af,60,True,True,0,0,0,0.000944863073527813
proteina-79a1fe05ba9c855f9c8a,60,True,True,0,0,0,0.0009571057744324207
proteina-0c9e7791313762a0ec5a,60,True,True,0,0,0,0.0009332711342722178
proteina-e65860ccbd1853292e5b,60,False,False,0,0,0,0.0008963011205196381
proteina-30cbe0107d2eb4cb19f7,60,True,True,0,0,0,0.0009487390052527189
proteina-bded4e66ab4a23ea3fd0,60,True,True,0,0,0,0.0009477378334850073
proteina-4693c4f7029ccbbb2a33,60,True,True,0,0,0,0.0009440509602427483
proteina-5d0a4630c035b842d19d,60,True,True,0,0,0,0.0009312368929386139
proteina-10693d47baceda8328ff,60,False,False,0,0,0,0.0009173708967864513
proteina-42361d9dfd5d856e661b,60,True,True,0,0,0,0.0009379999246448278
proteina-8ee53c69bea426f822e7,60,True,True,0,0,0,0.000953929964452982
proteina-58d4a30264dd8a0a294f,60,False,False,0,0,0,0.0009136141743510962
proteina-a09b6e52dfd6db427fac,60,True,True,0,0,0,0.0009242340456694365
proteina-306303df1bc524e38b01,60,False,False,0,0,0,0.0008996478281915188
proteina-a260f273e112bbfeb9e7,60,True,True,0,0,0,0.0009302450343966484
proteina-50439050bbe43f659285,60,True,True,0,0,0,0.0009176821913570166
proteina-34aa689d6aefc75f98d8,60,True,True,0,0,0,0.0009340420365333557
proteina-402c9ae63a3a8a6802e2,60,True,True,0,0,0,0.0009379300754517317
proteina-7afe9e53456a61fa75eb,60,True,True,0,0,0,0.0009387109894305468
proteina-011a5ea09a27b7dd7720,60,True,True,0,0,0,0.0009352450724691153
proteina-2a21efb31c705b1a2b62,60,True,True,0,0,0,0.0009358660317957401
proteina-c32bee8c314b1154e5ce,60,True,True,0,0,0,0.000931818038225174
proteina-db6ea7aed2ffbb245da5,60,True,True,0,0,0,0.0009403540752828121
proteina-883ae992f92f6d150ae4,60,True,True,0,0,0,0.000939131947234273
proteina-0d41be658271f4f5e796,60,True,True,0,0,0,0.0009442418813705444
proteina-b63b19baa1ffa6a70b4b,60,True,True,0,0,0,0.0018264169339090586
proteina-650dbb2a916bf23b2a88,60,True,True,0,0,0,0.0014777721371501684
proteina-e4b709e5de485425a4c3,60,True,True,0,0,0,0.0014561221469193697
proteina-7d37c5473c728136b600,60,True,True,0,0,0,0.0014100351836532354
proteina-317db1d06e7c905d42d4,60,True,True,0,0,0,0.0014104761648923159
proteina-7e286ca0d47f743c4117,60,True,True,0,0,0,0.0014133220538496971
proteina-3a2858018bbd7f5df0a1,60,True,True,0,0,0,0.001398243010044098
proteina-0ad4e06eb8708b60b6bb,60,True,True,0,0,0,0.0014240811578929424
proteina-72182d7a868f116078d5,60,True,True,0,0,0,0.0014132510405033827
proteina-599f4977b7a2be1ea429,60,True,True,0,0,0,0.0014036130160093307
proteina-87ce33f2728a9943f70f,60,True,True,0,0,0,0.0013961398508399725
proteina-2f45d9c13a666a4507b4,60,True,True,0,0,0,0.0014167081099003553
proteina-0f89d0912645abf27be7,60,True,True,0,0,0,0.0013961098156869411
