T,stem,lddt_distogram_cb,lddt_distogram_cb_soft
1.0,8eb9_A,0.288501,0.282356
1.0,7y5j_A,0.494843,0.473587
1.0,7ykm_A,0.417421,0.412059
1.0,7ur2_A,0.365066,0.356821
1.0,8baq_A,0.252874,0.246466
1.0,8cba_A,0.251359,0.248192
1.0,7zs2_A,0.328569,0.321030
1.0,7xz3_A,0.250870,0.251857
1.0,7ylr_A,0.314269,0.306573
1.0,7uk8_A,0.245532,0.236789
0.3,8eb9_A,0.283777,0.281552
0.3,7y5j_A,0.500507,0.494892
0.3,7ykm_A,0.425856,0.427276
0.3,7ur2_A,0.360761,0.360072
0.3,8baq_A,0.248319,0.246095
0.3,8cba_A,0.250551,0.249081
0.3,7zs2_A,0.325884,0.323064
0.3,7xz3_A,0.251219,0.253253
0.3,7ylr_A,0.317148,0.314372
0.3,7uk8_A,0.242977,0.239530
0.1,8eb9_A,0.283011,0.281923
0.1,7y5j_A,0.502709,0.499744
0.1,7ykm_A,0.430684,0.431676
0.1,7ur2_A,0.359536,0.359549
0.1,8baq_A,0.245598,0.244969
0.1,8cba_A,0.250498,0.249299
0.1,7zs2_A,0.324740,0.323201
0.1,7xz3_A,0.252339,0.252388
0.1,7ylr_A,0.316554,0.315353
0.1,7uk8_A,0.241750,0.240246
0.05,8eb9_A,0.283506,0.282393
0.05,7y5j_A,0.499831,0.500200
0.05,7ykm_A,0.431152,0.432546
0.05,7ur2_A,0.359617,0.359042
0.05,8baq_A,0.244380,0.244690
0.05,8cba_A,0.249517,0.249234
0.05,7zs2_A,0.324009,0.323185
0.05,7xz3_A,0.252841,0.252540
0.05,7ylr_A,0.315634,0.315406
0.05,7uk8_A,0.241126,0.240444
