stem,eval_set,arm,map_seed,sample_idx,L,n_present,n_absent,n_unknown,ranking_score,ptm,iptm,mean_plddt,has_clash,n_matched_atoms,lddt,tm_score,gdt_ts,rmsd
7wzm_A,eval-val,oracle,0,0,492,454,101924,33082,0.8819489479064941,0.9203773736953735,0.8723418116569519,,0.0,3532,0.8398427289930683,0.9793900768826662,0.9246724890829694,0.7935209902320928
7wzm_A,eval-val,oracle,0,1,492,454,101924,33082,0.8888769149780273,0.9221746921539307,0.8805524110794067,,0.0,3532,0.8468682368500842,0.9746457437450792,0.912117903930131,0.9065903079233006
7wzm_A,eval-val,oracle,0,2,492,454,101924,33082,0.8899317979812622,0.9221805334091187,0.8818696141242981,89.40673828125,0.0,3532,0.8515864324024799,0.9792991743675841,0.929585152838428,0.8226003924420774
7wzm_A,eval-val,uniform,1,0,492,454,101924,33082,0.2257985770702362,0.2239115834236145,0.22627031803131104,,0.0,3532,0.22844678871266222,0.24328434564294082,0.02510917030567686,14.541607002524668
7wzm_A,eval-val,uniform,1,1,492,454,101924,33082,0.22368094325065613,0.22105301916599274,0.22433792054653168,,0.0,3532,0.23385273453427707,0.2892279627854401,0.019650655021834062,14.331051933584831
7wzm_A,eval-val,uniform,1,2,492,454,101924,33082,0.22803452610969543,0.21981465816497803,0.230089470744133,27.877546310424805,0.0,3532,0.224337930097128,0.3098848673610687,0.010917030567685589,14.80090475504917
7wzm_A,eval-val,uniform,2,0,492,454,101924,33082,0.22029630839824677,0.21151718497276306,0.2224910706281662,,0.0,3532,0.22258571884115547,0.2964030636371858,0.013100436681222708,14.229299048258168
7wzm_A,eval-val,uniform,2,1,492,454,101924,33082,0.22081927955150604,0.21327166259288788,0.22270618379116058,27.940418243408203,0.0,3532,0.23579967223227072,0.3144490810051447,0.00982532751091703,14.431321596445743
7wzm_A,eval-val,uniform,2,2,492,454,101924,33082,0.21664927899837494,0.21033814549446106,0.2182270586490631,,0.0,3532,0.24805044852426109,0.33086667898149785,0.019650655021834062,13.545903186777675
7wzm_A,eval-val,uniform,3,0,492,454,101924,33082,0.26220065355300903,0.2778710424900055,0.2582830488681793,29.32801628112793,0.0,3532,0.2384853288655159,0.278169480893294,0.030567685589519653,12.707037807708756
7wzm_A,eval-val,uniform,3,1,492,454,101924,33082,0.26050522923469543,0.28064897656440735,0.25546929240226746,,0.0,3532,0.2414702630505923,0.27859987619636223,0.02292576419213974,13.420803198224096
7wzm_A,eval-val,uniform,3,2,492,454,101924,33082,0.2529570460319519,0.2772539258003235,0.24688281118869781,,0.0,3532,0.24196132654448127,0.27255114058141994,0.02292576419213974,13.828284178298269
7wzm_A,eval-val,uniform,4,0,492,454,101924,33082,0.2094949632883072,0.19694828987121582,0.21263162791728973,,0.0,3532,0.2282438942151871,0.2895472443133158,0.018013100436681223,14.077781410129734
7wzm_A,eval-val,uniform,4,1,492,454,101924,33082,0.2141895294189453,0.1925932615995407,0.21958859264850616,26.78865623474121,0.0,3532,0.23009150835886122,0.25505766692403514,0.007096069868995633,14.935890806883704
7wzm_A,eval-val,uniform,4,2,492,454,101924,33082,0.19880986213684082,0.18149688839912415,0.2031380981206894,,0.0,3532,0.22539062908402774,0.2886863082613089,0.004366812227074236,14.411809398001585
7wzm_A,eval-val,uniform,5,0,492,454,101924,33082,0.2127954363822937,0.21495550870895386,0.21225541830062866,,0.0,3532,0.2230267938356666,0.26823788886470035,0.01037117903930131,15.632236632264506
7wzm_A,eval-val,uniform,5,1,492,454,101924,33082,0.21668672561645508,0.2064025104045868,0.21925777196884155,,0.0,3532,0.219330912103882,0.25817518137542556,0.018013100436681223,14.84028801207004
7wzm_A,eval-val,uniform,5,2,492,454,101924,33082,0.2295004278421402,0.21622438728809357,0.23281942307949066,27.977245330810547,0.0,3532,0.22498124614467785,0.27904517510150756,0.0212882096069869,15.447899652068118
7wzm_A,eval-val,separation_matched,1,0,492,454,101924,33082,0.3882739543914795,0.4451616704463959,0.3740520179271698,41.791015625,0.0,3532,0.24629235626836177,0.338971798134685,0.036026200873362446,13.66009037887922
7wzm_A,eval-val,separation_matched,1,1,492,454,101924,33082,0.3591713011264801,0.4429645836353302,0.3382229804992676,,0.0,3532,0.24898552751262454,0.3373090963527685,0.024017467248908297,13.690423053749969
7wzm_A,eval-val,separation_matched,1,2,492,454,101924,33082,0.38527780771255493,0.4443524479866028,0.3705091178417206,,0.0,3532,0.24373836868903365,0.31874298151886415,0.023471615720524017,14.099628941962402
7wzm_A,eval-val,separation_matched,2,0,492,454,101924,33082,0.23506346344947815,0.20771628618240356,0.2419002503156662,30.05794906616211,0.0,3532,0.21569612742689262,0.24322947969856745,0.012554585152838428,14.195054991047005
7wzm_A,eval-val,separation_matched,2,1,492,454,101924,33082,0.2328273355960846,0.20738542079925537,0.2391878068447113,,0.0,3532,0.21326988823486362,0.26128562582717246,0.007641921397379912,13.893344778255265
7wzm_A,eval-val,separation_matched,2,2,492,454,101924,33082,0.2306063175201416,0.20614348351955414,0.23672202229499817,,0.0,3532,0.20908588350915347,0.2695678550859372,0.0054585152838427945,14.211146112812852
7wzm_A,eval-val,separation_matched,3,0,492,454,101924,33082,0.23931442201137543,0.2236623764038086,0.24322742223739624,30.190349578857422,0.0,3532,0.2232218469999059,0.2540257631400052,0.012008733624454149,15.17416732840352
7wzm_A,eval-val,separation_matched,3,1,492,454,101924,33082,0.23856176435947418,0.22345082461833954,0.24233950674533844,,0.0,3532,0.22665700440160175,0.2505775362687171,0.0212882096069869,15.886383834846812
7wzm_A,eval-val,separation_matched,3,2,492,454,101924,33082,0.22352752089500427,0.22000427544116974,0.2244083136320114,,0.0,3532,0.22161698746432193,0.26443885216011,0.013100436681222707,16.06995310788212
7wzm_A,eval-val,separation_matched,4,0,492,454,101924,33082,0.21541333198547363,0.1875097006559372,0.22238923609256744,27.430715560913086,0.0,3532,0.2512797709285184,0.279478212138347,0.010917030567685589,14.169893669649891
7wzm_A,eval-val,separation_matched,4,1,492,454,101924,33082,0.21107402443885803,0.19329237937927246,0.21551944315433502,,0.0,3532,0.24539811755726787,0.30477427957275904,0.019650655021834062,12.891955363571963
7wzm_A,eval-val,separation_matched,4,2,492,454,101924,33082,0.21336109936237335,0.2017359882593155,0.21626736223697662,,0.0,3532,0.24965138739322718,0.29914240308077034,0.027292576419213975,14.955336717507532
7wzm_A,eval-val,separation_matched,5,0,492,454,101924,33082,0.22716408967971802,0.23730222880840302,0.22462953627109528,,0.0,3532,0.24549090666722428,0.26816472268832825,0.04039301310043668,14.533250744469626
7wzm_A,eval-val,separation_matched,5,1,492,454,101924,33082,0.22716160118579865,0.2511693239212036,0.2211596667766571,,0.0,3532,0.2221763359018056,0.2983113419018585,0.018013100436681223,14.584318115079355
7wzm_A,eval-val,separation_matched,5,2,492,454,101924,33082,0.2305830866098404,0.2447037249803543,0.22705292701721191,29.739349365234375,0.0,3532,0.22934854203477367,0.27896963662152213,0.022379912663755455,13.688920072733966
7xcd_A,eval-val,oracle,0,0,178,148,13738,1867,0.9192800521850586,0.9192800521850586,0.0,90.31291961669922,0.0,1438,0.8837355664994704,0.9441226987127148,0.8764044943820225,1.156423039074179
7xcd_A,eval-val,oracle,0,1,178,148,13738,1867,0.9186661243438721,0.9186661243438721,0.0,,0.0,1438,0.8954779145134283,0.9557715876226639,0.8862359550561798,0.9824739525539097
7xcd_A,eval-val,oracle,0,2,178,148,13738,1867,0.9191415905952454,0.9191415905952454,0.0,,0.0,1438,0.8917197935928737,0.949986909348914,0.8595505617977528,1.193182562466802
7xcd_A,eval-val,uniform,1,0,178,148,13738,1867,0.26022443175315857,0.26022443175315857,0.0,33.196197509765625,0.0,1438,0.2836759529622612,0.3275250362992892,0.016853932584269662,10.49877429431047
7xcd_A,eval-val,uniform,1,1,178,148,13738,1867,0.25041258335113525,0.25041258335113525,0.0,,0.0,1438,0.26949305711128746,0.3451753573978597,0.06179775280898876,10.930406321160673
7xcd_A,eval-val,uniform,1,2,178,148,13738,1867,0.25226664543151855,0.25226664543151855,0.0,,0.0,1438,0.2939422014481913,0.32343486737049554,0.06882022471910113,10.776142950118123
7xcd_A,eval-val,uniform,2,0,178,148,13738,1867,0.30390551686286926,0.30390551686286926,0.0,,0.0,1438,0.3019064940785152,0.33340380132942377,0.01544943820224719,11.459332431567343
7xcd_A,eval-val,uniform,2,1,178,148,13738,1867,0.3046506941318512,0.3046506941318512,0.0,,0.0,1438,0.3168962610541344,0.2883437188598103,0.025280898876404494,11.676553169360336
7xcd_A,eval-val,uniform,2,2,178,148,13738,1867,0.31426405906677246,0.31426405906677246,0.0,35.412288665771484,0.0,1438,0.290986205351549,0.3537661888737737,0.004213483146067416,11.674587302827078
7xcd_A,eval-val,uniform,3,0,178,148,13738,1867,0.26519376039505005,0.26519376039505005,0.0,,0.0,1438,0.34162069083356433,0.4066855929890071,0.03932584269662921,10.226360538120144
7xcd_A,eval-val,uniform,3,1,178,148,13738,1867,0.2905990779399872,0.2905990779399872,0.0,38.488067626953125,0.0,1438,0.35204166872339704,0.3525966083891259,0.03932584269662921,11.70795846162332
7xcd_A,eval-val,uniform,3,2,178,148,13738,1867,0.2560798227787018,0.2560798227787018,0.0,,0.0,1438,0.3510914593166087,0.42667700916510287,0.04213483146067416,10.008916020098503
7xcd_A,eval-val,uniform,4,0,178,148,13738,1867,0.42929181456565857,0.42929181456565857,0.0,42.274497985839844,0.0,1438,0.30014087020576163,0.35313656844394625,0.06320224719101124,10.537177098886872
7xcd_A,eval-val,uniform,4,1,178,148,13738,1867,0.4271549582481384,0.4271549582481384,0.0,,0.0,1438,0.2887573425272343,0.3322204205906592,0.04353932584269663,11.270357029995345
7xcd_A,eval-val,uniform,4,2,178,148,13738,1867,0.42367467284202576,0.42367467284202576,0.0,,0.0,1438,0.2977629735384241,0.3378159318335162,0.0702247191011236,10.182664669758413
7xcd_A,eval-val,uniform,5,0,178,148,13738,1867,0.28738218545913696,0.28738218545913696,0.0,,0.0,1438,0.3179024768095746,0.2923203817105505,0.05337078651685394,10.022646456735883
7xcd_A,eval-val,uniform,5,1,178,148,13738,1867,0.28454455733299255,0.28454455733299255,0.0,,0.0,1438,0.31717249575680717,0.3378949742491517,0.06460674157303371,9.720207681496486
7xcd_A,eval-val,uniform,5,2,178,148,13738,1867,0.3014858663082123,0.3014858663082123,0.0,36.60981750488281,0.0,1438,0.34709032779851384,0.31402694650996854,0.04775280898876405,9.696658426222823
7xcd_A,eval-val,separation_matched,1,0,178,148,13738,1867,0.29078397154808044,0.29078397154808044,0.0,,0.0,1438,0.3091360593553385,0.3259661403784218,0.026685393258426966,9.165509201744477
7xcd_A,eval-val,separation_matched,1,1,178,148,13738,1867,0.2952558398246765,0.2952558398246765,0.0,,0.0,1438,0.2873628793718176,0.33653813503644303,0.02247191011235955,11.017889354542062
7xcd_A,eval-val,separation_matched,1,2,178,148,13738,1867,0.2964537441730499,0.2964537441730499,0.0,33.79533004760742,0.0,1438,0.2895917421961323,0.33290272620677364,0.02949438202247191,9.947244927490493
7xcd_A,eval-val,separation_matched,2,0,178,148,13738,1867,0.28923386335372925,0.28923386335372925,0.0,33.78386306762695,0.0,1438,0.30760015643807215,0.27298082061858897,0.05056179775280899,9.133472915425658
7xcd_A,eval-val,separation_matched,2,1,178,148,13738,1867,0.28047144412994385,0.28047144412994385,0.0,,0.0,1438,0.3129644255267444,0.33628074463999647,0.08286516853932585,8.367882271184602
7xcd_A,eval-val,separation_matched,2,2,178,148,13738,1867,0.2739431858062744,0.2739431858062744,0.0,,0.0,1438,0.29564707267155976,0.269055514086612,0.019662921348314606,10.135737953724892
7xcd_A,eval-val,separation_matched,3,0,178,148,13738,1867,0.2842579185962677,0.2842579185962677,0.0,,0.0,1438,0.28011243037176825,0.2614166941562756,0.028089887640449437,9.299668973022184
7xcd_A,eval-val,separation_matched,3,1,178,148,13738,1867,0.29842981696128845,0.29842981696128845,0.0,38.31228256225586,0.0,1438,0.3107763808887353,0.312505542625272,0.0547752808988764,9.529915579774222
7xcd_A,eval-val,separation_matched,3,2,178,148,13738,1867,0.2843252420425415,0.2843252420425415,0.0,,0.0,1438,0.31028751191321485,0.33386455271193777,0.0351123595505618,9.14314933141672
7xcd_A,eval-val,separation_matched,4,0,178,148,13738,1867,0.3042752742767334,0.3042752742767334,0.0,36.819671630859375,0.0,1438,0.3275004461522689,0.3227213818361033,0.02949438202247191,10.779137110353084
7xcd_A,eval-val,separation_matched,4,1,178,148,13738,1867,0.2515721619129181,0.2515721619129181,0.0,,0.0,1438,0.3197668237375789,0.33596927256516573,0.046348314606741575,11.32827962956244
7xcd_A,eval-val,separation_matched,4,2,178,148,13738,1867,0.24468372762203217,0.24468372762203217,0.0,,0.0,1438,0.33454965200123027,0.3630581817351875,0.012640449438202247,11.660656550499667
7xcd_A,eval-val,separation_matched,5,0,178,148,13738,1867,0.3546668589115143,0.3546668589115143,0.0,,0.0,1438,0.3146313263442473,0.3095862847009062,0.07724719101123595,9.371923760356323
7xcd_A,eval-val,separation_matched,5,1,178,148,13738,1867,0.3519560396671295,0.3519560396671295,0.0,,0.0,1438,0.3028063926975315,0.31301625423073187,0.07162921348314606,9.455801006078072
7xcd_A,eval-val,separation_matched,5,2,178,148,13738,1867,0.35746097564697266,0.35746097564697266,0.0,40.504940032958984,0.0,1438,0.2883387188025653,0.3180396186925163,0.03932584269662921,9.678102582644248
8adc_A,eval-val,oracle,0,0,215,169,18969,2183,0.9160884618759155,0.9160884618759155,0.0,,0.0,1617,0.8210269877448552,0.9436599724808884,0.8900966183574879,0.9199526987833346
8adc_A,eval-val,oracle,0,1,215,169,18969,2183,0.9161350131034851,0.9161350131034851,0.0,87.41716766357422,0.0,1617,0.8030687411224523,0.923458377635087,0.856280193236715,1.3341092486611843
8adc_A,eval-val,oracle,0,2,215,169,18969,2183,0.9161211848258972,0.9161211848258972,0.0,,0.0,1617,0.7999306312555743,0.9138394435452729,0.8514492753623188,1.4030651123908555
8adc_A,eval-val,uniform,1,0,215,169,18969,2183,0.26714375615119934,0.26714375615119934,0.0,33.54281997680664,0.0,1617,0.3224961186535857,0.3324008702608871,0.03140096618357488,10.907708196172191
8adc_A,eval-val,uniform,1,1,215,169,18969,2183,0.2624499201774597,0.2624499201774597,0.0,,0.0,1617,0.3291216595646286,0.3135602823533068,0.03502415458937198,10.71019098989084
8adc_A,eval-val,uniform,1,2,215,169,18969,2183,0.26182061433792114,0.26182061433792114,0.0,,0.0,1617,0.3176204869025204,0.3053432503011781,0.06642512077294686,10.094011449942228
8adc_A,eval-val,uniform,2,0,215,169,18969,2183,0.22026456892490387,0.22026456892490387,0.0,31.254714965820312,0.0,1617,0.27774254285997424,0.3627664144516811,0.04227053140096618,9.973237315358045
8adc_A,eval-val,uniform,2,1,215,169,18969,2183,0.2143494188785553,0.2143494188785553,0.0,,0.0,1617,0.2722987480593268,0.3343564338743513,0.10507246376811594,8.441977829862761
8adc_A,eval-val,uniform,2,2,215,169,18969,2183,0.21376168727874756,0.21376168727874756,0.0,,0.0,1617,0.27012684570409273,0.3869958654848216,0.03260869565217391,10.129552879397389
8adc_A,eval-val,uniform,3,0,215,169,18969,2183,0.21502652764320374,0.21502652764320374,0.0,29.465232849121094,0.0,1617,0.27065619528953194,0.34528144833482133,0.05314009661835749,10.455048870389719
8adc_A,eval-val,uniform,3,1,215,169,18969,2183,0.2071891874074936,0.2071891874074936,0.0,,0.0,1617,0.3253286757176362,0.34090075930054536,0.06159420289855073,10.505352054130723
8adc_A,eval-val,uniform,3,2,215,169,18969,2183,0.20679546892642975,0.20679546892642975,0.0,,0.0,1617,0.27564578997786804,0.335439024392078,0.04589371980676328,9.885493120095047
8adc_A,eval-val,uniform,4,0,215,169,18969,2183,0.2541579604148865,0.2541579604148865,0.0,,0.0,1617,0.29782974928153805,0.39450053690584125,0.08816425120772947,10.618045489729994
8adc_A,eval-val,uniform,4,1,215,169,18969,2183,0.2381981909275055,0.2381981909275055,0.0,,0.0,1617,0.3134121164073597,0.36753491090145507,0.041062801932367145,10.880308379375832
8adc_A,eval-val,uniform,4,2,215,169,18969,2183,0.25697627663612366,0.25697627663612366,0.0,31.741947174072266,0.0,1617,0.27840237175040466,0.34015395925112296,0.014492753623188406,10.241625404101704
8adc_A,eval-val,uniform,5,0,215,169,18969,2183,0.21172431111335754,0.21172431111335754,0.0,,0.0,1617,0.2503138109866878,0.23775654089400683,0.03743961352657005,10.974520706768256
8adc_A,eval-val,uniform,5,1,215,169,18969,2183,0.2300260215997696,0.2300260215997696,0.0,28.672101974487305,0.0,1617,0.2931324943018531,0.3239262047558014,0.06763285024154589,9.62742227068064
8adc_A,eval-val,uniform,5,2,215,169,18969,2183,0.2154207080602646,0.2154207080602646,0.0,,0.0,1617,0.28628811151851485,0.3274452848267362,0.03743961352657005,10.16249183652714
8adc_A,eval-val,separation_matched,1,0,215,169,18969,2183,0.3232160806655884,0.3232160806655884,0.0,36.62934494018555,0.0,1617,0.38091451128067916,0.38390025405920375,0.10628019323671498,10.298420990200887
8adc_A,eval-val,separation_matched,1,1,215,169,18969,2183,0.3158773183822632,0.3158773183822632,0.0,,0.0,1617,0.36876011627522876,0.38044425345174027,0.11231884057971014,10.384646240955114
8adc_A,eval-val,separation_matched,1,2,215,169,18969,2183,0.3025137782096863,0.3025137782096863,0.0,,0.0,1617,0.3483087239454299,0.3491740834011141,0.06280193236714976,10.155529429346
8adc_A,eval-val,separation_matched,2,0,215,169,18969,2183,0.2577398121356964,0.2577398121356964,0.0,,0.0,1617,0.29111171671126085,0.31446462202706704,0.05314009661835749,9.831152419331413
8adc_A,eval-val,separation_matched,2,1,215,169,18969,2183,0.24051746726036072,0.24051746726036072,0.0,,0.0,1617,0.26028887127142997,0.30083858036424094,0.013285024154589372,10.290910169255175
8adc_A,eval-val,separation_matched,2,2,215,169,18969,2183,0.26302599906921387,0.26302599906921387,0.0,32.84694290161133,0.0,1617,0.3101658243319129,0.36189646380950974,0.09903381642512077,9.979079005269544
8adc_A,eval-val,separation_matched,3,0,215,169,18969,2183,0.2718454599380493,0.2718454599380493,0.0,,0.0,1617,0.3035031215934991,0.4178918443557458,0.10144927536231883,7.706059705099485
8adc_A,eval-val,separation_matched,3,1,215,169,18969,2183,0.27340781688690186,0.27340781688690186,0.0,33.55694580078125,0.0,1617,0.30510603508076506,0.4221806655942872,0.08574879227053141,7.94631172666472
8adc_A,eval-val,separation_matched,3,2,215,169,18969,2183,0.26668059825897217,0.26668059825897217,0.0,,0.0,1617,0.30039308955174576,0.43977737115483856,0.06763285024154589,7.872894292799135
8adc_A,eval-val,separation_matched,4,0,215,169,18969,2183,0.2629219591617584,0.2629219591617584,0.0,,0.0,1617,0.31139794536385557,0.3613189666577999,0.06280193236714976,9.74306830249492
8adc_A,eval-val,separation_matched,4,1,215,169,18969,2183,0.268940269947052,0.268940269947052,0.0,,0.0,1617,0.3310664618637069,0.3668922243493879,0.05434782608695652,9.84479146288042
8adc_A,eval-val,separation_matched,4,2,215,169,18969,2183,0.2723662257194519,0.2723662257194519,0.0,33.29018783569336,0.0,1617,0.33167178674066,0.35007872631289877,0.08816425120772946,9.596423602651223
8adc_A,eval-val,separation_matched,5,0,215,169,18969,2183,0.24882911145687103,0.24882911145687103,0.0,,0.0,1617,0.31539242889703695,0.37555614723582786,0.08816425120772947,7.333120045875374
8adc_A,eval-val,separation_matched,5,1,215,169,18969,2183,0.25462716817855835,0.25462716817855835,0.0,31.288352966308594,0.0,1617,0.326566577478281,0.3936865154525497,0.12077294685990339,7.754801102291382
8adc_A,eval-val,separation_matched,5,2,215,169,18969,2183,0.24358420073986053,0.24358420073986053,0.0,,0.0,1617,0.3519629703035708,0.42644482995866173,0.09782608695652174,8.478494175526455
8bux_A,eval-val,oracle,0,0,334,237,38292,7527,0.5940691232681274,0.8869590759277344,0.5208466649055481,,0.0,2171,0.81675636696215,0.944274557815268,0.8598615916955017,1.0820857331461446
8bux_A,eval-val,oracle,0,1,334,237,38292,7527,0.6106058359146118,0.8880120515823364,0.5412542819976807,87.25089263916016,0.0,2171,0.8145440109348931,0.93765265793895,0.8330449826989619,1.142125018474806
8bux_A,eval-val,oracle,0,2,334,237,38292,7527,0.578117311000824,0.8858622312545776,0.5011810660362244,,0.0,2171,0.8175176887977648,0.945272747536783,0.8564013840830449,1.0446951901822388
8bux_A,eval-val,uniform,1,0,334,237,38292,7527,0.19675615429878235,0.2210502177476883,0.19068263471126556,29.616506576538086,0.0,2171,0.2739791252085469,0.30114328642829585,0.023356401384083045,13.110699487554362
8bux_A,eval-val,uniform,1,1,334,237,38292,7527,0.19240695238113403,0.21251778304576874,0.18737922608852386,,0.0,2171,0.24366067659651452,0.26819698498232286,0.01124567474048443,12.834106479130924
