query,target,min_tm,min_coverage,prefilter_reported
proteina-309317dc3a22e7b5a110,proteina-2a3a040bb618ee8d0459,0.32043078161767086,0.48,True
proteina-309317dc3a22e7b5a110,proteina-c2fbf09df7c480cc29e2,0.40366484524735047,0.614,True
proteina-309317dc3a22e7b5a110,proteina-ad7a6985b76d21d45047,0.36574422273597923,0.548,True
proteina-309317dc3a22e7b5a110,proteina-040ae6fc1f2dd1b5283b,0.30663571440863185,0.488,True
proteina-309317dc3a22e7b5a110,proteina-57046e6ef514b2366e8f,0.41240555980146854,0.612,True
proteina-309317dc3a22e7b5a110,proteina-b98203d58bc76c501641,0.38204634793842385,0.576,True
proteina-309317dc3a22e7b5a110,proteina-c53b5192e8a589eebc57,0.4137721432796374,0.604,True
proteina-309317dc3a22e7b5a110,proteina-fd8ad8c454f6b8c526d9,0.3437602845061592,0.552,True
proteina-309317dc3a22e7b5a110,proteina-11287023291209dc10ec,0.2903853336955959,0.452,True
proteina-309317dc3a22e7b5a110,proteina-dcfd85ec51f5920c8259,0.2505345604451172,0.422,True
proteina-309317dc3a22e7b5a110,proteina-b9b2a0b764319df6fcfd,0.3657092771311238,0.528,True
proteina-309317dc3a22e7b5a110,proteina-26c939c3844a473025fc,0.4085347209456288,0.6,True
proteina-309317dc3a22e7b5a110,proteina-c457e835def6f6fc935b,0.3626972598114259,0.55,True
proteina-309317dc3a22e7b5a110,proteina-44f4b47fa49d16f3c054,0.29616203362979543,0.462,True
proteina-309317dc3a22e7b5a110,proteina-89fed22ee31e0dc43595,0.33465553412293825,0.534,True
proteina-309317dc3a22e7b5a110,proteina-5a34cf0fdcc78403b013,0.30967463945392254,0.488,True
proteina-309317dc3a22e7b5a110,proteina-de9fe9e79ce67dcba3a3,0.31085269159882517,0.494,True
proteina-309317dc3a22e7b5a110,proteina-6ab6b0e0929e9cb46455,0.28074444339998134,0.452,False
proteina-309317dc3a22e7b5a110,proteina-e5bedecc226297c42eac,0.317327764803982,0.54,True
proteina-309317dc3a22e7b5a110,proteina-fd44bbe00fdfb892760f,0.29947176924791685,0.474,True
proteina-309317dc3a22e7b5a110,proteina-ac0e9daf76155935447a,0.3124437038584813,0.51,True
proteina-309317dc3a22e7b5a110,proteina-423dc38e28a8050bca73,0.31647643412508614,0.504,True
proteina-309317dc3a22e7b5a110,proteina-348023f8048e37595ed6,0.39855680305983454,0.53,True
proteina-309317dc3a22e7b5a110,proteina-c61d33bba310360f09a7,0.3498272382962351,0.544,True
proteina-309317dc3a22e7b5a110,proteina-f352457181cf834a50df,0.3836631521216637,0.634,True
proteina-309317dc3a22e7b5a110,proteina-546fe8829dde81c20b29,0.4480349518989918,0.58,True
proteina-309317dc3a22e7b5a110,proteina-e782fd2cd0196181a43f,0.28157719678770726,0.47,True
proteina-309317dc3a22e7b5a110,proteina-0ca7249b83fd854c6f79,0.3319382863396394,0.546,True
proteina-309317dc3a22e7b5a110,proteina-fee245bd3bcb1d0bb1f6,0.3132518030348954,0.5,True
proteina-309317dc3a22e7b5a110,proteina-46acee49cf6ecf79f5c6,0.3648149694040093,0.538,True
proteina-309317dc3a22e7b5a110,proteina-7d89c600ca3e19bcf65b,0.33675014564433614,0.536,True
proteina-309317dc3a22e7b5a110,proteina-338d550b43ef30abe0f4,0.4320501518396464,0.608,True
proteina-309317dc3a22e7b5a110,proteina-234bb31728e410fa1d7f,0.3980196771036728,0.568,True
proteina-309317dc3a22e7b5a110,proteina-bee420d6256e40fd5a3c,0.3329398148268478,0.492,True
proteina-309317dc3a22e7b5a110,proteina-e62fbe14bd513ee62183,0.2900090134271477,0.486,True
proteina-309317dc3a22e7b5a110,proteina-652a5c7e3c5d239de2fc,0.40451286996622154,0.602,True
proteina-309317dc3a22e7b5a110,proteina-cc6903b3afdfed721bab,0.32888554993260305,0.506,True
proteina-309317dc3a22e7b5a110,proteina-cc91dc4f4c01c97040b7,0.3842616978153647,0.586,True
proteina-309317dc3a22e7b5a110,proteina-9d72f9a14fc1842893df,0.33534541903821247,0.526,True
proteina-309317dc3a22e7b5a110,proteina-05f26b5d05e3b4dc0197,0.38179781592070305,0.552,True
proteina-309317dc3a22e7b5a110,proteina-66684435b98eec80a099,0.40158716373758463,0.602,True
proteina-309317dc3a22e7b5a110,proteina-a5d0135bfb458d61b5d3,0.3815168951133567,0.514,True
