query,target,qtmscore,ttmscore,qcov,tcov,evalue,stem,min_tm,reference_split
proteina-01e5425515d9a43ffe5a,A0A8B6GSV2,4.119E-01,4.564E-01,0.935,0.966,4.196E-01,proteina-01e5425515d9a43ffe5a,0.4119,train
proteina-1a173192e6bf801d73ab,A0A7Y5BZ25,8.399E-01,8.181E-01,1.000,0.920,8.224E-01,proteina-1a173192e6bf801d73ab,0.8181,train
proteina-32eae4be1c4b14d9ea3f,A0A7S0MGU6,6.991E-01,7.309E-01,0.970,0.976,6.972E-01,proteina-32eae4be1c4b14d9ea3f,0.6991,train
proteina-c493a48fef5bd63bbc4f,S3EDB9,5.438E-01,5.303E-01,0.962,0.951,5.150E-01,proteina-c493a48fef5bd63bbc4f,0.5303,train
proteina-a0914e0b41cb5ac4f4aa,A0A818JBZ5,7.633E-01,8.324E-01,0.957,0.984,7.853E-01,proteina-a0914e0b41cb5ac4f4aa,0.7633,train
proteina-238b8d4270af77b6809f,A0A822W7R8,5.340E-01,5.247E-01,0.870,0.755,5.131E-01,proteina-238b8d4270af77b6809f,0.5247,train
proteina-4f0755244b91b6c812e5,A0A385C243,4.722E-01,5.025E-01,0.983,0.957,4.621E-01,proteina-4f0755244b91b6c812e5,0.4722,train
proteina-ee5e068cedbb092dda93,E1VNJ2,5.320E-01,5.157E-01,0.783,0.872,5.048E-01,proteina-ee5e068cedbb092dda93,0.5157,train
proteina-ac7c2a38b4fe24bf3c2d,A0A661P929,6.218E-01,6.244E-01,0.960,0.955,5.927E-01,proteina-ac7c2a38b4fe24bf3c2d,0.6218,train
proteina-8f42a829b267e412dcca,A0A7K2EFD0,5.783E-01,6.584E-01,0.915,0.954,6.064E-01,proteina-8f42a829b267e412dcca,0.5783,train
proteina-2d96e4b3eff1a863efe5,A0A2E0ZBW8,6.867E-01,6.851E-01,0.800,0.830,6.720E-01,proteina-2d96e4b3eff1a863efe5,0.6851,train
proteina-773ad18c03244a9b1426,A0A0C3RKF4,7.959E-01,8.015E-01,1.000,0.952,7.854E-01,proteina-773ad18c03244a9b1426,0.7959,train
proteina-6af9f6e63d102f1ef475,A0A7C3QRD2,8.362E-01,8.194E-01,0.973,0.946,8.094E-01,proteina-6af9f6e63d102f1ef475,0.8194,train
proteina-00ae3b6c00ad81120f5e,A0A7C4DAL5,6.336E-01,6.363E-01,1.000,0.967,6.102E-01,proteina-00ae3b6c00ad81120f5e,0.6336,train
proteina-2e9a6488fc825197600f,A0A316FJ60,4.446E-01,5.360E-01,0.798,0.916,4.697E-01,proteina-2e9a6488fc825197600f,0.4446,train
proteina-905cc64a1e3f20222beb,A0A0C1FRX5,7.941E-01,7.978E-01,0.960,1.000,7.786E-01,proteina-905cc64a1e3f20222beb,0.7941,train
