run,entry_id,L,n_gt,n_rollouts,mode,total_gen_tokens,gen_seconds,tokens_per_s,mean_gen_tokens,frac_finished,tpu_type,best_f1,best_recall,mean_prec,mean_rec,mean_f1,max_rec,max_f1,mean_long_rec
nsample_tp1,AF-A0A090VCC4-F1,146,104,1000,nsample,285541,102.911,2774.7,285.5,1.0,v5p-8,0.253968253968254,0.23076923076923078,0.1046784695018385,0.09463461538461539,0.09897501364599634,0.23076923076923078,0.253968253968254,0.0549375
nsample_tp1,AF-A0A1M4JLL1-F1,178,128,1000,nsample,292918,24.557,11927.9,292.9,1.0,v5p-8,0.22727272727272727,0.1953125,0.09090769580463479,0.067484375,0.0764457173033541,0.1953125,0.22727272727272727,0.04186666666666666
nsample_tp1,AF-A0A2T0FR61-F1,218,117,1000,nsample,296485,34.692,8546.2,296.5,1.0,v5p-8,0.375,0.358974358974359,0.1183824804793953,0.09969230769230769,0.10780660645878976,0.358974358974359,0.375,0.090828125
nsample_tp1,AF-A0A357KNS8-F1,78,11,1000,nsample,44701,6.793,6580.8,44.7,1.0,v5p-8,0.8181818181818182,0.8181818181818182,0.5266240120116736,0.6421818181818183,0.5687161029765528,0.8181818181818182,0.8181818181818182,
nsample_tp1,AF-A0A420M9X4-F1,510,462,1000,nsample,618613,49.41,12520.0,618.6,1.0,v5p-8,0.193006993006993,0.14935064935064934,0.12800254303623826,0.056679653679653684,0.07810247607173539,0.14935064935064934,0.193006993006993,0.037797250859106526
nsample_tp1,AF-A0A4Q3R0A2-F1,120,66,1000,nsample,164044,16.492,9947.2,164.0,1.0,v5p-8,0.380952380952381,0.36363636363636365,0.12427735833851573,0.09657575757575756,0.1055874706867171,0.36363636363636365,0.380952380952381,0.04788235294117647
nsample_tp1,AF-A0A6V8MMB0-F1,99,23,1000,nsample,95860,11.097,8638.6,95.9,1.0,v5p-8,0.22727272727272724,0.30434782608695654,0.029739967312745412,0.040565217391304344,0.033593259333806295,0.30434782608695654,0.22727272727272724,0.028300000000000002
nsample_tp1,AF-A0A7C6NNS0-F1,30,8,1000,nsample,20083,2.955,6795.9,20.1,1.0,v5p-8,0.8421052631578948,1.0,0.18972527056277055,0.156625,0.16412206101021218,1.0,0.8421052631578948,
nsample_tp1,AF-A0A7U6QNM8-F1,273,273,1000,nsample,541981,42.964,12614.8,542.0,1.0,v5p-8,0.34583333333333327,0.304029304029304,0.2528742694705523,0.16594505494505496,0.19881611482219919,0.304029304029304,0.34583333333333327,0.15743809523809524
nsample_tp1,AF-A0A7V5SJC4-F1,353,276,1000,nsample,485443,40.587,11960.6,485.4,1.0,v5p-8,0.1782608695652174,0.15217391304347827,0.07799032183891585,0.04552898550724638,0.05680464323854161,0.15217391304347827,0.1782608695652174,0.028130653266331657
