stem,n_residues,n_pairs,elapsed_seconds,model_load_seconds,batch_size,model_nickname,gpu_name,gpu_total_memory_gb,gpu_compute_capability,runner_tag,hostname,platform,torch_version,timestamp_utc,provenance_path
5sbj_A,30,435,51.672,58.27,128,1.5B,,,,iris,t1v-n-c502d563-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:29:46Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/5sbj_A/provenance.json
7pv5_A,81,3240,27.669,58.27,128,1.5B,,,,iris,t1v-n-c502d563-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:30:14Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7pv5_A/provenance.json
7qp5_A,245,29890,143.551,58.27,128,1.5B,,,,iris,t1v-n-c502d563-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:32:38Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7qp5_A/provenance.json
7qsj_A,373,69378,299.119,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:49:34Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7qsj_A/provenance.json
7t9r_A,38,703,1.773,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:49:38Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7t9r_A/provenance.json
7tjb_A,227,25651,98.665,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:51:41Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7tjb_A/provenance.json
7tlh_A,136,9180,24.23,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:50:02Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7tlh_A/provenance.json
7uba_A,213,22578,76.689,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:52:58Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7uba_A/provenance.json
7uk8_A,394,77421,212.212,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:56:31Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7uk8_A/provenance.json
7ur2_A,195,18915,64.624,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:57:37Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7ur2_A/provenance.json
7ur7_A,70,2415,8.119,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:57:46Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7ur7_A/provenance.json
7urp_A,160,12720,46.052,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:58:32Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7urp_A/provenance.json
7uvg_A,183,16653,52.424,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T21:59:25Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7uvg_A/provenance.json
7uww_A,635,201295,622.162,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:09:48Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7uww_A/provenance.json
7v3o_A,328,53628,132.656,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:12:04Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7v3o_A/provenance.json
7w15_A,302,45451,88.899,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:13:35Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7w15_A/provenance.json
7wz5_A,161,12880,39.661,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:19:03Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7wz5_A/provenance.json
7wzm_A,492,120786,489.136,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:27:13Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7wzm_A/provenance.json
7x3h_A,290,41905,80.452,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:30:21Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7x3h_A/provenance.json
7x4p_A,307,46971,104.517,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:29:00Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7x4p_A/provenance.json
7x8l_A,514,131841,257.004,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:34:40Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7x8l_A/provenance.json
7xcd_A,178,15753,49.819,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:35:32Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7xcd_A/provenance.json
7xg9_A,288,41328,79.693,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:36:52Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7xg9_A/provenance.json
7xi5_A,65,2080,4.73,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:36:58Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7xi5_A/provenance.json
7xjr_A,337,56616,157.241,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:49:28Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7xjr_A/provenance.json
7xlz_A,266,35245,60.341,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-23T00:35:51Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7xlz_A/provenance.json
7xp9_A,84,3486,8.37,66.117,128,1.5B,,,,iris,t1v-n-237eddda-w-0,Linux-5.19.0-1027-gcp-x86_64-with-glibc2.41,2.10.0+cpu,2026-05-22T22:37:06Z,/home/bizon/git/test/MarinFold/experiments/exp26_evals_marinfold_1_5b_foldbench/outputs/7xp9_A/provenance.json
