pair_id,fold1,fold2,tier,seq_class,L,n_a,n_b,n_a_fs,n_b_fs,jaccard,recall_a,recall_b,phi,phi_seed_sd,phi_fs,prefers,contacts_per_rollout,frac_finished,budget_capped,fold1_R_all,fold1_R_long,fold1_AUC_all,fold2_R_all,fold2_R_long,fold2_AUC_all,R_all_margin
2lela_2k0qa,2lelA,2k0qA,C,identical,74,30,29,22,14,0.3444,0.1233,0.3204,-0.1971,0.0091,-0.1961,fold2,68.7,1.0,False,0.4852,0.3143,0.8365,0.64,0.419,0.9546,-0.1548
4zrbc_4zrbh,4zrbC,4zrbH,A,identical,126,10,19,3,12,0.7661,0.2542,0.4161,-0.1619,0.0219,-0.2773,fold2,112.0,1.0,False,0.7695,0.7583,0.9907,0.786,0.7692,0.995,-0.0165
2hdma_2n54b,2hdmA,2n54B,C,homolog,75,29,28,10,7,0.0806,0.1268,0.2072,-0.0804,0.0197,0.0189,fold2,44.1,1.0,False,0.1824,0.1867,0.8846,0.3636,0.0167,0.8733,-0.1812
4y0mj_4xwsd,4y0mJ,4xwsD,B,identical,209,32,41,13,16,0.6456,0.3669,0.4307,-0.0639,0.0077,0.0469,fold2,178.2,1.0,False,0.697,0.6821,0.994,0.723,0.7323,0.9926,-0.026
2vfxl_3gmhl,2vfxL,3gmhL,B,identical,203,112,97,70,53,0.2793,0.0302,0.0452,-0.015,0.0018,-0.0144,fold2,167.4,1.0,False,0.1627,0.1041,0.7005,0.1921,0.1305,0.755,-0.0294
3zwgn_4tsyd,3zwgN,4tsyD,B,identical,178,46,28,14,0,0.674,0.018,0.0266,-0.0087,0.0029,,fold2,151.0,1.0,False,0.1568,0.1025,0.8002,0.1669,0.114,0.8369,-0.0101
4jphb_5hk5h,4jphB,5hk5H,B,identical,119,32,16,14,4,0.6,0.0356,0.0364,-0.0008,0.0042,0.0111,fold2,91.0,1.0,False,0.1962,0.2185,0.8064,0.2114,0.2444,0.8246,-0.0152
4j3of_2jmra,4j3oF,2jmrA,C,identical,179,35,53,7,6,0.4014,0.2826,0.2802,0.0024,0.0093,-0.0948,fold1,120.1,1.0,False,0.6149,0.6133,0.973,0.6375,0.6378,0.9697,-0.0226
4rmbb_4rmba,4rmbB,4rmbA,A,identical,155,18,18,2,2,0.7313,0.107,0.091,0.016,0.0072,-0.05,fold1,131.5,1.0,False,0.3207,0.2764,0.8738,0.3259,0.2814,0.8694,-0.0052
1nqda_1nqjb,1nqdA,1nqjB,B,identical,115,40,17,25,9,0.6225,0.2546,0.2361,0.0185,0.0158,0.121,fold1,125.1,1.0,False,0.6985,0.775,0.9873,0.7261,0.7576,0.9721,-0.0276
4dxra_4dxta,4dxrA,4dxtA,B,identical,198,25,33,7,4,0.7114,0.1828,0.151,0.0318,0.0083,0.0546,fold1,168.0,1.0,False,0.5631,0.5683,0.9582,0.533,0.5137,0.949,0.0301
3jv6a_1zk9a,3jv6A,1zk9A,B,identical,110,58,10,28,6,0.299,0.3426,0.234,0.1086,0.0116,-0.0168,fold1,100.4,1.0,False,0.6023,0.6077,0.9788,0.3897,0.0769,0.9739,0.2126
3m1bf_3lowa,3m1bF,3lowA,B,identical,100,76,10,74,8,0.2456,0.3975,0.2764,0.1211,0.013,0.1258,fold1,106.7,1.0,False,0.5981,0.5942,0.9732,0.3789,0.0,0.9708,0.2192
3qy2a_1qb3a,3qy2A,1qb3A,B,identical,118,46,13,26,0,0.5042,0.1965,0.0511,0.1454,0.0122,,fold1,97.1,1.0,False,0.4377,0.45,0.8908,0.2,0.1333,0.8307,0.2377
4pyia_4pyja,4pyiA,4pyjA,B,identical,208,61,38,40,19,0.604,0.2391,0.0916,0.1475,0.0176,0.223,fold1,203.6,1.0,False,0.6481,0.6654,0.9878,0.6011,0.5874,0.9531,0.047
2k42a_1ceeb,2k42A,1ceeB,C,homolog,81,16,10,10,8,0.1333,0.2974,0.1228,0.1746,0.0098,0.1361,fold1,20.0,1.0,False,0.56,0.2,0.97,0.3286,,0.9322,0.2314
4qhfa_4qhha,4qhfA,4qhhA,B,identical,109,62,26,27,15,0.296,0.4086,0.1928,0.2158,0.009,0.3565,fold1,101.0,1.0,False,0.7091,0.7069,0.9882,0.5714,0.575,0.9188,0.1377
5flue_2uy7d,5fluE,2uy7D,C,identical,163,49,45,9,12,0.4013,0.4574,0.2211,0.2363,0.0114,0.1447,fold1,120.1,1.0,False,0.7446,0.7271,0.9912,0.5926,0.5333,0.9562,0.152
1xnta_3lqca,1xntA,3lqcA,C,identical,152,88,68,26,26,0.3036,0.3853,0.0823,0.303,0.012,0.5515,fold1,147.3,1.0,False,0.6038,0.6265,0.9733,0.3412,0.356,0.8661,0.2626
1xjta_1xjub,1xjtA,1xjuB,B,identical,178,25,39,20,19,0.5586,0.5982,0.2767,0.3214,0.0098,0.6463,fold1,130.6,1.0,False,0.6038,0.68,0.9921,0.505,0.5756,0.9293,0.0988
1nrjb_2gedb,1nrjB,2gedB,B,identical,191,49,37,31,14,0.5326,0.6083,0.2365,0.3718,0.0122,0.7653,fold1,159.5,1.0,False,0.6,0.6259,0.9785,0.4681,0.5134,0.9253,0.1319
6c6sd_2ougc,6c6sD,2ougC,C,identical,161,61,58,29,40,0.2609,0.4968,0.1098,0.3871,0.0025,0.4644,fold1,110.7,1.0,False,0.7204,0.67,0.9775,0.448,0.4435,0.8122,0.2724
5jyta_2qkee,5jytA,2qkeE,C,homolog,106,54,46,41,39,0.1304,0.5578,0.0841,0.4737,0.0138,0.5397,fold1,79.4,1.0,False,0.7652,0.7867,0.9949,0.2754,0.2913,0.7634,0.4898
3hdea_3hdfa,3hdeA,3hdfA,B,identical,165,64,51,25,22,0.2857,0.6323,0.142,0.4903,0.0134,0.6959,fold1,107.4,1.0,False,0.82,0.7843,0.9933,0.4433,0.2905,0.9018,0.3767
4gqcc_4gqcb,4gqcC,4gqcB,A,identical,161,49,29,34,23,0.5714,0.6911,0.1281,0.563,0.0141,0.6674,fold1,159.6,1.0,False,0.834,0.8531,0.9988,0.6376,0.6067,0.9519,0.1964
1uxmk_2nama,1uxmK,2namA,C,identical,153,105,22,105,22,0.0078,0.602,0.0335,0.5685,0.0082,0.5685,fold1,123.8,1.0,False,0.7132,0.7281,0.9865,0.0,,0.6872,0.7132
2frha_1fzpd,2frhA,1fzpD,B,identical,127,66,47,63,46,0.0174,0.6008,0.015,0.5859,0.0085,0.6131,fold1,73.7,1.0,False,0.6206,0.5949,0.9741,0.0,0.0,0.5135,0.6206
