stem,length,n_seqs,neff,neff_per_L,neff_per_sqrtL,theta
4uos_A,188,3,1.0,0.005319,0.0729,0.8
4yxx_A,208,3,1.0,0.004808,0.0693,0.8
5cwc_A,196,3,1.0,0.005102,0.0714,0.8
5cwd_A,171,3,1.0,0.005848,0.0765,0.8
5cwi_A,233,2,1.0,0.004292,0.0655,0.8
5cwq_A,233,3,1.0,0.004292,0.0655,0.8
6mrr_A,68,3,1.0,0.014706,0.1213,0.8
6n9h_A,75,3,1.0,0.013333,0.1155,0.8
6naf_A,74,3,1.0,0.013514,0.1162,0.8
7ah0_A,104,3,1.0,0.009615,0.0981,0.8
7dgu_A,97,3,1.0,0.010309,0.1015,0.8
7dgw_A,94,3,1.0,0.010638,0.1031,0.8
7dgy_A,99,3,1.0,0.010101,0.1005,0.8
7kuw_A,62,3,1.0,0.016129,0.127,0.8
7sq4_A,48,8,1.0,0.020833,0.1443,0.8
7sq5_A,140,4,1.0,0.007143,0.0845,0.8
7tjl_A,85,3,1.0,0.011765,0.1085,0.8
7udo_A,172,2,1.0,0.005814,0.0762,0.8
7ur7_A,63,2,1.0,0.015873,0.126,0.8
8a3k_UNK,127,2,1.0,0.007874,0.0887,0.8
8bcs_A,49,2,1.0,0.020408,0.1429,0.8
8d03_A,65,3,1.0,0.015385,0.124,0.8
8d05_A,60,3,1.0,0.016667,0.1291,0.8
8eov_A,139,2,1.0,0.007194,0.0848,0.8
8eoz_B,227,2,1.0,0.004405,0.0664,0.8
8etq_A,277,2,1.0,0.00361,0.0601,0.8
8fjf_A,127,2,1.0,0.007874,0.0887,0.8
8fjg_A,104,2,1.0,0.009615,0.0981,0.8
8g9j_A,201,2,1.0,0.004975,0.0705,0.8
8gl3_A,189,2,1.0,0.005291,0.0727,0.8
8ju8_A,139,2,1.0,0.007194,0.0848,0.8
8jvx_B,39,2,1.0,0.025641,0.1601,0.8
8k7z_A,172,2,1.0,0.005814,0.0762,0.8
8k8f_A,179,2,1.0,0.005587,0.0747,0.8
8k8g_A,209,2,1.0,0.004785,0.0692,0.8
8k8i_A,211,2,1.0,0.004739,0.0688,0.8
8ka7_A,115,2,1.0,0.008696,0.0933,0.8
8kc0_A,115,2,1.0,0.008696,0.0933,0.8
8kc1_A,83,2,1.0,0.012048,0.1098,0.8
8kc4_A,151,2,1.0,0.006623,0.0814,0.8
8kcj_A,179,2,1.0,0.005587,0.0747,0.8
8kck_A,206,2,1.0,0.004854,0.0697,0.8
8oys_A,190,2,1.0,0.005263,0.0725,0.8
8oyw_A,178,2,1.0,0.005618,0.075,0.8
8qad_A,145,2,1.0,0.006897,0.083,0.8
8qaf_A,59,2,1.0,0.016949,0.1302,0.8
8qkd_A,281,2,1.0,0.003559,0.0597,0.8
8s89_A,401,2,1.0,0.002494,0.0499,0.8
8tnm_A,136,2,1.0,0.007353,0.0857,0.8
8u1a_A,324,2,1.0,0.003086,0.0556,0.8
8vc8_A,197,2,1.0,0.005076,0.0712,0.8
8vd6_A,174,2,1.0,0.005747,0.0758,0.8
8vei_A,117,2,1.0,0.008547,0.0925,0.8
8vej_B,242,2,1.0,0.004132,0.0643,0.8
8w97_A,135,2,1.0,0.007407,0.0861,0.8
8wwc_C,113,2,1.0,0.00885,0.0941,0.8
8xtn_A,33,4,1.0,0.030303,0.1741,0.8
8yl4_B,207,2,1.0,0.004831,0.0695,0.8
9bk7_A,102,2,1.0,0.009804,0.099,0.8
9d01_A,369,2,1.0,0.00271,0.0521,0.8
9dbu_A,106,2,1.0,0.009434,0.0971,0.8
9dbv_A,107,2,1.0,0.009346,0.0967,0.8
9dbw_A,107,2,1.0,0.009346,0.0967,0.8
9de4_A,106,2,1.0,0.009434,0.0971,0.8
9de9_B,81,2,1.0,0.012346,0.1111,0.8
9dea_A,79,2,1.0,0.012658,0.1125,0.8
9deb_E,83,2,1.0,0.012048,0.1098,0.8
9ded_A,114,2,1.0,0.008772,0.0937,0.8
9deg_A,157,2,1.0,0.006369,0.0798,0.8
9fw5_A,197,2,1.0,0.005076,0.0712,0.8
9fw7_A,199,2,1.0,0.005025,0.0709,0.8
9fwa_A,202,2,1.0,0.00495,0.0704,0.8
9h10_A,208,3,1.0,0.004808,0.0693,0.8
9h4c_A,106,3,1.0,0.009434,0.0971,0.8
9hac_B,127,2,1.0,0.007874,0.0887,0.8
9had_C,108,2,1.0,0.009259,0.0962,0.8
9hnh_A,151,2,1.0,0.006623,0.0814,0.8
9j5h_A,35,2,1.0,0.028571,0.169,0.8
9kgz_A,125,2,1.0,0.008,0.0894,0.8
9lni_A,212,2,1.0,0.004717,0.0687,0.8
9lns_A,64,2,1.0,0.015625,0.125,0.8
9mrb_A,141,2,1.0,0.007092,0.0842,0.8
9qdp_A,206,2,1.0,0.004854,0.0697,0.8
9r1j_A,132,2,1.0,0.007576,0.087,0.8
9r1k_A,126,2,1.0,0.007937,0.0891,0.8
9r1l_A,133,2,1.0,0.007519,0.0867,0.8
9r1m_A,129,2,1.0,0.007752,0.088,0.8
9r1n_A,132,2,1.0,0.007576,0.087,0.8
9r2k_A,177,2,1.0,0.00565,0.0752,0.8
9r7f_A,202,2,1.0,0.00495,0.0704,0.8
9raa_A,208,3,1.0,0.004808,0.0693,0.8
9raq_A,208,3,1.0,0.004808,0.0693,0.8
9rar_A,208,3,1.0,0.004808,0.0693,0.8
9rb0_A,208,3,1.0,0.004808,0.0693,0.8
9rbe_A,208,3,1.0,0.004808,0.0693,0.8
9tas_A,126,3,1.0,0.007937,0.0891,0.8
9ugr_A,181,2,1.0,0.005525,0.0743,0.8
9v3a_A,120,2,1.0,0.008333,0.0913,0.8
9v4l_A,68,2,1.0,0.014706,0.1213,0.8
9vvn_A,167,2,1.0,0.005988,0.0774,0.8
9x1w_A,88,2,1.0,0.011364,0.1066,0.8
9x1x_A,90,2,1.0,0.011111,0.1054,0.8
5cwm_A,226,7,1.1048,0.004888,0.0735,0.8
1uw1_A,67,4,2.0,0.029851,0.2443,0.8
2p05_A,63,4,2.0,0.031746,0.252,0.8
2p09_A,69,4,2.0,0.028986,0.2408,0.8
3dgl_A,69,4,2.0,0.028986,0.2408,0.8
3dgm_A,69,4,2.0,0.028986,0.2408,0.8
3dgn_A,69,4,2.0,0.028986,0.2408,0.8
3dgo_A,69,4,2.0,0.028986,0.2408,0.8
3lt8_A,69,4,2.0,0.028986,0.2408,0.8
3lt9_A,69,4,2.0,0.028986,0.2408,0.8
3lta_A,69,4,2.0,0.028986,0.2408,0.8
3ltb_A,69,4,2.0,0.028986,0.2408,0.8
