mode,stem,seed,sample,ranking_score,status
single_seq,7ur7_A,1,0,0.1669979840517044,ok
single_seq,8ah9_A,5,0,0.18085330724716187,ok
single_seq,8eov_A,5,0,0.17920967936515808,ok
single_seq,8fjf_A,2,0,0.18702684342861176,ok
single_seq,8gac_A,4,0,0.1871691793203354,ok
single_seq,8k7z_A,3,0,0.18811452388763428,ok
single_seq,8k83_A,3,0,0.18662682175636292,ok
single_seq,8k84_A,4,0,0.19008444249629974,ok
single_seq,8kcj_A,2,0,0.18769226968288422,ok
single_seq,8ka7_A,3,0,0.14467190206050873,ok
single_seq,8kac_A,2,0,0.18505753576755524,ok
single_seq,8oyy_A,1,0,0.1895262598991394,ok
single_seq,8qkd_A,1,0,0.1908503621816635,ok
single_seq,8qup_A,3,0,0.18075644969940186,ok
single_seq,8vc8_A,5,0,0.17693167924880981,ok
single_seq,8es6_A,2,0,0.046726856380701065,ok
single_seq,8ev4_A,1,0,0.05944976210594177,ok
single_seq,8ew1_A,2,0,0.052104003727436066,ok
single_seq,8ew9_A,4,0,0.0772918090224266,ok
single_seq,8ey3_A,3,0,0.06903807818889618,ok
single_seq,8ez6_A,2,0,0.09319332242012024,ok
single_seq,8ezw_A,3,0,0.10354901850223541,ok
single_seq,8f8n_A,4,0,0.10099150240421295,ok
single_seq,8f9o_A,4,0,0.06382585316896439,ok
single_seq,8fbc_A,4,0,0.07489152252674103,ok
single_seq,8jjq_A,1,0,0.07084862142801285,ok
single_seq,8fr5_A,1,0,0.09633293002843857,ok
single_seq,8fty_A,3,0,0.1315159946680069,ok
single_seq,8h2f_A,3,0,0.08858728408813477,ok
single_seq,8fz8_A,3,0,0.06861356645822525,ok
single_seq,8fz9_A,4,0,0.0912087932229042,ok
single_seq,8g0n_A,2,0,0.07932762056589127,ok
single_seq,8g1l_A,2,0,0.15911290049552917,ok
single_seq,8g1y_A,2,0,0.06900715082883835,ok
single_seq,8g32_A,1,0,0.054547037929296494,ok
single_seq,8g52_A,2,0,0.13491998612880707,ok
single_seq,8g53_A,3,0,0.10139428824186325,ok
single_seq,8g5u_A,3,0,0.07097639888525009,ok
single_seq,8g64_A,4,0,0.1541498601436615,ok
single_seq,8gdl_A,3,0,0.0816200003027916,ok
single_seq,8gj9_A,2,0,0.18322674930095673,ok
single_seq,8gjw_A,3,0,0.05677305534482002,ok
single_seq,8gjy_A,4,0,0.05714485049247742,ok
single_seq,8gkd_A,4,0,0.12277823686599731,ok
single_seq,8gok_A,2,0,0.08310991525650024,ok
single_seq,8gr7_A,1,0,0.0855080634355545,ok
single_seq,8gqq_A,2,0,0.1670103818178177,ok
single_seq,8gtz_A,1,0,0.08827196806669235,ok
