dataset,stem,subset,eval_set,L,msa_depth,msa_neff,msa_volume,is_viral,kingdom,designed
cameo_hard,8jvx_B,nonfoldbench_designed,,39,1.0,1.0,exp74,,,True
cameo_hard,8raj_A,nonfoldbench_natural,,62,4.0,3.0,exp74,,,False
cameo_hard,8s89_A,nonfoldbench_designed,,401,1.0,1.0,exp74,,,True
cameo_hard,8u1a_A,nonfoldbench_designed,,324,1.0,1.0,exp74,,,True
cameo_hard,8vd6_A,nonfoldbench_designed,,174,1.0,1.0,exp74,,,True
cameo_hard,8vej_B,nonfoldbench_designed,,242,1.0,1.0,exp74,,,True
cameo_hard,8wwc_C,nonfoldbench_designed,,113,1.0,1.0,exp74,,,True
cameo_hard,8xtn_A,nonfoldbench_natural,,33,3.0,1.0,exp74,,,False
cameo_hard,8yl4_B,nonfoldbench_designed,,207,1.0,1.0,exp74,,,True
cameo_hard,9de9_B,nonfoldbench_designed,,81,1.0,1.0,exp74,,,True
cameo_hard,9deb_E,nonfoldbench_designed,,83,1.0,1.0,exp74,,,True
cameo_hard,9deg_A,nonfoldbench_designed,,157,1.0,1.0,exp74,,,True
cameo_hard,9hac_B,nonfoldbench_designed,,127,1.0,1.0,exp74,,,True
cameo_hard,9had_C,nonfoldbench_designed,,108,1.0,1.0,exp74,,,True
cameo_hard,9j46_F,nonfoldbench_natural,,124,9.0,5.0,exp74,,,False
cameo_hard,9j5h_A,nonfoldbench_designed,,35,1.0,1.0,exp74,,,True
casp_fm,T1043-D1,nonfoldbench_natural,,148,5.0,2.0,exp74,,,False
casp_fm,T1113-D1,nonfoldbench_natural,,167,5.0,4.0,exp74,,,False
casp_fm,T1122-D1,nonfoldbench_natural,,230,2.0,1.0,exp74,,,False
casp_fm,T1123-D1,nonfoldbench_natural,,214,8.0,3.0,exp74,,,False
casp_fm,T1125-D1,nonfoldbench_natural,,134,2.0,1.0,exp74,,,False
casp_fm,T1125-D2,nonfoldbench_natural,,148,5.0,2.0,exp74,,,False
casp_fm,T1125-D4,nonfoldbench_natural,,141,2.0,1.0,exp74,,,False
casp_fm,T1125-D5,nonfoldbench_natural,,150,5.0,2.0,exp74,,,False
foldbench_monomer,5sbj_A,foldbench_designed,eval-denovo,30,1.0,1.0,foldbench,0.0,synthetic,True
foldbench_monomer,7ur7_A,foldbench_designed,eval-denovo,70,1.0,1.0,foldbench,0.0,synthetic,True
foldbench_monomer,8ah9_A,foldbench_designed,eval-denovo,120,7.0,4.416666666666667,foldbench,0.0,synthetic,True
foldbench_monomer,8eov_A,foldbench_designed,eval-denovo,146,1.0,1.0,foldbench,0.0,synthetic,True
foldbench_monomer,8fjf_A,foldbench_designed,eval-denovo,134,1.0,1.0,foldbench,0.0,synthetic,True
foldbench_monomer,8gac_A,foldbench_designed,eval-denovo,106,1.0,1.0,foldbench,0.0,synthetic,True
foldbench_monomer,8ii8_A,foldbench_natural,eval-test,226,2.0,1.0,foldbench,0.0,eukaryote,False
foldbench_monomer,8k7z_A,foldbench_designed,eval-denovo,180,1.0,1.0,foldbench,0.0,synthetic,True
foldbench_monomer,8k83_A,foldbench_designed,eval-denovo,181,1.0,1.0,foldbench,0.0,synthetic,True
foldbench_monomer,8ka7_A,foldbench_designed,eval-denovo,124,1.0,1.0,foldbench,0.0,synthetic,True
foldbench_monomer,8kcj_A,foldbench_designed,eval-denovo,181,1.0,1.0,foldbench,0.0,synthetic,True
foldbench_monomer,8oxk_A,foldbench_natural,eval-test,99,5.0,4.0,foldbench,0.0,eukaryote,False
foldbench_monomer,8oyy_A,foldbench_designed,eval-denovo,242,1.0,1.0,foldbench,0.0,synthetic,True
foldbench_monomer,8qkd_A,foldbench_designed,eval-denovo,284,1.0,1.0,foldbench,0.0,synthetic,True
foldbench_monomer,8qoh_A,foldbench_natural,eval-test,278,2.0,2.0,foldbench,0.0,eukaryote,False
foldbench_monomer,8ux2_A,foldbench_natural,eval-test,246,5.0,2.0,foldbench,0.0,bacteria,False
foldbench_monomer,8vc8_A,foldbench_designed,eval-denovo,204,1.0,1.0,foldbench,0.0,synthetic,True
foldbench_monomer,8wrx_A,foldbench_natural,eval-test,88,3.0,2.0,foldbench,1.0,virus,False
