stem,eval_set,designed,is_viral,L,msa_query_length,msa_depth,tier
5sbj_A,eval-denovo,1,0,30,30,2,<10
7ur7_A,eval-denovo,1,0,70,63,2,<10
8ah9_A,eval-denovo,1,0,120,115,8,<10
8eov_A,eval-denovo,1,0,146,139,2,<10
8fjf_A,eval-denovo,1,0,134,127,2,<10
8gac_A,eval-denovo,1,0,106,103,2,<10
8ju8_A,eval-denovo,1,0,139,139,2,<10
8k7o_A,eval-denovo,1,0,233,233,64,10–99
8k7z_A,eval-denovo,1,0,180,172,2,<10
8k83_A,eval-denovo,1,0,181,174,2,<10
8k84_A,eval-denovo,1,0,177,173,201,100–999
8kcj_A,eval-denovo,1,0,181,179,2,<10
8ka7_A,eval-denovo,1,0,124,115,2,<10
8kac_A,eval-denovo,1,0,129,121,351,100–999
8oys_A,eval-denovo,1,0,190,190,2,<10
8oyy_A,eval-denovo,1,0,242,233,2,<10
8qkd_A,eval-denovo,1,0,284,281,2,<10
8qup_A,eval-denovo,1,0,124,114,188,100–999
8vc8_A,eval-denovo,1,0,204,197,2,<10
8es6_A,eval-test,0,0,488,430,12485,≥1000
8ev4_A,eval-test,0,0,125,115,14661,≥1000
8ew1_A,eval-test,0,0,267,264,3961,≥1000
8ew9_A,eval-test,0,0,248,241,255,100–999
8ey3_A,eval-test,0,0,65,60,5066,≥1000
8ez6_A,eval-test,0,0,72,65,3128,≥1000
8ezw_A,eval-test,0,0,160,132,4248,≥1000
8f8n_A,eval-test,0,0,220,148,657,100–999
8f9o_A,eval-test,0,0,496,487,11347,≥1000
8fbc_A,eval-test,0,0,395,393,10030,≥1000
8jjq_A,eval-test,0,0,331,321,2953,≥1000
8fib_A,eval-test,0,0,441,418,12207,≥1000
8fr5_A,eval-test,0,1,97,92,122,100–999
8fty_A,eval-test,0,0,509,483,6774,≥1000
8h2f_A,eval-test,0,0,180,172,8455,≥1000
8fz8_A,eval-test,0,0,405,390,11212,≥1000
8fz9_A,eval-test,0,0,138,136,1192,≥1000
8g0n_A,eval-test,0,0,247,242,3098,≥1000
8g1l_A,eval-test,0,0,252,252,440,100–999
8g1y_A,eval-test,0,0,497,496,15247,≥1000
8g32_A,eval-test,0,0,362,327,1082,≥1000
8g52_A,eval-test,0,0,329,279,1325,≥1000
8g53_A,eval-test,0,0,218,184,598,100–999
8g5u_A,eval-test,0,0,489,481,6140,≥1000
8g64_A,eval-test,0,0,172,169,2729,≥1000
8gbe_A,eval-test,0,1,207,205,104,100–999
8gdl_A,eval-test,0,0,361,355,159,100–999
8gj9_A,eval-test,0,0,65,62,912,100–999
8gjw_A,eval-test,0,0,355,346,154,100–999
8gjy_A,eval-test,0,0,376,344,2514,≥1000
8gkd_A,eval-test,0,0,358,353,619,100–999
8gok_A,eval-test,0,0,273,273,51,10–99
8gr7_A,eval-test,0,0,343,326,2661,≥1000
8gsy_A,eval-test,0,0,144,126,165,100–999
8gqq_A,eval-test,0,0,99,99,4081,≥1000
8gtz_A,eval-test,0,0,483,462,7510,≥1000
8q79_A,eval-test,0,0,236,215,663,100–999
