source,stem,pdb_id,chain,length,resolution,deposit_date,category,novelty_axis,local_path
denovo_pdb,1mj0_A,1mj0,A,156,2.03,2002-08-26,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/1mj0.cif
denovo_pdb,1qys_A,1qys,A,92,2.50,2003-09-11,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/1qys.cif
denovo_pdb,1uw1_A,1uw1,A,67,1.94,2004-01-28,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/1uw1.cif
denovo_pdb,2avp_A,2avp,A,68,2.04,2005-08-30,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2avp.cif
denovo_pdb,2fkg_A,2fkg,A,315,2.40,2006-01-04,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2fkg.cif
denovo_pdb,2fo7_A,2fo7,A,136,2.30,2006-01-12,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2fo7.cif
denovo_pdb,2hkd_A,2hkd,A,315,1.60,2006-07-03,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2hkd.cif
denovo_pdb,2hyz_A,2hyz,A,136,2.30,2006-08-08,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2hyz.cif
denovo_pdb,2i5v_O,2i5v,O,246,1.10,2006-08-25,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2i5v.cif
denovo_pdb,2i5z_O,2i5z,O,246,1.20,2006-08-26,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2i5z.cif
denovo_pdb,2p05_A,2p05,A,63,2.80,2007-02-28,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2p05.cif
denovo_pdb,2p09_A,2p09,A,69,1.65,2007-02-28,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2p09.cif
denovo_pdb,2qyj_A,2qyj,A,154,2.05,2007-08-15,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2qyj.cif
denovo_pdb,2wqh_A,2wqh,A,104,2.20,2009-08-21,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2wqh.cif
denovo_pdb,2xen_A,2xen,A,91,2.20,2010-05-17,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2xen.cif
denovo_pdb,2zgd_A,2zgd,A,97,1.90,2008-01-21,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2zgd.cif
denovo_pdb,2zgg_A,2zgg,A,88,2.00,2008-01-21,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/2zgg.cif
denovo_pdb,3dgl_A,3dgl,A,69,1.80,2008-06-13,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3dgl.cif
denovo_pdb,3dgm_A,3dgm,A,69,2.40,2008-06-13,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3dgm.cif
denovo_pdb,3dgn_A,3dgn,A,69,2.70,2008-06-13,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3dgn.cif
denovo_pdb,3dgo_A,3dgo,A,69,2.50,2008-06-13,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3dgo.cif
denovo_pdb,3lt8_A,3lt8,A,69,2.55,2010-02-15,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3lt8.cif
denovo_pdb,3lt9_A,3lt9,A,69,2.55,2010-02-15,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3lt9.cif
denovo_pdb,3lta_A,3lta,A,69,2.70,2010-02-15,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3lta.cif
denovo_pdb,3ltb_A,3ltb,A,69,2.60,2010-02-15,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3ltb.cif
denovo_pdb,3ltc_A,3ltc,A,69,2.00,2010-02-15,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3ltc.cif
denovo_pdb,3ltd_A,3ltd,A,69,2.80,2010-02-15,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3ltd.cif
denovo_pdb,3o49_A,3o49,A,123,1.45,2010-07-26,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3o49.cif
denovo_pdb,3o4b_A,3o4b,A,123,1.80,2010-07-26,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3o4b.cif
denovo_pdb,3o4c_A,3o4c,A,124,1.75,2010-07-26,DE NOVO PROTEIN,designed: no evolutionary homologs (Neff~=1); often novel fold,structures/denovo/3o4c.cif
