method,target,n_candidates,native_rank,native_rank_percentile,native_reciprocal_rank,native_top1,native_vs_decoy_auroc
Helico pTM,1aaj,25,7.0,0.75,0.14285714285714285,0,0.75
Helico pTM,1hz6,25,7.0,0.75,0.14285714285714285,0,0.75
Helico pTM,1kaf,25,1.0,1.0,1.0,1,1.0
Helico pTM,1su9,25,1.0,1.0,1.0,1,1.0
Helico pTM,1uow,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
Helico pTM,1z2u,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
Helico pTM,2i4a,25,1.0,1.0,1.0,1,1.0
Helico pTM,2ic6,25,4.0,0.875,0.25,0,0.875
Helico pTM,2igd,25,4.0,0.875,0.25,0,0.875
Helico mean-sample pTM,1aaj,25,7.0,0.75,0.14285714285714285,0,0.75
Helico mean-sample pTM,1hz6,25,7.0,0.75,0.14285714285714285,0,0.75
Helico mean-sample pTM,1kaf,25,1.0,1.0,1.0,1,1.0
Helico mean-sample pTM,1su9,25,1.0,1.0,1.0,1,1.0
Helico mean-sample pTM,1uow,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
Helico mean-sample pTM,1z2u,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
Helico mean-sample pTM,2i4a,25,1.0,1.0,1.0,1,1.0
Helico mean-sample pTM,2ic6,25,4.0,0.875,0.25,0,0.875
Helico mean-sample pTM,2igd,25,3.0,0.9166666666666666,0.3333333333333333,0,0.9166666666666666
Helico mean CA pLDDT,1aaj,25,8.0,0.7083333333333334,0.125,0,0.7083333333333334
Helico mean CA pLDDT,1hz6,25,3.0,0.9166666666666666,0.3333333333333333,0,0.9166666666666666
Helico mean CA pLDDT,1kaf,25,1.0,1.0,1.0,1,1.0
Helico mean CA pLDDT,1su9,25,1.0,1.0,1.0,1,1.0
Helico mean CA pLDDT,1uow,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
Helico mean CA pLDDT,1z2u,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
Helico mean CA pLDDT,2i4a,25,1.0,1.0,1.0,1,1.0
Helico mean CA pLDDT,2ic6,25,4.0,0.875,0.25,0,0.875
Helico mean CA pLDDT,2igd,25,3.0,0.9166666666666666,0.3333333333333333,0,0.9166666666666666
Helico composite,1aaj,25,1.0,1.0,1.0,1,1.0
Helico composite,1hz6,25,1.0,1.0,1.0,1,1.0
Helico composite,1kaf,25,1.0,1.0,1.0,1,1.0
Helico composite,1su9,25,1.0,1.0,1.0,1,1.0
Helico composite,1uow,25,1.0,1.0,1.0,1,1.0
Helico composite,1z2u,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
Helico composite,2i4a,25,1.0,1.0,1.0,1,1.0
Helico composite,2ic6,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
Helico composite,2igd,25,1.0,1.0,1.0,1,1.0
AF2Rank composite,1aaj,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
AF2Rank composite,1hz6,25,1.0,1.0,1.0,1,1.0
AF2Rank composite,1kaf,25,1.0,1.0,1.0,1,1.0
AF2Rank composite,1su9,25,1.0,1.0,1.0,1,1.0
AF2Rank composite,1uow,25,1.0,1.0,1.0,1,1.0
AF2Rank composite,1z2u,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
AF2Rank composite,2i4a,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
AF2Rank composite,2ic6,25,1.0,1.0,1.0,1,1.0
AF2Rank composite,2igd,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
AF2 pTM,1aaj,25,4.0,0.875,0.25,0,0.875
AF2 pTM,1hz6,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
AF2 pTM,1kaf,25,1.0,1.0,1.0,1,1.0
AF2 pTM,1su9,25,1.0,1.0,1.0,1,1.0
AF2 pTM,1uow,25,1.0,1.0,1.0,1,1.0
AF2 pTM,1z2u,25,5.0,0.8333333333333334,0.2,0,0.8333333333333334
AF2 pTM,2i4a,25,2.0,0.9583333333333334,0.5,0,0.9583333333333334
AF2 pTM,2ic6,25,4.0,0.875,0.25,0,0.875
AF2 pTM,2igd,25,6.0,0.7916666666666666,0.16666666666666666,0,0.7916666666666666
