range,cut,n_candidate,n_true,value,dataset,stem,eval_set,L
all,L,198150,792,0.3438914027149321,foldbench_monomer,8cjd_A,eval-test,663
all,L/2,198150,792,0.5166163141993958,foldbench_monomer,8cjd_A,eval-test,663
all,L/5,198150,792,0.7803030303030303,foldbench_monomer,8cjd_A,eval-test,663
all,R,198150,792,0.29924242424242425,foldbench_monomer,8cjd_A,eval-test,663
all,AUC,198150,792,0.8559531864157848,foldbench_monomer,8cjd_A,eval-test,663
short,L,3708,93,0.11764705882352941,foldbench_monomer,8cjd_A,eval-test,663
short,L/2,3708,93,0.20241691842900303,foldbench_monomer,8cjd_A,eval-test,663
short,L/5,3708,93,0.32575757575757575,foldbench_monomer,8cjd_A,eval-test,663
short,R,3708,93,0.41935483870967744,foldbench_monomer,8cjd_A,eval-test,663
short,AUC,3708,93,0.9220214458870596,foldbench_monomer,8cjd_A,eval-test,663
medium,L,7206,107,0.12217194570135746,foldbench_monomer,8cjd_A,eval-test,663
medium,L/2,7206,107,0.1903323262839879,foldbench_monomer,8cjd_A,eval-test,663
medium,L/5,7206,107,0.3409090909090909,foldbench_monomer,8cjd_A,eval-test,663
medium,R,7206,107,0.37383177570093457,foldbench_monomer,8cjd_A,eval-test,663
medium,AUC,7206,107,0.9299361631821251,foldbench_monomer,8cjd_A,eval-test,663
long,L,187236,592,0.2383107088989442,foldbench_monomer,8cjd_A,eval-test,663
long,L/2,187236,592,0.38972809667673713,foldbench_monomer,8cjd_A,eval-test,663
long,L/5,187236,592,0.6515151515151515,foldbench_monomer,8cjd_A,eval-test,663
long,R,187236,592,0.26013513513513514,foldbench_monomer,8cjd_A,eval-test,663
long,AUC,187236,592,0.8221810938167007,foldbench_monomer,8cjd_A,eval-test,663
all,L,146099,707,0.7495769881556683,foldbench_monomer,7xyr_A,eval-val,591
all,L/2,146099,707,0.9355932203389831,foldbench_monomer,7xyr_A,eval-val,591
all,L/5,146099,707,0.9915254237288136,foldbench_monomer,7xyr_A,eval-val,591
all,R,146099,707,0.693069306930693,foldbench_monomer,7xyr_A,eval-val,591
all,AUC,146099,707,0.9947566712880315,foldbench_monomer,7xyr_A,eval-val,591
short,L,3150,74,0.1218274111675127,foldbench_monomer,7xyr_A,eval-val,591
short,L/2,3150,74,0.23389830508474577,foldbench_monomer,7xyr_A,eval-val,591
short,L/5,3150,74,0.4830508474576271,foldbench_monomer,7xyr_A,eval-val,591
short,R,3150,74,0.7027027027027027,foldbench_monomer,7xyr_A,eval-val,591
short,AUC,3150,74,0.9744029627807261,foldbench_monomer,7xyr_A,eval-val,591
medium,L,6105,106,0.17258883248730963,foldbench_monomer,7xyr_A,eval-val,591
medium,L/2,6105,106,0.3254237288135593,foldbench_monomer,7xyr_A,eval-val,591
medium,L/5,6105,106,0.711864406779661,foldbench_monomer,7xyr_A,eval-val,591
medium,R,6105,106,0.7358490566037735,foldbench_monomer,7xyr_A,eval-val,591
medium,AUC,6105,106,0.9832157560851337,foldbench_monomer,7xyr_A,eval-val,591
long,L,136844,527,0.6412859560067682,foldbench_monomer,7xyr_A,eval-val,591
long,L/2,136844,527,0.8745762711864407,foldbench_monomer,7xyr_A,eval-val,591
long,L/5,136844,527,1.0,foldbench_monomer,7xyr_A,eval-val,591
long,R,136844,527,0.683111954459203,foldbench_monomer,7xyr_A,eval-val,591
long,AUC,136844,527,0.9960233053720817,foldbench_monomer,7xyr_A,eval-val,591
all,L,97466,474,0.7094972067039106,foldbench_monomer,8qnf_A,eval-test,537
all,L/2,97466,474,0.8955223880597015,foldbench_monomer,8qnf_A,eval-test,537
all,L/5,97466,474,0.9719626168224299,foldbench_monomer,8qnf_A,eval-test,537
all,R,97466,474,0.7616033755274262,foldbench_monomer,8qnf_A,eval-test,537
all,AUC,97466,474,0.9934869459850184,foldbench_monomer,8qnf_A,eval-test,537
short,L,2625,35,0.061452513966480445,foldbench_monomer,8qnf_A,eval-test,537
