target_id,stem,status,lddt,tm_score,gdt_ts,rmsd,n_matched_atoms,n_contacts,n_tokens,mean_plddt,error,arm,eval_set,is_viral,designed,exp199_stratum,L_helico
5sbj_A,5sbj_A,ok,0.8007366377341252,0.7586806896227222,0.9821428571428572,0.414840197866468,199.0,30.0,30.0,80.51634979248047,,mf_L_363k,eval-denovo,0,1,no_homolog,30
7ur7_A,7ur7_A,ok,0.8398386898836876,0.8942663642514966,0.8968253968253969,0.8087546933665656,534.0,70.0,63.0,91.17620849609376,,mf_L_363k,eval-denovo,0,1,no_homolog,63
8ah9_A,8ah9_A,ok,0.7880241870197158,0.9717279159526668,0.9760869565217392,0.409638155689731,952.0,120.0,142.0,91.51140594482422,,mf_L_363k,eval-denovo,0,1,id_30_50,115
8eov_A,8eov_A,ok,0.8789985370000593,0.9483772531900108,0.9028776978417266,0.6282795960298624,1181.0,146.0,139.0,87.99822998046875,,mf_L_363k,eval-denovo,0,1,,139
8fjf_A,8fjf_A,ok,0.575210325271841,0.4463412837750305,0.1338582677165354,8.391307408713029,978.0,134.0,127.0,67.47090911865234,,mf_L_363k,eval-denovo,0,1,,127
8gac_A,8gac_A,ok,0.768063568357021,0.8532770883687665,0.7524271844660194,0.9968582894246754,864.0,106.0,103.0,84.2090835571289,,mf_L_363k,eval-denovo,0,1,id_70_100,103
8ju8_A,8ju8_A,ok,0.7597194758186144,0.8918052973586745,0.710431654676259,1.894175885959127,1068.0,139.0,139.0,81.30846405029297,,mf_L_363k,eval-denovo,0,1,,139
8k7o_A,8k7o_A,ok,0.7644145406971311,0.95363703371247,0.8583690987124464,0.9355712354774984,1717.0,233.0,233.0,87.43692016601562,,mf_L_363k,eval-denovo,0,1,,233
8k7z_A,8k7z_A,ok,0.4176886933322715,0.5336626334898105,0.191860465116279,6.203154830184951,1153.0,180.0,172.0,71.13909149169922,,mf_L_363k,eval-denovo,0,1,,172
8k83_A,8k83_A,ok,0.8564488873282711,0.9443752754943112,0.8706896551724137,0.7357765714898128,1271.0,181.0,174.0,91.25729370117188,,mf_L_363k,eval-denovo,0,1,id_70_100,174
8k84_A,8k84_A,ok,0.6629898212343664,0.7070351817066083,0.4277456647398844,4.20989412514304,1293.0,177.0,173.0,84.8629150390625,,mf_L_363k,eval-denovo,0,1,id_70_100,173
8kcj_A,8kcj_A,ok,0.8674385126321571,0.9396392699018844,0.8128491620111732,1.5868249653054884,1300.0,181.0,179.0,91.26949310302734,,mf_L_363k,eval-denovo,0,1,,179
8ka7_A,8ka7_A,ok,0.7052858246427192,0.7800145700320301,0.6391304347826087,1.3275582606619996,827.0,124.0,115.0,77.73988342285156,,mf_L_363k,eval-denovo,0,1,,115
8kac_A,8kac_A,ok,0.8596092980728653,0.9485120800066194,0.9276859504132232,0.585677167967637,860.0,129.0,121.0,91.76133728027344,,mf_L_363k,eval-denovo,0,1,,121
8oys_A,8oys_A,ok,0.736459754026983,0.90970617637113,0.7898936170212766,1.2357836024524669,1369.0,190.0,192.0,86.72159576416016,,mf_L_363k,eval-denovo,0,1,,190
8oyy_A,8oyy_A,ok,0.811648442887097,0.8906212835720209,0.7446351931330473,2.269077567735492,1875.0,242.0,237.0,87.39598846435547,,mf_L_363k,eval-denovo,0,1,id_70_100,233
8qkd_A,8qkd_A,ok,0.9027987803875804,0.9825264905152218,0.947508896797153,0.5112139274341202,1924.0,284.0,281.0,88.05742645263672,,mf_L_363k,eval-denovo,0,1,,281
8qup_A,8qup_A,ok,0.7751657211947391,0.9016026049861302,0.8157894736842104,0.8902895588356506,884.0,124.0,114.0,87.69905090332031,,mf_L_363k,eval-denovo,0,1,,114
8vc8_A,8vc8_A,ok,0.8231367616599792,0.9674303500277678,0.9352791878172588,0.6302412559581232,1543.0,204.0,240.0,91.42607879638672,,mf_L_363k,eval-denovo,0,1,,197
8es6_A,8es6_A,no_contacts,,,,,,,,,,mf_L_363k,eval-test,0,0,id_30_50,430
8ev4_A,8ev4_A,ok,0.9121033094752556,0.9844891313881952,0.9804347826086957,0.3003428854091251,835.0,125.0,115.0,94.6803970336914,,mf_L_363k,eval-test,0,0,id_30_50,115
8ew1_A,8ew1_A,ok,0.6413953404201413,0.8500262915079796,0.6056603773584905,2.8418803780717417,2217.0,267.0,266.0,80.70884704589844,,mf_L_363k,eval-test,0,0,id_70_100,264
8ew9_A,8ew9_A,ok,0.5706753903564765,0.809042410532082,0.4802904564315352,2.9106654755820087,1867.0,248.0,251.0,78.8575210571289,,mf_L_363k,eval-test,0,0,id_70_100,241
8ey3_A,8ey3_A,ok,0.4538078255379417,0.3759471454299862,0.2249999999999999,4.944522652240806,450.0,65.0,64.0,72.427734375,,mf_L_363k,eval-test,0,0,id_70_100,60
8ez6_A,8ez6_A,ok,0.8636405308960634,0.9051381235765652,0.9076923076923076,0.7668393587141124,512.0,72.0,65.0,91.727783203125,,mf_L_363k,eval-test,0,0,id_50_70,65
8ezw_A,8ezw_A,ok,0.8350067274968058,0.9295593289982368,0.8787878787878787,0.8652412129824814,1051.0,160.0,132.0,91.86473846435548,,mf_L_363k,eval-test,0,0,id_50_70,132
8f8n_A,8f8n_A,ok,0.5714984841488144,0.7023118019808565,0.3091216216216216,6.246446963740474,1168.0,220.0,148.0,68.99848175048828,,mf_L_363k,eval-test,0,0,id_70_100,148
8f9o_A,8f9o_A,ok,0.715989240850496,0.9012412638456712,0.6709445585215605,1.9805657600519544,3878.0,496.0,502.0,83.74301147460938,,mf_L_363k,eval-test,0,0,id_70_100,487
8fbc_A,8fbc_A,ok,0.7176649720642272,0.925562777325158,0.7703562340966921,1.5890106451022368,3143.0,395.0,436.0,85.8274154663086,,mf_L_363k,eval-test,0,0,id_30_50,393
8jjq_A,8jjq_A,ok,0.7929940250726301,0.9518394617668064,0.84472049689441,0.980313901840055,2444.0,331.0,360.0,90.19500732421876,,mf_L_363k,eval-test,0,0,id_50_70,321
8fib_A,8fib_A,ok,0.7801287642158358,0.9340887669610786,0.7517942583732058,1.3078501563494622,3299.0,441.0,461.0,87.70816040039062,,mf_L_363k,eval-test,0,0,id_30_50,418
8fr5_A,8fr5_A,ok,0.6450408547540077,0.7573278161857553,0.6032608695652174,2.709760464334163,739.0,97.0,95.0,80.13697814941406,,mf_L_363k,eval-test,1,0,id_50_70,92
8fty_A,8fty_A,ok,0.6962276803354516,0.9171997289562808,0.7179089026915114,1.827365038763637,3837.0,509.0,485.0,76.45962524414062,,mf_L_363k,eval-test,0,0,id_70_100,483
8h2f_A,8h2f_A,ok,0.7645827487513328,0.8857068082736652,0.7369942196531792,1.972526679281035,1428.0,180.0,195.0,92.61207580566406,,mf_L_363k,eval-test,0,0,id_50_70,172
8fz8_A,8fz8_A,ok,0.7633837827154488,0.925217944583978,0.7275641025641025,1.917359818725326,3124.0,405.0,443.0,90.54120635986328,,mf_L_363k,eval-test,0,0,id_30_50,390
