stem,dataset,subset,eval_set,L,is_viral,kingdom,msa_volume,msa_depth,msa_neff,n_eff_0.62,query_len,range,cut,precision,predictor,depth_tier,neff_tier
5sbj_A,foldbench_monomer,foldbench_designed,eval-denovo,30,0.0,synthetic,foldbench,1.0,1.0,1.0,30.0,all,R,0.8823529411764706,MarinFold #232 m2-p06 (step 363k),<10,<10
5sbj_A,foldbench_monomer,foldbench_designed,eval-denovo,30,0.0,synthetic,foldbench,1.0,1.0,1.0,30.0,all,AUC,0.997379149679674,MarinFold #232 m2-p06 (step 363k),<10,<10
5sbj_A,foldbench_monomer,foldbench_designed,eval-denovo,30,0.0,synthetic,foldbench,1.0,1.0,1.0,30.0,long,R,1.0,MarinFold #232 m2-p06 (step 363k),<10,<10
5sbj_A,foldbench_monomer,foldbench_designed,eval-denovo,30,0.0,synthetic,foldbench,1.0,1.0,1.0,30.0,all,AUC,1.0,ESMFold2,<10,<10
5sbj_A,foldbench_monomer,foldbench_designed,eval-denovo,30,0.0,synthetic,foldbench,1.0,1.0,1.0,30.0,all,R,1.0,ESMFold2,<10,<10
5sbj_A,foldbench_monomer,foldbench_designed,eval-denovo,30,0.0,synthetic,foldbench,1.0,1.0,1.0,30.0,long,R,1.0,ESMFold2,<10,<10
5sbj_A,foldbench_monomer,foldbench_designed,eval-denovo,30,0.0,synthetic,foldbench,1.0,1.0,1.0,30.0,all,AUC,0.9669481654047758,Protenix-v2 single-seq,<10,<10
5sbj_A,foldbench_monomer,foldbench_designed,eval-denovo,30,0.0,synthetic,foldbench,1.0,1.0,1.0,30.0,all,R,0.8823529411764706,Protenix-v2 single-seq,<10,<10
5sbj_A,foldbench_monomer,foldbench_designed,eval-denovo,30,0.0,synthetic,foldbench,1.0,1.0,1.0,30.0,long,R,0.75,Protenix-v2 single-seq,<10,<10
5sbj_A,foldbench_monomer,foldbench_designed,eval-denovo,30,0.0,synthetic,foldbench,1.0,1.0,1.0,30.0,all,AUC,0.967239370995923,Protenix-v2 + MSA,<10,<10
